 	lo	posso	finire	di	scrivere	</S>
o	0.78353135	0.0733451252	0.002870709935	0.003135768665	0.0890542028	0.0480627935
s	0.485577602333	0.357740995067	0.003378122145	0.0119704951217	0.100255435267	0.0410773185
ò	0.221007816444	0.678583515022	0.021007045415	0.0134885784406	0.0451219024223	0.0207911226067
z	0.441838688815	0.504255043341	0.0266575714383	0.0051008366302	0.0151560305538	0.0069918075178
o	0.479739180272	0.41889351278	0.0784533217794	0.0147724632934	0.00542175843093	0.0027197707815
s	0.218957127424	0.536946880927	0.184918150593	0.0543371550978	0.00227370065364	0.00256701532717
p	0.354821679141	0.396814040309	0.184049751531	0.0586213633659	0.00086467569888	0.00482850577572
i	0.34564702248	0.23471615677	0.366220705177	0.0413870754553	0.00255043657063	0.00947863075857
c	0.116149140727	0.163679042257	0.401433114726	0.0653663258184	0.236019767724	0.0173526367529
c	0.0397647918857	0.106045464086	0.147748502909	0.106377503273	0.466826605908	0.133237159584
è	0.0137047591719	0.203583658029	0.062761789303	0.0954467734243	0.445852268636	0.178650749861
t	0.037921480424	0.237208958343	0.282740946434	0.0812446734748	0.284216848845	0.0766670730537
s	0.046604872608	0.082865780181	0.546938105478	0.137247997825	0.0956904860817	0.0906527674512
i	0.016449389284	0.0286875062937	0.433644598493	0.228090679275	0.0424589411939	0.250668865817
à	0.00550395441533	0.0106389685312	0.222928406164	0.338024566425	0.160144005731	0.262760095272
t	0.0428161835111	0.00488226804373	0.293081635388	0.349902195475	0.196363186577	0.112954575091
s	0.0593869261704	0.00289262178124	0.312292571129	0.392948048492	0.0737895343923	0.158690338364
e	0.0239438904075	0.00155729395708	0.130384599043	0.449859089497	0.0402248223308	0.354030332788
g	0.0092924588865	0.000633971429027	0.073066305681	0.369249903166	0.0784427674436	0.469314600929
r	0.0153102910288	0.00226277372301	0.0567794265603	0.392925867722	0.0777085693145	0.45501308031
à	0.0163776941763	0.002768250221	0.0274476166508	0.312728681574	0.345219843271	0.295457928103
t	0.0432782708921	0.00116799705367	0.0352249800143	0.148214379525	0.508560177757	0.263554204034
s	0.057118064964	0.00294745018456	0.0392392956714	0.107240852508	0.245893807752	0.547560528011
i	0.0243021245827	0.00338407598485	0.0145245524215	0.0512509951027	0.141674571084	0.764863676004
</S>	0.0121844571834	0.00175396312743	0.00727720550725	0.0265778149514	0.158616560542	0.793589988002
