 	ancora	sto	cucinando	e	non	sono	pronto	</S>
a	0.904042535	0.05002395295	0.026143127	0.000323284195	0.005178884	0.000588981935	0.001705804743	0.0119934487
n	0.589115010833	0.0672107633167	0.072781581	0.0135168585517	0.0185773343333	0.00378330446833	0.003689133143	0.2313259837
k	0.205634777444	0.362145298439	0.0769744451667	0.0188357574172	0.0207114462744	0.00485183916278	0.00434981325533	0.306496578233
ò	0.0843210004813	0.751221232813	0.0282166155556	0.0195638680391	0.00770956812147	0.00181334442093	0.00147137838411	0.105682932978
r	0.111542826827	0.709100990938	0.0964809741852	0.038952785013	0.00372222564049	0.00285125983364	0.00136257401937	0.035986268946
a	0.112896509976	0.504738566979	0.161086268062	0.148744691671	0.0551556102802	0.00377456627788	0.00133695999479	0.0122667366687
s	0.0390031435387	0.498846628993	0.124040326021	0.231641760557	0.0728810022934	0.0240288910926	0.00497767951993	0.0045805298229
t	0.0185936183596	0.703380526331	0.0678768120403	0.146377306519	0.0252306768968	0.0300635379165	0.00617297153198	0.0023045961743
e	0.0131030999532	0.576320821444	0.130868230713	0.215592325173	0.0297757648979	0.0118034299912	0.00225993210266	0.0202764456581
m	0.00601665247773	0.209995100748	0.401974360238	0.248846782724	0.090637176966	0.0119047714637	0.00201142910089	0.028613720886
a	0.00275028375258	0.0721316582493	0.512324773413	0.245866915241	0.128069870989	0.0117293516212	0.00201366454696	0.0251134432953
r	0.00156549898653	0.0317833798164	0.299672946338	0.518091531747	0.082792643263	0.0255384660071	0.013606216529	0.0269492864318
è	0.00057431838451	0.0165279047948	0.167283203979	0.535710890582	0.133029935354	0.100773976336	0.0265306141763	0.0195691391439
o	0.00023486702137	0.0055196892502	0.124808576326	0.273506191861	0.443281778451	0.112645751112	0.0192267653921	0.0207763333813
c	9.01960023233e-05	0.00184705477733	0.177666167109	0.113857078954	0.621013279484	0.0519941503707	0.00957573146403	0.0239562881271
e	5.07627641078e-05	0.00062454878111	0.20584208837	0.128233332985	0.495833549828	0.111108864457	0.0267355148213	0.0315713150424
e	2.63969344359e-05	0.000211125708903	0.0858719644567	0.144252730995	0.517021589943	0.180986021486	0.0401856032738	0.0314445823475
n	1.03462478786e-05	0.000147992460834	0.0325125809156	0.0689367213317	0.415355452848	0.269584193829	0.196845274091	0.0166074625825
ì	6.41984519287e-06	0.000126402338435	0.0113026753019	0.0343398047772	0.161776030483	0.49016748461	0.291501231364	0.0107799486608
n	0.0259093823796	0.000678973764302	0.0479604896673	0.0390354449257	0.095575270161	0.439198818203	0.341718217121	0.00992339522027
e	0.0345669132532	0.000863182285784	0.0610878291224	0.0351045810752	0.069276783387	0.335465609401	0.432552992374	0.0310820814068
p	0.0117658970777	0.000332275199611	0.0293179742741	0.0137743392251	0.0458259217957	0.300103786467	0.562504950791	0.0363748106356
r	0.00514115879257	0.00034205143987	0.0178201131247	0.0068835896417	0.0211367593319	0.232868215489	0.695481293597	0.0203267830452
ò	0.00409312316419	0.000302316318523	0.00666802929157	0.00351691304723	0.019229503844	0.195783910163	0.602635947866	0.167770237015
n	0.0050531266214	0.000197433371408	0.00646327264719	0.00164629811574	0.019950571948	0.0862421843877	0.666631342622	0.213815785338
t	0.00440076204047	0.000218934010469	0.00631391454906	0.00160759043858	0.00841640177267	0.100480167463	0.776750347541	0.101811901446
o	0.00187385567056	0.000130738774883	0.00230985085235	0.00115049140786	0.00331409698089	0.103098226488	0.578100445847	0.310022317149
</S>	0.00093778792088	6.54125045315e-05	0.00115920543017	0.00058094759643	0.00220930339045	0.062523349244	0.402509147924	0.530014883574
