 	mia	sorella	ancora	non	è	venuta	qui	</S>
t	4.94702e-06	1.18138e-05	6.90293e-05	5.61134e-05	0.000229537	0.00957386	0.0372915	0.952763
i	0.019252	0.951051	0.0220221	0.00552718	0.00161231	0.000317985	0.000193092	2.3841e-05
n	0.00174585	0.82448	0.143223	0.0285174	0.00198741	4.56118e-05	7.25588e-07	2.5152e-07
a	4.20228e-05	0.142541	0.676054	0.132554	0.0448784	0.00384721	7.06158e-05	1.31471e-05
d	0.000339024	0.896795	0.077276	0.022486	0.00306457	3.79746e-05	1.15418e-06	3.12385e-07
r	3.81164e-05	0.015581	0.178695	0.109159	0.370371	0.299266	0.0263986	0.000490373
e	0.0040564	0.383922	0.514992	0.0734773	0.0211686	0.00135577	0.000189311	0.000839383
f	0.000120291	0.339223	0.347526	0.242033	0.0681896	0.00256961	0.00028091	5.75363e-05
f	0.000928825	0.0762996	0.33585	0.147683	0.110833	0.271711	0.0518534	0.00484168
ì	0.0222784	0.677324	0.231566	0.0613589	0.00505211	0.00237118	4.70132e-05	2.7209e-06
m	0.000423776	0.125544	0.477369	0.204127	0.145271	0.0422281	0.00417026	0.00086819
m	0.0107493	0.227563	0.134497	0.0807104	0.0333628	0.433491	0.0742059	0.0054208
u	0.016986	0.0752024	0.636193	0.130164	0.0322161	0.10885	0.000385148	3.18336e-06
a	3.78404e-05	0.00661269	0.289878	0.152812	0.219382	0.306656	0.0224048	0.00221612
n	4.60803e-05	0.0310032	0.440453	0.0690511	0.399229	0.0246386	0.0317081	0.00387088
k	0.000150853	0.00901126	0.0854454	0.0349152	0.0656987	0.435034	0.338055	0.0316895
ò	0.0165936	0.14391	0.324506	0.154297	0.0976048	0.240193	0.0224279	0.000467304
r	1.10043e-05	0.00113134	0.121956	0.0479769	0.189358	0.413331	0.184788	0.0414476
a	0.000327582	0.014191	0.116904	0.052707	0.0753287	0.668191	0.070801	0.00154946
e	1.58459e-05	0.000721539	0.0950954	0.0405426	0.123908	0.47383	0.210932	0.0549546
n	1.46758e-05	0.00306467	0.228385	0.0203012	0.210438	0.183413	0.258784	0.095599
ì	8.27819e-05	0.0034678	0.0180331	0.0117649	0.0269401	0.30895	0.526101	0.10466
r	7.43984e-08	3.93124e-05	0.0359341	0.00443561	0.138224	0.325573	0.482323	0.0134713
t	0.000811386	0.0356408	0.0230877	0.0282708	0.0551341	0.188768	0.626901	0.0413867
e	0.00246653	0.0173717	0.075259	0.0645015	0.0963777	0.65388	0.0894068	0.000736494
e	1.97924e-07	9.79099e-06	0.00212436	0.00106993	0.00562156	0.0350957	0.143799	0.812279
t	3.25853e-06	0.000395133	0.034283	0.0033596	0.0472715	0.119929	0.36161	0.433148
t	0.000538141	0.0116735	0.020586	0.0137165	0.0230347	0.392876	0.454029	0.0835465
ù	0.00239881	0.0111899	0.0667338	0.0486146	0.0877885	0.63193	0.149654	0.0016904
</S>	1.01201e-08	2.86451e-07	0.000184498	3.95412e-05	0.00065896	0.013112	0.147311	0.838694
