 	mi	si	gonfiò	il	dito	</S>
m	1.6869319e-05	1.9593064e-05	0.0052669416	0.00049709924	0.009347143	0.9848524
u	0.010929344	0.26075268	0.5377132	0.18118985	0.007526005	0.0018888817
p	0.0019599944	0.30083257	0.6969657	9.313108e-05	1.1595982e-05	0.00013702782
r	0.0005196734	0.07995436	0.9160124	0.0021104037	0.00031061674	0.0010924411
ì	0.022427278	0.95376855	0.0029299331	0.016604997	0.0011122077	0.0031570499
s	0.00067208224	0.06623859	0.93173295	7.651861e-05	2.8506536e-06	0.0012769835
t	0.010787134	0.17076534	0.80853033	0.006902324	0.0005172459	0.0024975922
i	0.035262723	0.83354867	0.00043397598	0.06135886	0.019376704	0.05001912
t	1.2084983e-05	0.0014366268	0.99745256	0.00011642532	4.405365e-05	0.0009383187
o	0.02434381	0.1546458	0.769934	0.034459908	0.005501851	0.011114627
d	0.0003612967	0.035183176	0.83397156	0.004745939	0.0031962611	0.122541636
à	4.2871437e-05	0.0026808032	0.9935423	0.0030576808	0.00033368848	0.00034282028
t	2.9074414e-07	0.000119320204	0.9915114	0.00015812213	0.000111375535	0.00809951
t	0.008185592	0.06338442	0.87698984	0.029487908	0.007775014	0.01417706
i	0.021642635	0.1510138	0.0011857257	0.73515725	0.082449324	0.008551207
l	1.5368396e-07	1.2129538e-05	0.95283014	6.0558807e-05	0.0034643789	0.043632705
o	0.005912537	0.02473716	0.9058299	0.022725372	0.021070918	0.019724121
</S>	5.1571357e-07	2.9941837e-05	0.07403871	0.00022777345	0.012366007	0.91333705
