 	mia	sorella	quest	anno	che	vienne	studierà	per	medico	</S>
i	1.1326946e-05	2.506784e-05	0.00030838425	0.00016618054	0.00044147598	0.011128207	0.00882979	0.01144027	0.23958713	0.7280622
a	0.00087285147	0.99052787	0.0056475187	0.0021523552	0.00076966424	1.2454607e-06	2.7052134e-05	1.4588779e-06	5.4750458e-09	1.3601985e-08
d	0.00021029316	0.9599465	0.01967208	0.015346354	0.004713292	9.831717e-06	9.2021975e-05	9.608737e-06	1.13670335e-08	4.143432e-08
e	3.165118e-05	0.03209668	0.48914483	0.3165301	0.15049022	0.0014435505	0.008715027	0.0015441127	1.998469e-06	1.7444595e-06
r	0.00047265162	0.3865885	0.27327627	0.31262407	0.026271524	0.00012281082	0.0005776848	6.303638e-05	9.4759935e-07	2.4321807e-06
f	0.00023335131	0.06395586	0.4515007	0.36486802	0.09871614	0.011068832	0.006129819	0.0028610916	0.00019590536	0.00047026455
ì	0.033339318	0.73694766	0.17376272	0.006271912	0.009758352	0.039897714	5.160201e-07	2.1505546e-05	3.4482338e-07	4.0210324e-08
m	0.0014087502	0.43988952	0.40359008	0.13317482	0.021367205	0.00029092949	7.671172e-05	0.00019032697	2.723448e-06	8.931683e-06
m	0.0101797655	0.13066037	0.105858326	0.04272627	0.01923757	0.6405083	0.00060825737	0.018612701	0.030409142	0.0011992505
u	0.05053792	0.08908687	0.63946545	0.0044614556	0.036406275	0.17927095	5.1491556e-06	0.00075341645	1.1576191e-05	8.2902017e-07
f	4.8915932e-05	0.016907806	0.4489635	0.3836436	0.12602563	0.0048059057	0.005593972	0.013785503	0.00014109859	8.4080195e-05
è	0.00027281468	0.009628501	0.60176903	0.17658906	0.084506266	0.039435383	0.0035004567	0.0765343	0.0070340238	0.0007301477
t	5.790351e-06	0.004370249	0.6856153	0.17455	0.121461876	0.0015668496	0.003471126	0.008897369	3.255717e-05	2.8806557e-05
i	0.0017998075	0.08294316	0.17781049	0.15163678	0.03956376	0.3504321	0.008390145	0.061832767	0.115108624	0.010482353
p	1.5375688e-05	0.0042577465	0.5068994	0.2876033	0.14740588	0.011567895	0.00767463	0.033617355	0.0006583646	0.00030010476
ò	3.6061145e-05	0.0062968694	0.37221467	0.21623127	0.1039899	0.08047381	0.025521275	0.15591778	0.037227698	0.0020907226
r	2.8533645e-07	0.00038728214	0.71720666	0.095021546	0.13471872	0.0012888038	0.029528173	0.021645859	0.00012006597	8.268596e-05
k	0.0007454953	0.05526358	0.12027355	0.11237681	0.048048917	0.426637	0.05511463	0.07109233	0.103237584	0.0072100153
e	0.0009858914	0.013044851	0.043248884	0.0055293087	0.042988177	0.8773666	7.2475195e-05	0.016553182	0.00020361014	7.099383e-06
t	8.915046e-06	0.0011076274	0.15596697	0.28652102	0.092252746	0.006415927	0.29428342	0.10889724	0.03148593	0.023060217
e	0.00039671906	0.0069940514	0.22968519	0.102999285	0.04079332	0.10373319	0.016696071	0.21312414	0.28156868	0.004009331
e	2.1091364e-06	0.00020144359	0.33270943	0.13494593	0.13492277	0.011525329	0.15229352	0.20257418	0.024970751	0.005854605
n	1.8098193e-06	0.00024227484	0.19782017	0.010773379	0.047829043	0.013654722	0.6982209	0.028339365	0.001250798	0.0018675907
a	6.286281e-05	0.0016899623	0.042887796	0.016386904	0.012663856	0.10844731	0.021662856	0.11204484	0.6625778	0.02157585
s	1.6376897e-06	8.531925e-05	0.44476992	0.04788814	0.0912649	0.012543212	0.16446902	0.19779658	0.033586685	0.007594635
t	9.745036e-05	0.002477836	0.11404119	0.061595634	0.02329134	0.052111376	0.020773318	0.16029589	0.5611656	0.0041503585
u	0.00080445845	0.003117725	0.038841944	0.0062656575	0.0422843	0.77066046	0.0040144823	0.12019077	0.013704393	0.000115850795
d	1.7324874e-06	4.3556123e-05	0.039503258	0.032907706	0.021614933	0.003178861	0.4172736	0.07477273	0.19512768	0.2155759
i	2.3477446e-06	0.0013373315	0.50778824	0.24459234	0.08189692	0.0046267724	0.033481598	0.09789158	0.028245036	0.00013786354
