 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	9.8068915e-05	0.00027139095	0.00028311444	0.00018260458	0.00091843045	0.0008189243	0.049300373	0.40815842	0.53996867
j	0.043157794	0.94003105	0.010069929	0.006630134	0.00010295609	8.003464e-06	1.2532304e-08	1.1900756e-07	1.5474475e-08
i	0.5804622	0.16219749	0.14513285	0.05424108	0.048692297	0.0031712053	0.0013200828	0.004667157	0.00011563326
n	0.29705358	0.5448868	0.099703036	0.057763707	0.0005808222	1.0287074e-05	1.3510255e-07	1.5036412e-06	1.7634449e-07
è	0.003927441	0.016564216	0.5253132	0.30097863	0.15180138	0.0005550119	3.7376605e-05	0.0007636088	5.914269e-05
k	0.018484777	0.9208047	0.03800908	0.022489086	0.0002097376	2.5038107e-06	5.5474523e-09	1.9967201e-08	8.182949e-09
a	0.108177505	0.03046036	0.3022235	0.23755118	0.058074407	0.08299029	0.092079744	0.08666862	0.0017743554
p	0.061592653	0.2136907	0.39963058	0.32009283	0.0047779595	0.00017897187	4.3109417e-06	2.536812e-05	6.550821e-06
u	0.004217706	0.016470758	0.32599214	0.470385	0.14741184	0.021574555	0.0021001378	0.011232005	0.00061585323
l	0.009690466	0.16731805	0.47036442	0.33881468	0.013289645	0.00037700252	1.5546453e-05	9.116703e-05	3.890227e-05
i	0.014928079	0.01528477	0.34107798	0.3101241	0.1110981	0.035194103	0.04197982	0.12469553	0.0056175445
z	0.0023451261	0.03845174	0.4294315	0.49540713	0.033086456	0.0011279898	6.116399e-05	5.421574e-05	3.4764515e-05
z	0.007062088	0.012318003	0.34833875	0.25941104	0.16970749	0.02180192	0.042349868	0.13020466	0.00880627
è	0.04769042	0.0029905885	0.028893117	0.20731863	0.0069583952	0.67672247	0.026031185	0.0022975781	0.001097599
i	0.00019047868	0.18941598	0.36937708	0.2475797	0.19173779	0.0008028382	8.5608466e-05	0.0003135381	0.00049699924
o	1.09790735e-05	0.017456114	0.28992912	0.35116825	0.34074977	0.0005950491	3.3789944e-05	1.9658026e-05	3.72399e-05
s	0.00016612624	0.0155694	0.27587527	0.29067767	0.41342396	0.0028961124	0.001054328	0.00016471984	0.00017241068
p	0.0074357083	0.009252291	0.13744071	0.10670657	0.070012785	0.030899942	0.21201493	0.41249183	0.013745321
ì	0.0066505773	0.0040795766	0.016523216	0.09575356	0.011244753	0.7268063	0.13405477	0.0044256956	0.0004615645
t	2.9879666e-05	0.05086036	0.16211152	0.10539346	0.6535432	0.001615576	0.00067130104	0.01327283	0.012501842
i	0.0068157506	0.028810056	0.44191095	0.17432031	0.13063635	0.0041392203	0.095080584	0.11192156	0.0063651865
o	5.9331405e-06	0.0012811271	0.07881159	0.0699886	0.82365537	0.0030634059	0.0021547894	0.012573721	0.008465476
à	5.711795e-05	0.004000449	0.07535584	0.14540076	0.68574893	0.05899633	0.025942313	0.0022956482	0.0022026142
n	5.3327436e-05	0.04646352	0.11931369	0.105747	0.71039987	0.015110348	0.0026136565	0.00017251942	0.0001260435
t	0.0014914563	0.005147441	0.036968596	0.026759576	0.02220358	0.012218639	0.22894782	0.6594524	0.0068105296
r	0.0039143227	0.001921243	0.004669015	0.018466277	0.004548417	0.52965784	0.4333393	0.0033761854	0.00010739476
e	0.0014457293	0.0013367368	0.0035746605	0.007208009	0.007439667	0.15958309	0.77319664	0.04591971	0.00029576063
p	7.8382595e-07	0.0006253686	0.0250754	0.011407071	0.50157356	0.00022808668	0.0007284817	0.14744098	0.31292027
o	7.362809e-06	0.0028243111	0.11557252	0.09965425	0.7451018	0.0039024625	0.020771066	0.011937744	0.0002284961
d	1.233115e-06	0.00044705792	0.011208834	0.0089375945	0.44313306	0.0014627128	0.0015970446	0.2670423	0.2661702
è	1.7095057e-06	0.0104105	0.18638566	0.07730715	0.70112836	0.0008537557	0.011089309	0.01200585	0.00081779406
g	1.2629283e-07	0.012389178	0.017020863	0.010765147	0.9290604	0.0006834275	0.00019320834	0.02394124	0.0059463657
g	5.0822557e-05	0.21575747	0.5302157	0.050254032	0.19600056	4.859142e-05	0.002474175	0.004530305	0.0006683845
h	0.00086429954	0.01677558	0.010237714	0.034833748	0.03025156	0.4933221	0.32735002	0.07391999	0.012445065
e	0.0010646834	0.0011600248	0.002359955	0.005200834	0.005011381	0.13009454	0.81759226	0.03697955	0.00053684216
</S>	1.11596236e-07	2.882603e-05	0.0010772591	0.000512124	0.044987343	3.8490223e-05	0.000104935454	0.17841911	0.7748318
