 	non	li	aspettiamo	più	</S>
e	2.76975e-06	3.46654e-06	0.000306789	0.251317	0.74837
t	0.375517	0.573087	0.000239178	0.0482448	0.00291246
u	0.0924319	0.34808	0.125682	0.408405	0.0254016
s	0.120992	0.853142	0.0196751	0.00520337	0.000986909
m	0.00911612	0.0685041	0.749696	0.163384	0.00929991
è	0.129799	0.506098	0.35888	0.00506523	0.000157924
n	0.0373651	0.821968	0.007001	0.119962	0.0137039
u	0.000465136	0.0487415	0.0988562	0.82948	0.0224573
m	0.0100537	0.127964	0.0227876	0.247939	0.591255
e	0.0462731	0.107871	0.492727	0.339795	0.0133343
p	0.00301207	0.0746759	0.0331298	0.445395	0.443788
l	0.0036906	0.0210757	0.201673	0.749021	0.0245398
è	0.00316267	0.039337	0.824543	0.130244	0.00271328
o	2.90103e-05	0.000246696	0.00061366	0.857296	0.141814
</S>	1.81323e-05	0.0013475	0.000135262	0.873009	0.12549
