 	non	aveva	dove	a	stare	</S>
e	5.4686034e-06	6.422718e-06	9.124606e-06	0.00025074344	0.23334146	0.7663868
n	0.5813467	0.38761473	0.030059395	0.00083185127	6.641188e-05	8.098941e-05
ì	0.01492242	0.4510779	0.5301673	0.0031989843	0.00038923172	0.00024419947
c	0.113986604	0.62205887	0.25582814	0.0070587993	0.0007060469	0.0003615034
h	0.028621158	0.25473657	0.6985073	0.013797666	0.0038581784	0.00047916514
e	0.022237714	0.41658175	0.5070701	0.04277823	0.00275674	0.0085753165
p	0.0009906346	0.15129538	0.8380314	0.008947892	7.8275676e-05	0.0006564645
u	0.0027972471	0.18288758	0.6045207	0.055660337	0.1495566	0.0045775794
s	0.005438968	0.20832017	0.7321641	0.037821997	0.0052376674	0.011017184
t	0.005760546	0.22726275	0.43944412	0.061971996	0.24715385	0.018406747
a	0.00665157	0.022958327	0.008070113	0.038868356	0.9213371	0.002114509
s	0.0022716934	0.096029975	0.62540036	0.09519883	0.016082356	0.16501676
ì	0.009992096	0.18868326	0.7458106	0.021216666	0.029902382	0.004395099
</S>	0.00053645176	0.009804	0.05917025	0.06941792	0.28771994	0.5733515
