 	da	da	un	famoso	poeta	</S>
p	4.2268807e-06	7.327045e-06	0.00012366971	0.0137384655	0.019339398	0.9667869
u	0.18440288	0.76436955	0.03235944	0.01278942	0.0058847293	0.0001939707
s	0.10491625	0.873827	0.0016326777	0.013979217	0.005575475	6.94607e-05
s	0.014295531	0.438394	0.06203623	0.37851188	0.099370725	0.00739159
è	0.02788801	0.034332685	0.9374727	0.00023322245	5.0470466e-05	2.2838685e-05
n	0.17860653	0.8018292	0.0040407977	0.010746224	0.0042139944	0.00056328846
a	0.0010764414	0.045560233	0.4002777	0.39994574	0.14796287	0.005177015
f	0.07931742	0.7851137	0.054835517	0.047295883	0.022899298	0.0105381925
a	0.0038348378	0.033324335	0.7781638	0.14910682	0.03349927	0.0020709564
m	0.04231966	0.53907526	0.22366571	0.13236712	0.048963882	0.013608428
ò	0.016127469	0.03562869	0.8575541	0.06968864	0.019052124	0.0019489698
s	0.0016111278	0.03001454	0.023971317	0.54091674	0.39818683	0.0052994676
o	0.017179098	0.1020042	0.3867814	0.3700252	0.119391546	0.004618518
p	0.00025120302	0.0076098354	0.003299875	0.44455647	0.33447677	0.20980583
o	0.0014703594	0.0216618	0.09275759	0.5787953	0.29753223	0.0077827503
è	2.7433443e-05	0.00086466526	0.0012912886	0.4523097	0.42591828	0.11958868
t	1.566366e-05	0.00033075563	7.170933e-05	0.4168834	0.5814137	0.0012848059
a	0.003427991	0.020213144	0.6963334	0.13044758	0.10928926	0.040288597
</S>	2.943053e-06	7.06002e-05	0.0004164191	0.2847207	0.31632358	0.39846575
