 	quest	anno	che	viene	mangio	quanti	voglio	</S>
f	4.7443642e-05	2.4013798e-05	2.6463842e-05	3.302203e-05	0.00237257	0.00027304195	0.099718235	0.8975052
è	0.6770397	0.2901187	0.0280516	0.003967177	0.00034483755	0.00045120588	2.1044376e-05	5.651585e-06
o	0.85612	0.13428988	0.0058836956	0.0021165886	1.013907e-06	0.0015887386	8.913927e-09	5.8612503e-08
p	0.17794529	0.6189946	0.101159476	0.081573084	8.1160004e-05	0.020244692	7.679364e-07	9.43682e-07
p	0.04260722	0.061139975	0.24634829	0.62049836	0.020755973	0.008605094	4.053737e-05	4.5243514e-06
ò	0.69922787	0.036283888	0.16666475	0.088550605	0.009204825	5.1692477e-05	1.5623038e-05	7.102789e-07
r	0.7955745	0.17012557	0.023111537	0.009080824	0.00014213641	0.0019105369	3.6716917e-06	5.1184186e-05
k	0.0056901993	0.07788154	0.07743532	0.122912124	0.63167816	0.02337643	0.06035237	0.000673898
e	0.5714704	0.019814432	0.1849777	0.18536532	0.03778149	0.000425168	0.00013887265	2.6650785e-05
t	0.023901006	0.3840388	0.26668245	0.18310907	0.009540233	0.13066088	0.00050219556	0.0015653651
e	0.029376738	0.12168495	0.13000001	0.08407348	0.54479843	0.031174125	0.053812716	0.005079503
e	0.10122554	0.31118673	0.38555863	0.11066369	0.023199024	0.06601209	0.0013264744	0.0008278057
t	0.09934864	0.06743776	0.09967796	0.065923706	0.011875227	0.6499416	0.0050848285	0.00071024767
r	0.013842104	0.016618479	0.03269988	0.04142689	0.68625015	0.0058374354	0.1978073	0.005517709
ò	0.11773226	0.015740868	0.11738247	0.19690663	0.511671	0.009448165	0.030839792	0.00027881283
o	0.22009708	0.110704586	0.103022635	0.048796292	0.031793714	0.38866064	0.040446717	0.05647835
p	0.03429443	0.010960708	0.022373347	0.025582032	0.016452184	0.85742944	0.02593478	0.006973073
ò	0.008582502	0.010324345	0.016675977	0.030396173	0.591184	0.026249861	0.30366752	0.012919618
s	0.007975537	0.0041268487	0.014179978	0.019084502	0.024091734	0.866441	0.05651958	0.0075807716
s	0.0052378904	0.023522912	0.019744607	0.037997868	0.41235423	0.042009454	0.45075434	0.008378711
a	0.0057024653	0.0028071927	0.009122643	0.015521675	0.6346477	0.0061180387	0.32577395	0.0003062969
t	0.00090656395	0.0037228116	0.006542598	0.0025721313	0.010012939	0.14555804	0.0985877	0.73209715
è	0.011927101	0.09592067	0.074745774	0.038779374	0.26575628	0.17735869	0.33227205	0.0032401115
l	0.0026976443	0.00069989683	0.00060042023	0.00043056277	0.0060407277	0.44006872	0.44732973	0.1021323
o	0.009986706	0.02586173	0.020309117	0.027352605	0.3002665	0.052513618	0.54123074	0.022478942
</S>	4.0851162e-05	0.00018649228	0.00038541	0.0002535736	0.0028356425	0.016607767	0.054566853	0.92512345
