 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.497311192038	0.000153800147	6.4096234e-06	0.002323674065	0.00048888797	0.0412954766975	0.458420555379
n	0.549572817346	0.011088766239	0.0026913030752	0.00865196912167	0.239841305823	0.0238417353642	0.164312131379
a	0.563779759115	0.018675297413	0.00388272359173	0.00972409934056	0.319579056051	0.0180305718754	0.0663285100297
v	0.522257482038	0.0118332108043	0.00464278309724	0.129823083414	0.303135672794	0.00614064577913	0.0221670799226
o	0.509560599679	0.00621123353477	0.00507360349908	0.170594484405	0.298565586465	0.00219713654971	0.00779731108353
r	0.50462962056	0.00554571844492	0.00878725796636	0.0955905514017	0.370996727688	0.00964334140657	0.00480675546118
à	0.458817330853	0.00554847248164	0.0102527518221	0.105811360467	0.403755262229	0.0121989512889	0.00361580477373
s	0.441370204618	0.00308137712721	0.00681479077403	0.0977832601557	0.431264183743	0.018067406583	0.00161869862791
o	0.347066649206	0.0108571013424	0.00799128759134	0.136944790052	0.462330699248	0.0227671555277	0.012042279626
t	0.318933117069	0.0138524573141	0.0101465551971	0.158784190017	0.381899404416	0.0991232365092	0.0172610151087
o	0.253203793023	0.00807436763803	0.0091214401657	0.151821266672	0.404058454805	0.134224663503	0.0394959499362
t	0.240421355341	0.00609375611268	0.0075060308219	0.144097292224	0.339085924935	0.214406939168	0.0483886523121
s	0.102810815114	0.0420745986042	0.0393499446073	0.293421800741	0.269113304978	0.233377779056	0.019851765704
o	0.0490489397047	0.0535450146581	0.0468647422158	0.315029556714	0.142663480659	0.113146802352	0.279701473168
m	0.327069638902	0.0188070175094	0.0166241430853	0.109477690705	0.076559744553	0.0844421974507	0.367019578556
ì	0.426624117634	0.00709556250615	0.00646139029317	0.041448578035	0.209139113518	0.141515112484	0.167716147019
k	0.179459613878	0.00340165500507	0.00365740756246	0.0200427433117	0.268751192506	0.419489664161	0.105197721006
a	0.0834411664593	0.00217103675882	0.00272319673195	0.0118363804706	0.215364052169	0.543747658054	0.140716479002
i	0.0300795701864	0.000725296291707	0.00091014762925	0.00603949722353	0.264128640723	0.473372289351	0.224744559667
m	0.0125037239288	0.000739406745536	0.00104903258388	0.00532098140784	0.190402933574	0.63520374645	0.154780191056
è	0.00881250064293	0.000743401334444	0.00109412349783	0.00454709446928	0.123963047858	0.779137895483	0.081701944852
r	0.00727602348098	0.000366351840747	0.00065222733581	0.00336910602309	0.096098899286	0.833023168494	0.059214204284
i	0.00326099964533	0.000240639643815	0.000504726009199	0.00212372762336	0.0411249430953	0.654471526165	0.298273414095
</S>	0.00164650015016	0.000120333852257	0.000252379550493	0.00107855173518	0.0245701465476	0.412349133082	0.559982957048
