 	quando	divento	vecchia	vendo	la	casa	in	in	Trieste	e	vengo	qui	da	vivere	al	mare	</S>
m	0.433444159	0.032517838375	0.0431405115	0.00092620096	0.000716812665	0.000753584585	0.0003402686045	0.0008433349893	0.0001202856137	0.0022855791281	0.0009135559451	0.00056489749405	0.0012976206463	0.00641832504825	0.00626659910483	0.021007127117	0.448443305015
ò	0.628773106333	0.109900342792	0.0964734805	0.00093064533	0.000729682688333	0.000347894382833	0.000118881495922	0.000282414166895	4.12418236493e-05	0.000762181988628	0.000305407329407	0.000189128158376	0.000433168102434	0.00214007772506	0.00208886810486	0.00700240612804	0.149481105016
t	0.670406612111	0.118056555931	0.146423726833	0.00151935998667	0.00240724882944	0.00453816525878	0.000790150180062	0.000324215513227	0.000157630591166	0.000364925756737	0.000487653627443	0.000299454193785	0.000378854023612	0.000917099761835	0.000698661816648	0.00239830855706	0.0498314212366
t	0.487940525837	0.0441780007437	0.107541509278	0.310365229296	0.0225332926098	0.00596380168459	0.00113420956669	0.000381105431076	0.000256328973722	0.000235048481912	0.000549878516148	0.000336668039128	0.000361176739304	0.000509450889096	0.000235318884773	0.000863619529665	0.0166148612574
e	0.312570670412	0.0402573106812	0.164749546759	0.415469095765	0.0565281482033	0.00267918482653	0.00067573786223	0.000222107110359	0.000234494694574	8.40591289707e-05	0.000201556557716	0.000124798007576	0.000127539934535	0.000170646651683	7.85001255703e-05	0.0002881760818	0.00553841576671
j	0.304441240137	0.0458323262271	0.239614952253	0.226260294588	0.128242957401	0.0159692352755	0.0149908864541	0.00625180429012	0.00448743224152	0.00304321501499	0.00531595759791	0.000884808732525	0.00139284523484	0.000578716780728	0.000347699808279	0.000417590458533	0.00192800639494
è	0.183965358712	0.0557166580757	0.404640994084	0.162176931996	0.1238463273	0.0197412248328	0.0195862037882	0.00820970792067	0.00581606017587	0.00402644632005	0.0070039801263	0.00112601750432	0.00180789940895	0.000713921150798	0.000437431713615	0.000460436192277	0.000724409221323
n	0.0964803535707	0.0534953311252	0.518104014695	0.0786699427987	0.0921820039333	0.0522971313519	0.0347711388996	0.0157891001309	0.0116348994873	0.0105889120884	0.0119861019691	0.00826721926159	0.00944394903365	0.00283745807415	0.000440838382061	0.00269940473686	0.000312224113451
n	0.0357448213209	0.0203806120817	0.291651307565	0.329647105933	0.128069664644	0.0633845679173	0.0411217803999	0.0190147047103	0.0142286653624	0.0128217932861	0.013667850253	0.0106579810679	0.0119997357992	0.00354555611372	0.000443005516854	0.00344601720742	0.000174858074356
o	0.0225840652376	0.0216182673006	0.341732578522	0.394306857311	0.146055838215	0.0247959991058	0.0160913099666	0.00745254463677	0.00603254978747	0.0043651785987	0.004697316371	0.00365126873663	0.00407136490773	0.00118728918557	0.000148752520401	0.00115037754927	5.8499860824e-05
m	0.0305960684125	0.0284587671002	0.461733206174	0.174874799104	0.164641166072	0.0270465887019	0.0288851703889	0.0216533286123	0.00993003572916	0.0175026337796	0.015506423147	0.00336369131221	0.00609315015591	0.00328957125386	0.00356429159875	0.00216270403476	0.000698460209775
e	0.0229225819375	0.0192143340334	0.496389682058	0.107515832701	0.190160652024	0.0281537209006	0.0345665897963	0.0270836539708	0.0108713203764	0.0219647944265	0.019043598839	0.00324121954074	0.00676381826197	0.00399402521162	0.00470299909725	0.00249950630745	0.000911733895725
v	0.0123907537792	0.0149866913445	0.604394484019	0.0688159042337	0.169583129008	0.0504681316335	0.0219487695988	0.0122446928236	0.0059256424588	0.0154427659755	0.008745609903	0.00283335061691	0.00520509129732	0.00243105786421	0.00163087361342	0.00263961973168	0.000313480734042
è	0.00863794041307	0.0145139807815	0.728666518006	0.0479179649779	0.0894901274693	0.0543429044778	0.0152502310176	0.0061896686772	0.0040118016496	0.0131427326625	0.00525993131783	0.00263868294064	0.00463007065364	0.00190128503106	0.000606587103257	0.00268570550532	0.000113925355738
k	0.0218399159577	0.0166934132605	0.757628372669	0.0306034318926	0.0500424919564	0.0297863800926	0.0157593881572	0.0108674895617	0.00788527617987	0.0172318892248	0.0155275312894	0.00405610271521	0.00839643510575	0.00318951432001	0.00402981891654	0.0062954787632	0.000167141186637
k	0.0261611366998	0.0133088394378	0.441944747656	0.272590718964	0.0977552406521	0.0217297499642	0.0237884057191	0.0196297465206	0.0138227087266	0.0193504603416	0.0191097117965	0.00457588102174	0.00972314689858	0.00362208707534	0.00520224796551	0.00749995083533	0.000185235367079
i	0.00883057658053	0.0075987231636	0.275904722652	0.342427732655	0.164803840217	0.0858012385881	0.0327645232397	0.0246095395069	0.0140210439089	0.0100078240472	0.00976000563217	0.00721780912391	0.00810511466286	0.00371016892711	0.00177121043617	0.00259562952604	7.02843062263e-05
a	0.0740290024935	0.0365301797212	0.389740637551	0.118790670652	0.155828776739	0.120678834196	0.0292747346466	0.019365906269	0.016413393303	0.00681788981573	0.00783746097739	0.0098814531413	0.00865075552095	0.0043031821757	0.000600302090057	0.00122365239535	3.31855987421e-05
p	0.0967925152978	0.0468193795737	0.457579272517	0.066062206984	0.108462150913	0.097463722732	0.0182041451155	0.00872099218967	0.0200123457677	0.0139397444052	0.0153357600925	0.0114273378138	0.0135684919737	0.00544048475857	0.000479488187019	0.0196485650185	4.34143972474e-05
u	0.0334055169699	0.0198269038246	0.459804280839	0.057316540328	0.154711508971	0.126330274244	0.0256779633718	0.00975763072989	0.0175342065892	0.0183585641351	0.0171018872308	0.0124132728379	0.0161866199912	0.00550923776952	0.00043700741034	0.0255830935995	4.55030085991e-05
