 	e	forse	è	entrato	dalla	finestra	il	ladro	</S>
c	0.087414442875	0.370869808618	0.0016856397	0.00351818685	0.01428657452	0.02315425045	0.0033277131155	0.027669741762	0.468073711403
e	0.141593327625	0.599873669539	0.0082125509	0.00757516138333	0.0329856825067	0.04339006515	0.00111324884245	0.00923129439067	0.156025078867
f	0.103959105208	0.547219749846	0.0227493656333	0.0163876787944	0.0779915931689	0.176197686717	0.000374000832103	0.00311069034689	0.0520101782879
ò	0.290627164403	0.376039293282	0.0218704654778	0.0162378647981	0.075935164723	0.200752321039	0.000127562399774	0.00107191685813	0.0173382703433
r	0.350924947168	0.208193507094	0.0191535810926	0.103702610466	0.140726778574	0.164470505813	0.00314577476466	0.00382382794054	0.00585849123035
s	0.144466073089	0.360040595031	0.0404436660309	0.131854151509	0.160652250425	0.15153974862	0.00416440631255	0.00480401859685	0.00203511822112
i	0.099385527363	0.539962098344	0.091774678677	0.0637949518563	0.119722111042	0.0813496548887	0.00141013619618	0.00188168391562	0.000719149491373
è	0.063433589121	0.420803716115	0.0871713828257	0.170945227285	0.171090983681	0.0846268656296	0.00048762700406	0.00116300848187	0.000277570734058
n	0.028545511907	0.269272888705	0.0499938308752	0.267006272428	0.206640007894	0.15278272721	0.016068674239	0.00930868507062	0.000381395224953
a	0.0257689428357	0.334908662902	0.0747979256251	0.173865462476	0.181313282631	0.17593506907	0.021264602335	0.0117213517169	0.000424730591651
m	0.0292123282786	0.370903972301	0.0834963972084	0.103656405825	0.146234177544	0.21322122969	0.0308920440337	0.0202200999323	0.00216337076055
b	0.0307991820929	0.4193760421	0.103630785736	0.076149555475	0.107317492181	0.199420673963	0.0370544226779	0.0234657114108	0.00278612199685
ì	0.038976044031	0.432202384033	0.0993232562453	0.045832283025	0.125578233727	0.232938265388	0.0153862879026	0.0085760921836	0.00118714262562
k	0.029576995677	0.194872982344	0.0540147597484	0.0615008820083	0.207322554576	0.437360011796	0.0078917846442	0.00601074167453	0.00144924689187
e	0.0133113378923	0.085196414448	0.0333514575828	0.0518224850028	0.203163251525	0.601375003932	0.00537975282807	0.00494130894484	0.00145891734729
à	0.00549169139743	0.0562409194827	0.0150483258276	0.148011336001	0.202003483842	0.547569351311	0.00201433417936	0.0228803433683	0.000740178089097
t	0.00501003866581	0.0585307701609	0.0213917799092	0.228226775334	0.209314757947	0.34487331377	0.0650371280165	0.0647641344561	0.00285132328637
t	0.0131427476553	0.208340828387	0.148364975636	0.132552817778	0.138087189149	0.194107649257	0.101533545005	0.060355758152	0.00351451245212
i	0.0134016524934	0.242088113396	0.175628785845	0.050892633926	0.0852239512163	0.358317147752	0.0495775118083	0.023144278184	0.00172588054071
f	0.0052925181728	0.0880340583987	0.063043176915	0.0325978913087	0.109475512072	0.659167269251	0.0235980257428	0.0162413631947	0.00255014521357
i	0.00259249076427	0.0376404544662	0.0258848993717	0.0261294671029	0.113425324024	0.762476953084	0.0149915612743	0.0139124673982	0.00294638577119
n	0.000933264461423	0.0150917874887	0.0113155175239	0.0231039733676	0.0967230713413	0.639058481028	0.0131038584514	0.188291573799	0.0123784622904
è	0.000430737620474	0.0092158771629	0.00585194070797	0.0414062434559	0.118632747114	0.528057947009	0.0128499591505	0.2661685566	0.0173859890968
s	0.000882758706825	0.00956969372097	0.00579591543599	0.081274741152	0.162979675705	0.464917609003	0.0193700853835	0.243389080867	0.0118204446989
t	0.00426354616894	0.0323020305737	0.0393837804787	0.077923488384	0.123053852235	0.227323236334	0.255619080461	0.232205997956	0.00792497573297
r	0.00576046432298	0.0418074598579	0.0550149641596	0.0360717494613	0.0512095430783	0.0973153504447	0.580698460154	0.128301273652	0.00382071977766
a	0.00294544534766	0.019026350566	0.0262380498865	0.0230590824871	0.0524803396928	0.300401991815	0.454567870971	0.0838529262173	0.0374279762926
o	0.00111316626589	0.011290555802	0.0096634805955	0.0536767131624	0.0845627818976	0.462864120605	0.154464286577	0.158002880406	0.0643620544309
l	0.000779818331963	0.0122056332673	0.00650337666517	0.0723917493875	0.0917910092992	0.363438760202	0.069134290859	0.335524643469	0.0482307148103
à	0.000554291775654	0.00829826452243	0.00488716607172	0.0540834477958	0.0892531010997	0.353284693401	0.0382653729863	0.41181647449	0.0395571716034
d	0.000292732503551	0.00478206944081	0.00197954619057	0.0612731139319	0.157998595033	0.439810664467	0.0136692334288	0.29365928283	0.0265347631778
r	0.000924252681184	0.0096418853136	0.0140447780469	0.056131430644	0.153663866678	0.344127528822	0.155965317543	0.25218788561	0.0133130975359
o	0.00103965047576	0.00982365104453	0.0178556397756	0.0270997666147	0.0587747745593	0.156215233607	0.202925555754	0.231944467537	0.294321282012
</S>	0.00052060931093	0.00494000543227	0.0089678275278	0.0150156939074	0.0336443632797	0.129860491803	0.101493602737	0.130050452268	0.575506941006
