 	nella	pasta	metti	sale	vuole	il	sale	</S>
s	0.368735587294	0.117206136249	0.00999010057	5.81029665e-05	0.00411767162	8.301669825e-05	0.0185160128878	0.481293363544
t	0.669220559098	0.148422192083	0.01120363219	0.000217761402167	0.00428434568667	4.388773825e-05	0.00617546553943	0.160432175719
i	0.735995309699	0.178076127361	0.02541787873	0.000461812044056	0.00442889470889	3.308925775e-05	0.00206168742101	0.0535252440749
p	0.458950526033	0.169420845787	0.194120200243	0.000770109934685	0.157917497903	0.000134324187583	0.000751447373203	0.0179351034683
à	0.310079041478	0.152851848596	0.321495926748	0.000723310724895	0.208330635201	0.000165897948528	0.000314241248634	0.00603911526543
s	0.279584159493	0.167776339532	0.316212428916	0.00534611732163	0.154003477634	0.0253329848355	0.0490039612304	0.00274049741448
t	0.115341211498	0.0892312888107	0.222892398475	0.293465238774	0.135464440645	0.0468442749452	0.0950192920768	0.00174182349149
a	0.044305964166	0.13882200857	0.266634994995	0.384506960121	0.074606420315	0.0287498627867	0.0614610794714	0.00091268888383
v	0.0192781716553	0.168500811857	0.487689331665	0.130245865237	0.153309138772	0.0136032144006	0.0265353482696	0.000838103737943
à	0.0259564118184	0.139821379619	0.595487043888	0.046057671079	0.166471148257	0.00857529936687	0.0149195577215	0.00271150232265
l	0.0357858156061	0.132600609873	0.465767385963	0.0183175570263	0.100015448086	0.0282150653556	0.214766916206	0.00453121610755
e	0.021642614202	0.0949789119577	0.291552399988	0.0137962210088	0.252797952695	0.0348354056685	0.281788668002	0.00860782503585
à	0.00886939183067	0.0679862758526	0.519920943329	0.00994348925627	0.278722822732	0.0117285791228	0.0943639017269	0.00846457260195
l	0.00477367554022	0.0266285134842	0.504504320443	0.00555221047209	0.106310774744	0.0344627497243	0.314353230368	0.00341451072398
a	0.00372241861341	0.0172303584947	0.203715222814	0.0103192009574	0.309909110248	0.0422068220914	0.389032291656	0.0238645841747
e	0.0017350812878	0.0131042320316	0.241587194271	0.0100272783525	0.556103490083	0.0147750613805	0.131137979952	0.0315296689249
t	0.00111654394593	0.00663224151053	0.223342920357	0.00490734808417	0.375943018694	0.0183138716268	0.356048897851	0.0136951538416
è	0.000858396858643	0.00431650793684	0.259311795719	0.00492879419472	0.259471714898	0.0190811389756	0.431125587417	0.0209060612805
l	0.00326312646288	0.00885070611228	0.31157764524	0.00474048946491	0.234966932633	0.0150518007585	0.396694840606	0.0248544287602
i	0.00398745447096	0.00938181233743	0.155346465747	0.0030569049883	0.191277165211	0.0136708591595	0.385834727835	0.237444574587
t	0.00465456747365	0.0140412434125	0.210058405916	0.00252393332943	0.221235701737	0.00853327729317	0.230542130245	0.308410715862
à	0.00488335755455	0.0156295167042	0.473376815305	0.00196089234314	0.160399820579	0.00677287408572	0.178118595682	0.158858079621
l	0.00313110291485	0.0106708828014	0.441687931768	0.00120652224771	0.0875052335263	0.00854723168324	0.334891264161	0.112359735207
a	0.00251653520728	0.00839765535047	0.176540846089	0.00090894731257	0.0451411255088	0.00911634110975	0.387155392687	0.370223103736
</S>	0.00126065045714	0.00425442830024	0.0896764362945	0.000487604151285	0.0317668542544	0.00457002737788	0.193850003293	0.674134001868
