 	voglio	un	forno	che	vende	rustici	</S>
t	0.614942019395	0.0093463910164	0.006088352394	0.008669916906	0.00469424117558	0.0302773206934	0.32598176698
è	0.652542183	0.1261985546	0.122432877264	0.0545955356166	0.0279612360902	0.00235976279723	0.0139098714583
l	0.947644	0.04082798354	0.00472745512412	0.00326038882527	0.00328713608792	3.91157895436e-05	0.000213908378759
o	0.43382711586	0.13723325934	0.017557259412	0.140063765708	0.0997949000082	0.0321861634602	0.139337529552
è	0.2123510496	0.68405317	0.0203429407	0.033329047496	0.0479067252631	0.00141492632894	0.000602140068441
n	0.14736995076	0.32077807138	0.295836653131	0.19156818154	0.0431193075046	0.000502405833428	0.000825370653865
a	0.0358241277	0.428692556	0.14991471296	0.1169069186	0.196383183472	0.0692297599616	0.0030487389167
f	0.0961237444689	0.319940494	0.429198054	0.115247753	0.0363130361386	0.00138347482113	0.00179344221386
ù	0.025298751764	0.24847310686	0.32553612136	0.1965416226	0.13440054126	0.0625308153262	0.00721902046
r	0.021129984584	0.1470878082	0.47505396032	0.2392874594	0.10524661828	0.006109971456	0.0060842061492
n	0.028124875654	0.1063393406	0.2876374249	0.2063434608	0.0965132328	0.132901235599	0.142140456052
o	0.252691584326	0.0465833224	0.29586213149	0.21633783	0.1370388394	0.00970849687	0.04177780601
k	0.00420008252862	0.1187725259	0.05514512512	0.51800947	0.234319194	0.034347682668	0.035205918948
a	0.0308910851483	0.03359783096	0.112759222544	0.436666554	0.24585642	0.127788295	0.01244059844
p	0.0025555610753	0.0620709646692	0.0701405733	0.375492016	0.40775095	0.05373329774	0.02825663398
u	0.015342932794	0.0202167306	0.0816175966438	0.2196639412	0.360049638	0.2716311022	0.03147806346
l	0.00098628310522	0.0120438112638	0.111605036746	0.225458356	0.499110134	0.114581815	0.0362145728
ì	0.01895626556	0.012433544908	0.0330915093398	0.0856725486	0.2601499234	0.5548881838	0.03480801808
r	0.0001200433984	0.0013446422091	0.015208210392	0.087475162	0.2389820344	0.547816716	0.1090532118
ù	0.0262171549062	0.00306764839	0.00726018704	0.0358853502	0.2518443092	0.6160196078	0.0597057574
s	0.000104978161268	0.00126558582074	0.0054259099106	0.03722983301	0.2309404518	0.547155548	0.1778777112
t	0.0428011409796	0.015254480166	0.012140338706	0.0601360479	0.270500038	0.5120521164	0.08711584182
i	0.195271641102	0.0162935433371	0.142591128792	0.02592567316	0.2423020632	0.10109098604	0.276524970422
k	0.000333457995049	0.0020523321951	0.0011156939397	0.0217461645592	0.15189478696	0.26222769324	0.560629866
u	0.00842641483376	0.0034358635932	0.003464290829	0.0636874772	0.3187873934	0.5213202844	0.0808782601
</S>	0.000371282220211	0.00234727362434	0.00238004751506	0.01390102082	0.13500310274	0.25454905	0.591448218
