 	non	sono	ancora	vestita	</S>
e	0.650189449732	0.0753989905248	0.00925773564	0.0103479330392	0.254805903862
n	0.593115562292	0.1989922282	0.0931640626	0.113979388646	0.000748797541206
ì	0.09801294	0.4400987584	0.21048776136	0.012345858232	0.239054690122
m	0.0331743256	0.801260514	0.162852923598	0.00094006953608	0.001772105607
e	0.11528663906	0.4878057322	0.11365195868	0.26637308254	0.016882557702
a	0.118821526852	0.197401034	0.66061850686	0.00298775537466	0.0201711957512
n	0.00824269389792	0.15049967622	0.787236636	0.041875762196	0.0121453057491
k	0.0148108449652	0.0493140634	0.4099627	0.1993345892	0.32657778528
ò	0.05758843614	0.4777373842	0.39184081	0.0498339952	0.02299940289
r	0.0777661062836	0.11965711736	0.40078591	0.3165789426	0.0852119028
a	0.0343765673638	0.0761104726	0.521587052	0.295650426	0.07227547512
e	0.020214287449	0.197573515566	0.3743336294	0.273022434916	0.1348561136
n	0.00936301778881	0.0195350030888	0.379800836	0.465635588	0.12566550614
d	0.00652527090743	0.0075668263928	0.02960166904	0.6567485626	0.2995576584
i	0.0429746692	0.2065036254	0.1650069884	0.4154635064	0.17005119274
m	0.0403835543062	0.044640829929	0.07128800188	0.4498511108	0.39383654
è	0.0052864183477	0.0132398712	0.1659696736	0.734300948	0.08120312944
n	0.00822248236056	0.0234401619767	0.14416724116	0.51847702	0.3056930834
i	0.14141667656	0.049334297108	0.0446030272	0.63126663	0.133379358
</S>	0.0195686205296	0.0221905000275	0.0205352192848	0.0616453976	0.876060298
