 	il	vestito	della	sposa	deve	essere	bianco	</S>
o	0.658894893095	0.01397254482	0.0012352817148	0.0002377657284	0.000678881816396	0.00217115422408	0.0519484100577	0.270861062698
à	0.0665357999386	0.04771410794	0.648394388	0.230544093844	0.00446529561095	0.000456554988	0.000375320740327	0.00151448645095
b	0.134634612766	0.0968149218	0.523784252	0.188179709152	0.024301952482	0.0320180225775	9.42455925078e-05	0.000172259996956
b	0.0787078365527	0.45144839416	0.126055623	0.10883519044	0.025351606654	0.0871466435164	0.115880189024	0.00657448681449
e	0.09343821	0.72129149	0.0358969232	0.068865480396	0.0633337307303	0.0125309587085	0.000263929546166	0.00437931771012
t	0.049592338064	0.771003694	0.0871686166	0.08339425589	0.00587736292935	0.00112481140816	0.000797985162144	0.00104094641879
o	0.06154918232	0.49726399	0.238292714862	0.07514037683	0.0300607332814	0.0893484428974	0.00801496558834	0.00032962453464
u	0.00274074826566	0.4512444812	0.3815991014	0.13663915912	0.0232941573428	0.00360141745362	0.000161550042019	0.000719398216142
k	0.000347744650216	0.04067494872	0.396475742	0.421360387	0.05456891136	0.07475922057	0.00324925666957	0.00856381519927
o	0.0961373974	0.313376402	0.07240751394	0.12939183706	0.0236434852	0.04907622072	0.3078004718	0.008166673366
r	0.0935068061694	0.4366947916	0.0897959628	0.30770785936	0.03801376777	0.0181995802712	0.00497551989226	0.0111057675435
a	0.03910911586	0.2738647762	0.09841710892	0.1812512992	0.05719214994	0.07034919046	0.23847783686	0.04133854884
s	0.0358827586232	0.387657770984	0.04850706552	0.34523302522	0.091101915834	0.073691894594	0.0031984912258	0.014727060314
ì	0.01634383504	0.10240086222	0.03845285229	0.1926414496	0.14208655446	0.1062130182	0.334655497	0.06720593504
u	0.00143943458104	0.175731400406	0.017548137054	0.3626669008	0.2062624747	0.0682815132	0.163390506008	0.004679628224
è	0.00163687212847	0.0247430408414	0.029209912672	0.1457083246	0.43764856	0.3383193368	0.0170670844576	0.0056668548566
n	3.46112345016e-05	0.00096519238952	0.0120295766116	0.18430831092	0.26720259136	0.330834636	0.200632627224	0.003992410464
a	0.0079276833128	0.0364789035764	0.011048525434	0.0454491942	0.1378651866	0.3576347028	0.3357546586	0.0678411156
n	0.00635368106144	0.178252323364	0.0253742053753	0.0230414060986	0.1203876604	0.540004484	0.0587509822	0.0478352426
e	0.0346382772812	0.00895688200231	0.0027776498492	0.003496709784	0.05667515054	0.3993258258	0.3612509112	0.13287863558
à	0.00422296389831	0.056398094963	0.0166574876902	0.0170229569792	0.0683275672	0.568154234	0.1676619784	0.1015547406
s	3.25242163386e-06	3.6076038428e-05	0.00434097596458	0.058240038428	0.035107485834	0.5083708344	0.381609099844	0.01229222406
p	0.0031879833096	0.0204180101214	0.001795019288	0.003234160324	0.02571330678	0.1849015418	0.624867286	0.13588270462
r	0.189298074506	0.0311807566414	0.011397339462	0.004511827686	0.017693853788	0.0373617834	0.490936545	0.217619799821
o	0.278896595846	0.0245628531191	0.002088771742	0.0021996730874	0.00791876465	0.03818559082	0.386390116	0.259757627704
</S>	0.00333182647316	0.0033440270331	0.0035102039959	0.00418145828756	0.0129038571864	0.0357386802	0.17656733472	0.760422652
