 	il	vino	buono	deve	essere	invecchiato	</S>
o	0.656327513426	0.0082643351154	0.0041819838332	0.0016586044326	0.0029587524238	0.0078101850929	0.318798584776
k	0.34743585499	0.6159649992	0.01012465821	0.0101443783284	0.0109002442484	0.00113963860228	0.00429022326608
r	0.090488517636	0.489140782	0.12878145203	0.08865197846	0.13380764778	0.031425075334	0.03770455654
a	0.402417694	0.547556883	0.04354826358	0.003919601919	0.001106545158	5.3600403464e-05	0.00139730565558
s	0.039776656246	0.889501344	0.0588676383664	0.0065460746014	0.001624876088	8.728972332e-05	0.00359616724872
ì	0.03329048349	0.457477646	0.2028689045	0.06920366396	0.140538703806	0.0617930307134	0.0348275181968
k	0.0323176938112	0.887062518	0.05521553377	0.017769982398	0.006786529021	0.00026331929678	0.000584361741459
a	0.1994641774	0.396613486	0.062087407	0.06785173246	0.04128544876	0.065072284558	0.167625478899
l	0.0385916464958	0.4494528502	0.42753075006	0.0560403198	0.024848254644	0.00109065367311	0.00244550235599
ò	0.06017887872	0.317704666	0.1634607136	0.1262509736	0.1298212592	0.167200309586	0.035383216132
e	0.007077932657	0.1706408222	0.2657859192	0.266997088	0.2564985906	0.018340859476	0.0146587615751
n	0.00300835655368	0.032091954766	0.284874085892	0.462716472	0.1587365426	0.02972144175	0.0288511616379
a	0.00446314698	0.0330858439	0.08095402878	0.305341392	0.310980979	0.23253780426	0.03263683206
è	0.00830153693387	0.0920727003063	0.04459586226	0.226357912	0.587420368	0.02881555916	0.0124360360356
n	0.000401270806835	0.0089660306968	0.01111486796	0.2582287228	0.643921174	0.0688373534	0.008530628627
e	0.016605713976	0.022951561566	0.031476562192	0.1573375034	0.2829814446	0.4592172388	0.02942997044
a	0.00323679076577	0.0253687854876	0.017248146941	0.127786785068	0.477142698	0.2832929992	0.06592379018
n	0.00010425954245	0.00333881762648	0.0335934135186	0.101303856072	0.411098016	0.4051512212	0.045410372844
v	0.000416626838	0.0015261666604	0.00580555021	0.01978854188	0.2432725904	0.599299182	0.1298913235
e	0.21831222006	0.0173696511	0.10773438632	0.0689421618	0.2980763948	0.2216813614	0.0678838137
k	0.00178330958868	0.00196095082371	0.11752912775	0.030109685756	0.0985749696	0.4516039436	0.2984380056
k	0.006080096232	0.009706826106	0.005920080766	0.02043023712	0.1307857448	0.8033899	0.02368708812
i	0.10988365074	0.02681126038	0.098038708466	0.03924776096	0.29361502	0.341728452	0.09067514484
à	0.00207455505728	0.00245089386133	0.00829451817065	0.0181494627896	0.09281191918	0.395263818	0.480954828
t	0.0046979332636	0.016323657372	0.0475561475305	0.0652906195985	0.2175053791	0.5669402148	0.0816860292
o	0.0156870615033	0.00998257775109	0.0163156207588	0.056198888636	0.0858431107	0.746010378	0.06996234964
</S>	0.000640191279008	0.00345177641346	0.00261211800882	0.0262656461719	0.09916013154	0.203189212	0.664680926
