 	guardate	che	il	ladro	che	il	ladro	è	entrato	da	qui	che	ci	sono	i	segni	</S>
k	0.635055698179	0.084984734751	0.028311857828	0.01338995115	0.0106810787767	0.0195001246176	0.0121547674963	0.0166276918687	0.00890140139058	0.0100732190328	0.00821244711833	0.0111971221555	0.0146224554764	0.0113817973679	0.0110569041581	0.0365244358763	0.0673242961171
a	0.58030343126	0.190165728984	0.0661922933017	0.049792707364	0.0196405937358	0.00978802215795	0.00992078464187	0.00776311937306	0.00421048826253	0.00465790337431	0.0033007480333	0.00393872083878	0.00492397129013	0.00383130362339	0.00375619098102	0.0121975261326	0.02561645986
n	0.369861686773	0.261344830461	0.103754787188	0.110537059587	0.0354022445885	0.0141524104246	0.0304015083863	0.00972810354432	0.00363561140239	0.0121659745335	0.0111773727949	0.00311217395449	0.00951252778223	0.00175384662076	0.00182731666167	0.0045032170106	0.0171293350745
o	0.214337641111	0.32984606942	0.137856072817	0.167189057163	0.0317540572786	0.0134046029942	0.0347261144326	0.00939454606131	0.00384880734385	0.014482276889	0.013802751679	0.00281033913284	0.0110303210469	0.00105615311824	0.00116228767604	0.00193653275902	0.0113623704794
n	0.114920189918	0.36057068734	0.140556962262	0.200291935647	0.0586475316802	0.0128233240594	0.0302878693847	0.00989441972514	0.00427871526797	0.0195942612582	0.0284767507946	0.00329888517333	0.00675380695942	0.00176551149236	0.000704070999338	0.000747715082395	0.00638735255433
ì	0.0791104426867	0.375451489113	0.120666003031	0.220713003149	0.0748615134514	0.0134208397525	0.0292411264365	0.0108842770745	0.0048596507297	0.0212440022822	0.0332982919425	0.00348365985402	0.0053288576912	0.00200435799984	0.00054942396438	0.00034967053675	0.00453338503149
s	0.0787001156156	0.403004374238	0.131913274568	0.21389562393	0.0606279476018	0.00897963875285	0.036737924356	0.0137395426652	0.00739612083247	0.0114305162528	0.0122027292934	0.00311571435979	0.00218487362709	0.00127006452921	0.0021026433034	0.000882517253973	0.0118163742204
e	0.0625168280711	0.305197435479	0.252067702028	0.199066137143	0.0693176667606	0.00907293085695	0.0424428986169	0.0143438378546	0.00812087190882	0.00951581134942	0.00524833910744	0.00299429107144	0.00114687009489	0.001025323004	0.00262098071998	0.00105998307657	0.0142420766637
t	0.0410403575009	0.183282545453	0.341137025181	0.232874043534	0.0821979203869	0.012134443939	0.0370631636972	0.0197355876631	0.0072829120067	0.0141151298814	0.00553794045457	0.00514315418168	0.00180383699358	0.00159758388457	0.00444755330488	0.00129283929258	0.00931395322305
e	0.0267885216145	0.133395848131	0.317670735927	0.276412703425	0.112484285262	0.020221623777	0.0377415747411	0.0218819643285	0.00686795273186	0.0168129457786	0.00583264177221	0.00592033791845	0.00206612098652	0.00179651610676	0.00505600968209	0.00137083299295	0.00767939047286
