 	non	ho	cosa	a	fare	</S>
e	0.664245347998	0.0707710645587	0.101688951708	0.013260604881	0.0107715558175	0.139262437439
n	0.473284007166	0.143076498053	0.173439581143	0.0564568405603	0.0629709115208	0.0907721152782
è	0.208081940242	0.332884238018	0.226517271448	0.0765618008381	0.0812247077456	0.0747300098237
c	0.100644501347	0.390765504406	0.307307228216	0.109380867931	0.0570129084525	0.0348889707259
h	0.0721826810157	0.385185587202	0.308684667739	0.120295804797	0.0498704965108	0.0637807435256
o	0.0681821442664	0.358931565801	0.375652522646	0.110196577819	0.0205926740769	0.0664445008458
t	0.0415696286942	0.204625508134	0.482939631949	0.176642119873	0.023869747579	0.0703533682982
i	0.0224507127641	0.125499638219	0.40352572585	0.321054146624	0.0447367795997	0.0827330173594
k	0.0114537965052	0.0785549036883	0.24624963055	0.377423939075	0.16303238832	0.123285346653
à	0.00625774664888	0.03652075676	0.110663465323	0.244103700158	0.443226682693	0.159227640744
m	0.0316062041855	0.0343742332799	0.129374044181	0.141833047453	0.543848520004	0.118963944921
i	0.0405486338645	0.0330744548015	0.131644659674	0.0954947204843	0.447954655775	0.251282865154
</S>	0.0213971303602	0.018137756357	0.067513161257	0.0710077855421	0.423316219888	0.398627933577
