 	qui	ancora	stanno	con	la	luce	accesa	e	stanno	svegli	</S>
e	0.10089652	0.009012349	0.011727391	0.032051623	0.032411832	0.021676278	0.026560783	0.023178728	0.005220013	0.21011782	0.52714664
t	0.96405977	0.029677322	0.0037898028	0.00072477205	0.0007214626	0.0003560188	0.0001552856	0.00015827376	8.448708e-05	1.406321e-05	0.00025865252
t	0.9836361	0.013822855	0.0013570235	0.00021754512	0.00035211118	0.00051458005	3.345989e-05	1.826355e-05	2.5880643e-05	1.2399427e-06	2.0946534e-05
ù	0.8977212	0.030000387	0.010366393	0.015762003	0.011246649	0.014052855	0.007215545	0.0041647893	0.002712247	0.0019304082	0.0048275236
a	0.027086586	0.7969839	0.09076544	0.020755194	0.022253424	0.03917826	0.0011558386	0.0005749184	0.00023381626	4.499297e-05	0.0009677367
n	0.0008693464	0.8587788	0.13268991	0.004060249	0.0017388827	0.001554842	0.00016666016	4.2357107e-05	1.6167489e-05	1.863486e-05	6.41073e-05
k	0.00080547744	0.8171783	0.17490663	0.00250481	0.0016529312	0.0028101273	8.265522e-05	1.4787853e-05	2.4434188e-05	5.4549064e-06	1.4384078e-05
ò	0.020164777	0.13426572	0.16895278	0.13357416	0.07300897	0.08783329	0.11232796	0.07371005	0.019328486	0.029105091	0.14772865
r	0.00020666281	0.17344739	0.19933689	0.19824792	0.2578652	0.14750375	0.008899551	0.0040146066	0.0007153067	4.3502652e-05	0.009719175
a	3.497545e-05	0.26802137	0.6275303	0.046541564	0.02222292	0.034767583	0.00058795285	6.114894e-05	7.839281e-05	9.821406e-05	5.5599012e-05
s	7.3731803e-06	0.046484906	0.18209422	0.583608	0.116992965	0.04662672	0.005770387	0.0055547804	0.00050865626	0.000119188015	0.012232791
t	6.988775e-07	0.08528627	0.62851286	0.13723552	0.07696174	0.06883927	0.0021298286	0.0002955253	0.00032799636	0.00011896745	0.0002913651
è	1.0871425e-05	0.03985268	0.5788091	0.20603149	0.032762602	0.018088432	0.032498837	0.014113694	0.0022915571	0.028213678	0.047327034
o	7.0970596e-06	0.01380029	0.028248362	0.6137231	0.26087385	0.07175146	0.0042639417	0.0014283874	7.8183635e-05	1.4166701e-05	0.0058110873
