 	la	donna	è	capace	pulire	deve	pulire	la	casa	ogni	giorno	</S>
e	0.87911695	0.015373564	0.0043802294	0.004257652	0.0051251203	0.017961439	0.0037207576	0.003236278	0.0017950436	0.0023067992	0.011041971	0.05168429
j	0.7355316	0.25584817	0.006396866	0.0010647756	0.00031322503	0.0005584852	9.2675895e-05	6.307447e-05	2.6025466e-05	1.0838935e-05	1.3407831e-05	8.0780635e-05
i	0.6687521	0.32598093	0.0040632673	0.0005212681	0.00045464985	0.0001567564	4.299719e-05	8.044552e-06	1.01666965e-05	1.7484386e-06	6.0893785e-06	1.9887445e-06
n	0.15950337	0.80945194	0.020515757	0.0029916265	0.0015032016	0.0028445967	0.00052879984	0.00043553117	0.0009141644	0.00028568716	0.00046520497	0.00056009373
è	0.003500508	0.9210472	0.031413637	0.010920289	0.011091645	0.0106129125	0.0057661682	0.002148119	0.002829628	8.648931e-05	0.00033700402	0.00024633246
k	0.024267534	0.85205424	0.08863804	0.011868632	0.006751382	0.010365183	0.001979064	0.0009245151	0.0022267324	0.00012528387	0.00019616103	0.0006031471
a	0.0007466024	0.90382123	0.07513761	0.00998244	0.005932703	0.002725411	0.0012124645	0.00012467487	0.00028354375	2.5729596e-06	2.0148096e-05	1.0648615e-05
è	0.00016469954	0.1834349	0.63947886	0.16306703	0.005069613	0.0048207506	0.00066035433	0.0006620335	0.00064722163	0.00037144843	0.0005382538	0.0010849052
n	4.7607013e-05	0.012169173	0.8782824	0.10325159	0.0028805432	0.0020903682	0.0002520804	0.00016595956	0.00016974827	0.00013830254	0.00031645177	0.00023573126
e	4.9952825e-05	0.089608595	0.53766745	0.35529515	0.015285157	0.0011927256	0.0005826823	7.486017e-05	0.0001935635	1.0815993e-05	2.545935e-05	1.3625485e-05
k	2.1880836e-05	0.0022184246	0.0741227	0.89125	0.028231582	0.0031880306	0.0004291181	0.00018146331	0.00014626893	2.502247e-05	3.427284e-05	0.00015121252
a	5.0437535e-07	0.0006651374	0.09144271	0.7876576	0.094497055	0.013573197	0.008390274	0.0012822081	0.0016120283	9.234135e-05	0.00067297206	0.000113909395
p	2.4493506e-06	0.000116444775	0.027851325	0.8540556	0.09528546	0.01569206	0.0017205215	0.0011574754	0.0014674873	0.0005019309	0.00093428075	0.0012150024
à	3.2213464e-07	6.968894e-05	0.013021284	0.6347829	0.24903446	0.051337868	0.03593626	0.006574927	0.0075693033	0.00018019877	0.0010185566	0.000474189
c	3.0962804e-07	0.00016712766	0.09925581	0.6848579	0.17378157	0.034827247	0.0041153766	0.00095671456	0.0013833051	8.4518506e-05	0.00023705336	0.00033317436
e	1.8698653e-06	0.00047232196	0.11786904	0.6787198	0.14388128	0.029817827	0.017799977	0.0040138527	0.0037060909	0.0010200696	0.0020621838	0.0006355824
