 	se	avevo	visto	nuvole	avevo	capito	che	stava	per	piovere	</S>
a	0.7533899	0.074671715	0.026719494	0.015937116	0.0025904817	0.046536427	0.015490433	0.0072586206	0.0055789654	0.015934456	0.035892278
n	0.077638686	0.8959723	0.02377184	0.001818144	0.0004140133	0.00019562144	5.494505e-05	0.00010518783	8.128607e-06	3.4736638e-06	1.7673809e-05
e	0.0018192573	0.9727727	0.021081176	0.0027931468	0.00096385623	0.00012599157	3.0377727e-05	0.00038348694	1.0567733e-05	1.1851857e-05	7.685492e-06
v	0.004040526	0.95874727	0.033806495	0.0025861016	0.00044976154	7.037152e-05	0.00010333127	0.00017518735	4.430615e-06	4.1132903e-06	1.235931e-05
ò	0.0031883775	0.72024155	0.26900837	0.006481478	0.00047039066	0.00038248106	5.618886e-06	0.00019502387	5.243825e-06	1.8817833e-05	2.6172095e-06
ì	0.004439094	0.24038163	0.73146844	0.02176617	0.0013173306	0.00013212202	9.144183e-05	0.00034535877	1.4082388e-05	2.0063977e-05	2.4209994e-05
c	0.00016867704	0.055900026	0.8992344	0.040742125	0.0010871531	0.0014559346	0.00017006567	0.0009765519	4.135312e-05	0.00014271679	8.10677e-05
h	0.0008146927	0.16189605	0.78263366	0.043587737	0.008287231	0.0006825689	0.00014503003	0.0015182481	0.00014750047	0.0002302318	5.7167577e-05
a	0.07406687	0.14307866	0.44595167	0.04135468	0.015634943	0.04773787	0.042125307	0.026794713	0.019892534	0.027126053	0.11623674
d	2.8865497e-06	0.00026383795	0.8946833	0.09543561	0.0019209554	0.0040672403	0.00044674223	0.00227524	0.00011399494	0.0003571273	0.00043293624
ò	6.270091e-05	0.009664272	0.133787	0.69166243	0.09047113	0.02841349	0.0025564556	0.038614307	0.0011863117	0.0026250866	0.000956834
n	4.085589e-05	0.000949951	0.2772247	0.6792022	0.028179547	0.002869697	0.0023569514	0.007989498	0.00020839217	0.00044919693	0.00052902574
t	1.563243e-06	0.0011927186	0.13059276	0.7758102	0.058719117	0.012197515	0.0013215797	0.01665464	0.00065851473	0.0022601942	0.0005911496
a	0.0018460207	0.0050776443	0.15034144	0.4686055	0.053143296	0.1048992	0.039557125	0.03690704	0.034665134	0.041878544	0.06307914
