 	non	ho	dove	d	andare	</S>
e	0.31872054	0.358570455	0.0187211677	0.01385073473	0.05720049693	0.23293663055
n	0.219203085333	0.630025635	0.0450771582333	0.00642375629667	0.02089800583	0.0783723662833
è	0.0878699157777	0.804446441667	0.0659782894111	0.00541218909889	0.00938200567667	0.0269111066044
c	0.0615941639259	0.768447993889	0.12608968647	0.012373694133	0.0182313493922	0.0132630763115
h	0.0753647363086	0.564351771296	0.255046652157	0.017610770711	0.0246981327974	0.0629279741038
o	0.0539165181562	0.301564247099	0.435645350719	0.0489849489037	0.0317604162658	0.128128561368
p	0.0181222363454	0.1078461948	0.64669873024	0.0784270899679	0.0468637004219	0.102042026456
u	0.00615924665013	0.0386695704067	0.533660831747	0.276757915323	0.082211023474	0.0625413714853
è	0.00208744111971	0.0131202144522	0.213402709982	0.566729648441	0.161040891158	0.0436190641618
n	0.000720940857237	0.00466013834407	0.0791221407273	0.488602026147	0.409830983719	0.0170637552206
a	0.000248991920079	0.00175171937636	0.0337913468758	0.226118870716	0.709420237906	0.0286688585735
p	8.92332405597e-05	0.00059737352112	0.0117697862119	0.089317497072	0.852852679302	0.0453734381912
à	3.05889712779e-05	0.000203911323373	0.0041032836333	0.0448889398573	0.911520293101	0.0392530033971
o	1.3839472984e-05	7.3306839791e-05	0.0013934712991	0.0276144498191	0.8291558877	0.141749059799
</S>	1.2364386992e-05	4.28468693955e-05	0.00072059386755	0.0145900857095	0.73521537885	0.249418709899
