 	il	medico	mi	ha	detto	di	non	mangiare	dolci	però	a	me	mi	piacciono	e	li	mangio	</S>
o	0.67295405	0.275358832	0.00778239294	0.004049645	0.00157964985	0.0011148985	0.0031908699	0.00227482925	0.00039629694	0.002022159565	0.00122346724	0.002815833825	0.00366891119	0.001486049355	0.00143060282	0.0009457776245	0.0010721753435	0.016633518335
m	0.52736254	0.442925060667	0.00832205314667	0.00451374746667	0.00112953768333	0.00114730283333	0.00156461838333	0.00134676965	0.00042590234	0.00103207685167	0.00054872042	0.001059102543	0.00135676763333	0.000518172818767	0.000486468761333	0.000324435834167	0.000361467538167	0.00557524297333
e	0.34963291	0.589436670222	0.0363423075489	0.0125421932889	0.00152117312778	0.00172143151111	0.00172664354444	0.00159597225	0.000561518833333	0.00084019760389	0.00038238362	0.000521548532333	0.000660507054443	0.000200648205356	0.000173495884778	0.000119559504722	0.000125620441389	0.00189521302944
s	0.143405416	0.776875556741	0.0460046244496	0.0222741630963	0.00250755140926	0.00215989637037	0.00174710230581	0.00160540267	0.000500527664444	0.000938471501297	0.000313695301333	0.000327237796111	0.000413793907814	9.30002615853e-05	6.81020210927e-05	5.03158709407e-05	4.8205980463e-05	0.000666897995413
s	0.114457354667	0.725596628914	0.0206089707499	0.0275273310321	0.0246549949698	0.00887398852346	0.0016535387596	0.00245974871	0.000706152054815	0.0224030356671	0.00838775799511	0.0143740339174	0.00138403975894	0.00315212941166	0.00587054797686	0.00209213854268	0.00253305789282	0.0132644935841
è	0.174927358222	0.482079306305	0.0557187109166	0.0927623570107	0.0591544663233	0.0244301808412	0.00386054838653	0.00409520190333	0.00136556801827	0.0324122265557	0.0116088178317	0.0194464764058	0.00205857215298	0.00427208385389	0.00789045007895	0.00285079289423	0.00345663996427	0.017610224188
r	0.144584887074	0.296313598768	0.0726536329722	0.303530612337	0.0850156421078	0.0388569686137	0.00365390374884	0.00518906853444	0.00192699237276	0.0220723025186	0.00506277541057	0.00738244213527	0.00107273318433	0.0015398718703	0.00273994905965	0.00103958833141	0.00132233661142	0.00604271305933
e	0.060972405258	0.153703986256	0.0822367336574	0.429949467446	0.170264750703	0.0542084678712	0.00489505940295	0.00563643961148	0.00227604125759	0.0190995561729	0.00386333057019	0.00463072477842	0.00155827519478	0.00113595739243	0.00129465526655	0.000653170197137	0.00060212892714	0.00301886668978
m	0.0208692360407	0.0630531965187	0.0871153778858	0.544951589149	0.199313023568	0.0499764079571	0.00521178630432	0.00400111793716	0.00177228718586	0.0112643138576	0.0029021253334	0.00328334368281	0.00168799601759	0.00098866478491	0.000793717988183	0.000515717052246	0.00031001437138	0.00199014729776
u	0.00696668279623	0.0229840175729	0.0691038176286	0.624871949716	0.204473747856	0.0454439959857	0.00844314260477	0.00404001594572	0.00155504049529	0.0055400153192	0.0014696920878	0.00158942368427	0.00101835265853	0.000601469782403	0.000380444055394	0.000353011183949	0.000189833636127	0.000975410067087
p	0.00232822839548	0.00805566889097	0.0568913838762	0.550047503239	0.268565602619	0.0769925733286	0.00976407327826	0.00740608841524	0.00318056919843	0.0109656986731	0.0015886134626	0.00152539292809	0.000805573001843	0.000481964196468	0.000257855828465	0.000304733582316	0.000177122058709	0.000661397015696
e	0.000783027820227	0.00291308304032	0.0282018752921	0.474317767746	0.30700610754	0.13544758111	0.0172202748361	0.0115298381384	0.00458162049948	0.012921510891	0.00158400822087	0.00144328057603	0.000638526382948	0.000374009801156	0.000193333109488	0.000236470535105	0.00014787584957	0.000459883551899
n	0.000267061414709	0.00110211758677	0.0142484396307	0.337588265915	0.387691415847	0.196967693703	0.0198252845454	0.0147087897128	0.00593322883316	0.0157270676303	0.00211983534029	0.00190512462534	0.000591488127649	0.000348777117052	0.000188632666496	0.000217896214035	0.000152657709857	0.000416267373966
a	9.03433762363e-05	0.00040393173559	0.00580199874357	0.199204251972	0.401461818616	0.309627951234	0.0313231411151	0.0196612015709	0.00770951627772	0.0174924295434	0.00251909964676	0.00230848694178	0.000702461509216	0.000438795089017	0.000240701468832	0.000293391573678	0.000216209723286	0.000504256627989
m	3.11882893788e-05	0.000158937068197	0.00246271213452	0.103934235991	0.413587206205	0.386747797078	0.0352805290717	0.0221741601903	0.00859637942591	0.0186199168478	0.00309580874892	0.00264007424726	0.000757320886405	0.000482410676339	0.000279851972944	0.000325172822559	0.000268758251095	0.000557527262663
i	1.06906722329e-05	5.82888599323e-05	0.000930941031507	0.047848040997	0.364992308735	0.478770369026	0.0477343763906	0.0229335910634	0.00965567180864	0.0189727664159	0.00321000748297	0.00259815331575	0.000627369545468	0.000397369025446	0.000243107784315	0.000262312088853	0.000259476977032	0.000495163160888
n	3.76936721763e-06	2.19613565441e-05	0.000363189933836	0.0188909065323	0.230023282912	0.569549516342	0.0566178127969	0.0417318733545	0.0245835869362	0.0379869369386	0.00844674406099	0.00796193013858	0.000637709121823	0.000655524448482	0.000684679338105	0.000384387052951	0.000470195479011	0.000986000573629
f	7.55042170588e-06	0.000288438951215	0.000440767067945	0.0197463453774	0.321734967637	0.440936322114	0.0252890941656	0.0423836961182	0.0277856423121	0.0522424249795	0.012856845687	0.0154520420462	0.00133694341394	0.00229691500283	0.00486139844604	0.00162575985765	0.00387415733634	0.0268407135912
à	1.26816295686e-05	0.000394098862405	0.000553069195982	0.0252319437925	0.324607285879	0.406864007371	0.0312452186219	0.0337612103727	0.0190999257707	0.0521769176598	0.0182006455623	0.0258299303487	0.00565684247131	0.00331521950094	0.00621952284868	0.00207625205255	0.00475415956211	0.0400010705304
o	8.1995454562e-06	0.000148858100458	0.000295201824247	0.0147053742608	0.140670671293	0.37854014579	0.205091442874	0.0588984121242	0.0368950585902	0.0806856892199	0.0235768058541	0.0262098634496	0.00647452272377	0.00235820383365	0.00286624709956	0.00112918755085	0.00180634693737	0.0196397608768
g	2.86941317207e-06	5.01268888093e-05	0.000102851500336	0.00510500260027	0.062541006431	0.292523548597	0.246261598625	0.129671010708	0.0804165695301	0.130090133073	0.0224319869514	0.0156813228165	0.00267281708459	0.00134284697122	0.00143999589319	0.000666279863617	0.00105289055579	0.00794713271227
l	1.8590908144e-05	0.000373158363936	0.000518562506779	0.0177052637168	0.11847378881	0.280007729532	0.0880622546417	0.140293427903	0.09033735651	0.143287457691	0.0257397233171	0.0246937342722	0.00626350897153	0.00310114918374	0.00613139104106	0.00129983400121	0.00188389019526	0.0518091586241
i	7.9848206048e-05	0.000529913807979	0.000660976713926	0.0223710939723	0.13083963527	0.264394833177	0.0500529003139	0.105190836968	0.0855197255033	0.13571022923	0.032875223439	0.0413321514241	0.0125247963238	0.00475144979458	0.00861847351369	0.00186374846707	0.00217071926509	0.100513446208
c	8.27717823627e-05	0.00022627259972	0.000233728815309	0.00834905055743	0.0551839757567	0.241634464392	0.0397294186046	0.146754648989	0.127625925168	0.165111249743	0.050934556813	0.0549236531414	0.0100913566746	0.00613142766486	0.0102030390046	0.00295791562236	0.00321817738836	0.0766083750693
è	2.88007079676e-05	7.69747957333e-05	8.68029227697e-05	0.00319431019581	0.0257300309189	0.167113578131	0.0477181733682	0.189539759663	0.138751985056	0.227993689914	0.074332032271	0.0535064343805	0.00706356129153	0.00622443502162	0.0101044146015	0.00319330860745	0.00340214651279	0.0419395480231
a	1.07970240932e-05	2.71263506131e-05	3.25535928396e-05	0.00124051824346	0.010236351149	0.0923492752103	0.0636187954561	0.142773276554	0.097729959352	0.385972519971	0.122547080757	0.0428955131268	0.00603007859718	0.00384228434054	0.0045217423005	0.00173097473582	0.0014883362376	0.022952778341
t	3.61058807373e-06	9.05392999703e-06	1.08644635025e-05	0.00041464527494	0.00343384691567	0.0324423957701	0.038468317652	0.095537605518	0.101883830784	0.55039812999	0.127496439586	0.0316643140423	0.00277549460239	0.00230704245685	0.00227248267017	0.000989926665273	0.000814565105867	0.00907740899033
a	1.21349653031e-06	3.04139509634e-06	4.19575480717e-06	0.00014191072958	0.00116269009356	0.0122301736567	0.0217550057173	0.127628068506	0.214258906928	0.468683909997	0.121521422529	0.0211429370141	0.00294173960413	0.00245175652895	0.00135394916006	0.000872248341758	0.000481483768622	0.00336533589011
p	4.2815754717e-07	1.04168355745e-06	1.98150753572e-06	5.07112353267e-05	0.000402327344853	0.00477262627557	0.0158669177891	0.113177759502	0.231725607643	0.420058359999	0.171352330843	0.0317188950047	0.00312628412471	0.00278456294298	0.00149158212002	0.000952035207253	0.000821061646207	0.00169546281337
e	1.69620671723e-07	3.79408916817e-07	8.08654111907e-07	1.89583066756e-05	0.000150271404618	0.00236496354852	0.00999481681303	0.0688637465007	0.160112017881	0.461391466666	0.233863246948	0.0469958076682	0.0055722519649	0.00452671084766	0.00210441757334	0.00141207076242	0.00106681706874	0.00156107967112
r	6.41126725743e-08	1.46932617272e-07	4.02505624636e-07	7.95735489187e-06	6.17309273727e-05	0.00148251302284	0.00809789747101	0.0505209145002	0.12101553496	0.448646612222	0.290245815649	0.0588189168894	0.0065879574883	0.00539506984922	0.00278169575778	0.00171835090081	0.00255301970958	0.00206542665704
ò	2.51464379248e-08	5.08857695907e-08	1.37916441545e-07	3.14333049729e-06	2.25558485576e-05	0.000970215547613	0.00748071702367	0.0322139048334	0.06313636932	0.450930994074	0.332466935216	0.0872074456298	0.0115087673294	0.00449210018307	0.00268311248593	0.00111767699694	0.00284769184986	0.00291817951901
e	8.7812435316e-09	1.74066262036e-08	4.68079646617e-08	1.20249423243e-06	8.6326744692e-06	0.000742153427538	0.00704092783122	0.0176887646311	0.02814607604	0.318554471358	0.360241781739	0.211468901877	0.0215055357765	0.013986766061	0.012400060162	0.00263741204898	0.00139378392995	0.004183459273
m	5.5792466672e-09	6.63820037453e-09	1.65531252672e-08	6.41430024143e-07	3.42755423973e-06	0.000296376800846	0.00255020957707	0.00999809923037	0.0172158609467	0.321619230453	0.345439087246	0.243699787292	0.0171450435922	0.016542533687	0.016566771954	0.00328496624966	0.00199545627665	0.00364245472433
è	4.51379639907e-09	3.22235311151e-09	1.01773823224e-08	4.50440596381e-07	1.59971755658e-06	0.000158920305282	0.00161372066902	0.00905802597679	0.0156862753156	0.339421700151	0.308685582415	0.240295782431	0.0211395318641	0.0415360918957	0.0117128615513	0.00579484421655	0.00312511262555	0.00176946146811
a	2.84035320969e-09	1.70914015717e-09	7.57291090747e-09	1.85197858127e-07	9.26627695527e-07	6.99193336607e-05	0.00118753009434	0.00480218421226	0.00876199481187	0.17332239505	0.229682554138	0.334304987477	0.0553818006214	0.107283952299	0.0579363681838	0.0178110944055	0.00327991464185	0.00617417841604
m	3.60063236366e-08	6.07472598572e-09	3.77765090249e-09	2.93475637042e-07	6.65603985176e-07	2.87967454536e-05	0.000430918059447	0.00200593689075	0.00502511464396	0.11216493335	0.226377708046	0.358553679159	0.0598286048738	0.1115672501	0.0835757100613	0.0213095914685	0.0111160418806	0.00801472963868
u	4.58156608612e-08	7.14851820424e-09	4.2398558675e-09	3.65001745681e-07	4.71103158392e-07	1.88588244845e-05	0.000244703916482	0.00109670615025	0.00382658020465	0.0861439465833	0.194201235015	0.251370233053	0.0452035052913	0.2440896727	0.0954665140204	0.0586144778228	0.0152498849602	0.00447279561289
p	4.50658916027e-08	1.05736316104e-08	5.60478648917e-09	6.65038581894e-07	5.74733262797e-07	1.47261648282e-05	0.000162522211827	0.000424307400083	0.00148531420822	0.0314955769944	0.0860770246717	0.182888527684	0.0384954590971	0.339974414233	0.18477691134	0.0942869076076	0.0317016879867	0.0082152821043
i	4.48647695776e-08	1.17736932301e-08	4.51482832972e-09	7.48830433965e-07	5.56387674266e-07	1.18776586094e-05	8.4845743609e-05	0.000175184998694	0.00063647202274	0.0129512915315	0.0462558988906	0.156973037228	0.0384854213657	0.343499754744	0.247599597113	0.102183640869	0.0378509973289	0.0132905953681
a	1.53507813359e-08	4.0703451867e-09	1.99625272224e-09	2.96128666655e-07	3.01328900422e-07	8.35078563647e-06	5.8779016203e-05	6.37835555647e-05	0.000253637714247	0.0052128141105	0.0197457736302	0.0791511537427	0.0446266214552	0.397643301581	0.302944172371	0.109925438623	0.0184537277763	0.0219118611227
c	5.81992145453e-08	1.88956058122e-08	3.21139445308e-09	1.27557507089e-06	8.12905855807e-07	1.12002823122e-05	2.9148779401e-05	0.000116929945855	0.000307090821416	0.0108071914368	0.0372666018767	0.133229631248	0.0291745624851	0.290041890527	0.29447581079	0.0905772762077	0.0887846865921	0.0251758297076
è	7.25154318484e-08	2.38981221674e-08	3.88113670103e-09	1.59456726943e-06	9.78635445269e-07	1.19669203041e-05	2.2644981467e-05	0.000137581847952	0.000338485510472	0.0133841163789	0.0446684689589	0.160505517083	0.0150392668284	0.272859746842	0.191698673597	0.125018923736	0.155690408864	0.0206215225692
o	2.49664642495e-08	8.21479437913e-09	1.62238048701e-09	5.42824430277e-07	3.44829026423e-07	4.62993966803e-06	1.6162262689e-05	4.9995118284e-05	0.000133764234924	0.0056839106463	0.0184145662063	0.0820240756943	0.0157822839428	0.295891938947	0.225422141199	0.156425564579	0.0996896427547	0.100460402523
n	4.97814613832e-08	9.27086655304e-09	7.5060236567e-10	2.40438821426e-07	1.42377195474e-07	2.16621847934e-06	6.76245302967e-06	2.11006403947e-05	5.16440680747e-05	0.0023367279021	0.0071969296221	0.0373793235648	0.0147531571143	0.237311619649	0.312971593733	0.156920061526	0.108078067385	0.122970407508
e	5.76678567744e-08	9.51261082768e-09	4.8365486189e-10	1.31230064575e-07	6.74429304913e-08	1.20685009978e-06	1.89079559432e-05	1.33350393982e-05	2.60935270249e-05	0.00123745895403	0.0033627140407	0.0200635497549	0.0082721818381	0.244761393216	0.271185057911	0.274648850509	0.123001466795	0.0534075141693
c	2.54680542381e-08	6.99654991923e-09	6.7061676063e-10	8.37903322917e-08	4.60430214971e-08	9.29189059927e-07	2.24713239277e-05	1.03209367327e-05	1.7873907675e-05	0.000547780824677	0.00145429433023	0.00993179748497	0.00523441737937	0.193470984405	0.22456936597	0.359006663503	0.158756239932	0.0469766910564
e	1.5107757846e-08	6.21826626641e-09	7.8726674021e-10	7.78555714306e-08	3.95966931657e-08	1.20059552998e-06	1.10698635892e-05	8.27207974423e-06	1.7932269225e-05	0.000312117194892	0.000826716106743	0.00684566336166	0.00372170482646	0.125343786468	0.216177915323	0.305518121168	0.194138808311	0.147076571685
t	9.5381833382e-08	2.88768140488e-08	4.32298616674e-09	4.1518604781e-07	8.03736423886e-08	2.10014287666e-06	7.64643566307e-06	1.06276064147e-05	1.9057613075e-05	0.000188339302964	0.000488161085581	0.00376238965389	0.00418551707549	0.112394971823	0.207984085108	0.299151087056	0.139622764437	0.232182643895
a	1.22184180861e-07	3.64193560996e-08	5.70879208891e-09	5.3969245927e-07	1.04305502463e-07	3.40113025889e-06	1.40181516877e-05	1.26313531382e-05	2.0986592025e-05	0.000182258322321	0.00037290423186	0.00265432188463	0.00490590122516	0.117969118608	0.206269808369	0.325126229019	0.106544748146	0.235922844632
t	1.92419966687e-07	5.69620651165e-08	6.43214406297e-09	6.34334496423e-07	1.20976415821e-07	3.79779975296e-06	1.60798759292e-05	1.34317910461e-05	1.95191148417e-05	0.000184422100774	0.00032452895062	0.00218102599488	0.00425372460839	0.105775211203	0.181414939456	0.314920963006	0.119605909382	0.271285414877
r	2.15591010362e-07	6.38809761388e-08	6.45079171099e-09	6.56869140808e-07	1.26513497607e-07	2.51589825099e-06	6.19838420973e-06	1.27350144487e-05	2.07333574472e-05	0.000114970581925	0.00022914633354	0.00152889035163	0.0018889211978	0.052586513601	0.113600452152	0.219089431002	0.361306036461	0.249612404959
