 	questo	muro	vuole	uno	specchio	</S>
c	0.579444665	0.01157560745	0.0392088825	0.0575390845	0.0352768745	0.276954865
ì	0.748762931667	0.0316502804833	0.0520366308333	0.0522988205	0.0169697271667	0.0982816173333
t	0.711723613889	0.120828500161	0.0592440536111	0.0523068415	0.0185120357222	0.0373849698778
t	0.607905487963	0.163389843387	0.063808946537	0.0633071118333	0.0452503895741	0.0563382450593
o	0.413252480654	0.368662901129	0.058592484179	0.0487232949444	0.045889560958	0.0648792956864
t	0.164520049451	0.711194577043	0.0549284880597	0.0238628199815	0.019343799086	0.0261502254621
ì	0.0567294951503	0.815346102348	0.0938238960199	0.0151000976605	0.00926454192867	0.00973578628737
c	0.0198513262834	0.748178177449	0.188632658673	0.0258108362202	0.00813923454289	0.00938771766246
h	0.0332725812278	0.67939918915	0.180775256224	0.0297278070734	0.0254552745143	0.0513698865542
o	0.0370160228026	0.460378461383	0.350836805408	0.0351590440245	0.0481596731714	0.0684500025181
t	0.0124087908217	0.169993179461	0.667316581803	0.0747902180082	0.0419145033905	0.0335767458394
è	0.00413801682037	0.0637485181203	0.803899040601	0.0886065793361	0.0198548137968	0.0197530142798
l	0.00138349232042	0.0221162680734	0.826627133534	0.127890196445	0.00847946971227	0.0135033941266
i	0.00046729757614	0.00759901739113	0.554812287845	0.354539778815	0.0679910346841	0.0145905564089
è	0.000158003656077	0.00256492386971	0.217487173615	0.676435346272	0.0880123361614	0.015342162603
n	5.26828433837e-05	0.000860531000903	0.099778300205	0.862994482091	0.0301456934538	0.00616824393433
a	1.75680954706e-05	0.000292901789968	0.051660408835	0.81965789403	0.112973397951	0.0153977812448
n	5.8643918522e-06	0.000101490274523	0.0183034943117	0.593918564677	0.349712815984	0.0379577357483
j	2.00539602073e-06	0.000353909484708	0.0189478363706	0.311334603892	0.356677358661	0.312684283249
a	9.43996963577e-07	0.000443705863236	0.0188736179669	0.121999689631	0.34849660622	0.510185471083
l	5.60967300192e-07	0.000164391367412	0.0102926308323	0.061460075877	0.332734756407	0.595347600361
ì	2.07227186731e-07	6.94549191373e-05	0.00770369605743	0.0402109636257	0.164576549802	0.787439133454
</S>	1.10189104866e-07	4.15352375687e-05	0.00433864669872	0.0313390293129	0.136532739901	0.827747966727
