 	mio	padre	ha	lavorato	sempre	</S>
o	0.7277037	0.028879602	0.009352294	0.0074065714	0.010097727	0.21656005
c	0.5663165	0.21325584	0.007192614	0.00018217012	0.0007744685	0.21227847
i	0.008193804	0.52860415	0.22446166	0.026367543	0.014109055	0.1982638
ù	0.022755133	0.94935024	0.025964895	0.0004627604	6.376462e-05	0.0014032299
r	0.005725306	0.44914642	0.4340355	0.036115512	0.0117526855	0.06322465
i	0.005037289	0.60451823	0.26645574	0.016496683	0.00503756	0.10245456
m	0.0049825483	0.875212	0.09963434	0.016805807	0.00050288276	0.0028623939
m	0.01640346	0.5459814	0.18714814	0.027161825	0.01658927	0.2067159
u	0.013994257	0.5438229	0.27884078	0.13868769	0.008340545	0.01631386
è	0.010701513	0.16651885	0.25522748	0.46420896	0.02620836	0.07713482
p	0.0003083666	0.004807523	0.1319456	0.6276325	0.049959138	0.18534689
o	0.0148637965	0.055398032	0.11173041	0.19075203	0.18931885	0.43793687
l	0.020845432	0.058259446	0.020621555	0.72745895	0.099997506	0.07281699
e	0.0049838857	0.0067882724	0.02791267	0.39466825	0.1457383	0.41990867
m	0.02852866	0.018367039	0.0035226655	0.7019635	0.17501332	0.07260489
i	0.048953205	0.047175728	0.024814121	0.20127761	0.13111581	0.5466635
m	0.017659301	0.02440237	0.004994396	0.34751946	0.3624556	0.24296887
m	0.04097832	0.034841225	0.010704687	0.15340742	0.18935142	0.5707169
è	0.013857429	0.0040025534	0.0015814629	0.29669845	0.5445729	0.13928719
n	0.088693865	0.020059051	0.00438723	0.3808369	0.45528445	0.050738487
a	0.084787644	0.053113125	0.011435039	0.30270582	0.2669411	0.28101718
p	0.0124678	0.016563969	0.0042759837	0.056042664	0.6194369	0.2912127
à	0.033943966	0.027152738	0.007362407	0.040910162	0.30213386	0.5884968
n	2.5117854e-05	0.00020417605	0.0005505143	0.011038348	0.83921486	0.14896697
t	0.012665008	0.0064873784	0.0022581813	0.009656869	0.51910317	0.4498294
a	0.0009970376	0.0013057893	0.0010010441	0.0059319087	0.89745426	0.093309976
</S>	0.004275091	0.0046138787	0.0008336981	0.004639474	0.6047165	0.38092136
