 	sul	muro	vuole	uno	specchio	</S>
s	0.55786556	0.12692493	0.0033756564	0.0010373434	0.034733202	0.27606323
t	0.03672595	0.15514758	0.0974264	0.11407879	0.12199782	0.47462347
o	0.64656484	0.12751417	0.065175526	0.07953801	0.00996386	0.071243614
t	0.03459973	0.53468734	0.08196119	0.20301089	0.0100168055	0.135724
ì	5.469701e-05	0.81104285	0.096712045	0.0024081185	0.018198121	0.07158416
c	7.405011e-05	0.9887149	0.009497674	9.042576e-05	0.00084284914	0.00078009145
h	0.019043267	0.4112787	0.4051639	0.016001163	0.007856472	0.1406565
o	0.0003329519	0.26815364	0.73100084	0.00018359069	7.364854e-05	0.00025533003
t	0.0041052066	0.113157965	0.7201187	0.12752317	0.0040665604	0.03102837
è	0.00019516054	0.1293542	0.53971523	0.016746143	0.040959384	0.2730299
l	0.00010132922	0.16060786	0.7189863	0.030408148	0.06165201	0.028244292
i	0.00017366985	0.17476802	0.65128684	0.015916808	0.04459052	0.11326415
o	0.0010397212	0.0012167676	0.10366496	0.84892774	0.032390945	0.0127599
j	9.03411e-05	0.0011709469	0.0067083905	0.82408607	0.113130875	0.054813232
e	0.0002327384	0.015734494	0.03965014	0.059872553	0.46117094	0.42333916
l	0.0063925995	0.007668567	0.07976425	0.3398894	0.27423003	0.29205516
ì	5.7058373e-06	0.0019480113	0.0029775668	0.03325042	0.9154599	0.04635842
</S>	4.784346e-06	0.006113016	0.015322271	0.06242577	0.86252415	0.05360994
