 	qui	nella	casa	ha	la	luce	accesa	significa	che	ancora	stanno	svegli	non	sono	addormentati	</S>
e	0.82636535	0.008075776	0.0092946375	0.0034400001	0.002553813	0.00087415974	0.008079765	0.0022406208	0.0036133223	0.009263506	0.011103916	0.008483728	0.008746881	0.017130973	0.06097469	0.019758852
t	0.96452624	0.010115332	0.020518411	0.00049196836	0.00020369461	1.9638266e-05	0.00090844836	5.100574e-05	0.00039109308	0.00020380497	3.510893e-05	0.0004368923	1.2376088e-05	1.1511089e-05	6.6326385e-05	0.002008303
t	0.022231713	0.0059223846	0.16884583	0.04433557	0.014826739	0.002623227	0.014408787	0.005164852	0.006430116	0.008104989	0.012824548	0.0108561255	0.0072863386	0.014826571	0.0062220497	0.65509015
ù	0.6695643	0.24539784	0.08075649	0.0020421627	0.00034548205	0.000113121205	0.0004918691	4.7461464e-05	8.750003e-05	0.00012146415	1.5688489e-05	0.0002624055	5.1337875e-06	5.435413e-06	2.7192595e-05	0.00071647624
s	0.2132505	0.60948515	0.14421278	0.011089978	0.0037807755	0.0012903052	0.003997204	0.0004915264	0.0011328575	0.0051903576	0.00027548423	0.0034166526	0.00017209862	0.0001980363	0.0004819261	0.0015343548
t	0.17421721	0.16691522	0.23427029	0.05336753	0.0265438	0.018703058	0.061201517	0.010832803	0.01808133	0.008515562	0.012706096	0.041911487	0.004092231	0.005976802	0.009759612	0.15290552
o	0.03998933	0.24582975	0.4640401	0.04078454	0.015620863	0.008411564	0.08276164	0.006991044	0.020287573	0.006015792	0.0047938162	0.057175152	0.0011621998	0.0013240625	0.0021971343	0.0026154532
s	0.0034941789	0.37867585	0.53878003	0.030308457	0.008065977	0.0029075618	0.010551648	0.0011492652	0.0022813163	0.016067438	0.00032547576	0.0064824126	8.707787e-05	7.96001e-05	0.00024832852	0.00049539097
p	0.0046502315	0.034174792	0.53158873	0.18630742	0.06057941	0.008636197	0.025608493	0.009023758	0.012364359	0.0024365506	0.009910082	0.010010923	0.004597453	0.00394558	0.002198785	0.093967244
ì	0.2009754	0.21496725	0.31613648	0.05627672	0.01816789	0.09847373	0.0049270634	0.037310936	0.0015202868	0.0019389507	0.01737432	0.0040005012	0.0023522286	0.0033928186	0.00026687575	0.021918587
t	0.0011072535	0.066544026	0.7163179	0.124397114	0.02955909	0.037170764	0.0032442336	0.0125689935	0.0015360697	0.0001722247	0.003893548	0.0006559753	0.00050854665	0.0006644927	0.0001556192	0.001504173
i	0.03831088	0.08015588	0.16542244	0.09836417	0.06149124	0.16405453	0.056598324	0.08993768	0.012826225	0.033467267	0.04704941	0.06293349	0.006739385	0.011821595	0.0012718542	0.06955561
è	0.0027569197	0.021874009	0.43757242	0.34006613	0.10959231	0.047723163	0.010832492	0.0042415904	0.0036877454	0.01471865	0.0010122671	0.004877345	0.0002372466	0.00025505206	0.00018655756	0.00036610276
c	0.00014017617	0.0032420272	0.114165306	0.4500637	0.14538553	0.07373006	0.03610779	0.011173911	0.008944015	0.01794213	0.010057187	0.041922774	0.00704422	0.01330394	0.0424957	0.024281558
h	0.009247277	0.019613506	0.16296844	0.08567138	0.027371747	0.022981718	0.07027632	0.017561307	0.0049332217	0.024852313	0.0066010966	0.041631665	0.0014012615	0.0020298178	0.006067266	0.49679157
i	0.013980301	0.0038849907	0.2337869	0.2799928	0.10092129	0.31035486	0.0022088806	0.040237717	0.00047390867	4.8877053e-05	0.010016992	0.0005605249	0.0008362691	0.0013003345	8.028739e-05	0.0013150842
o	0.0026869874	0.0035384586	0.0384453	0.27006593	0.29302177	0.35110745	0.008494751	0.022414392	0.0030289586	0.000709476	0.0033485752	0.0016629257	0.00036508558	0.00062374526	7.298436e-05	0.00041319957
l	0.0005258006	0.004073274	0.01596975	0.22847016	0.3194413	0.14479922	0.14648385	0.013208313	0.025617855	0.015611933	0.007216743	0.04583358	0.00325506	0.007103835	0.012455568	0.009933755
ù	0.0002805142	7.992947e-05	0.006203845	0.03500868	0.03342266	0.009628774	0.019215234	0.01355264	0.002733327	0.0013333386	0.013522881	0.0062225573	0.002749683	0.012989656	0.010455174	0.83260113
s	9.865788e-05	0.00044747774	0.002931516	0.11209531	0.40395972	0.4108016	0.008427092	0.025024932	0.002634961	0.0007259381	0.008984128	0.0015859273	0.0030937034	0.008174207	0.003483387	0.007531452
t	0.0044145836	0.006748322	0.011209419	0.12874584	0.100296244	0.10790675	0.056856357	0.04051844	0.0041052685	0.025201863	0.0127177425	0.020295044	0.0021097378	0.006386527	0.007943175	0.46454465
r	0.0004339757	0.00016664992	0.0015215796	0.043815337	0.17745021	0.6262188	0.0060318285	0.12666237	0.00086373073	8.366461e-05	0.012394235	0.0015653752	0.00058860664	0.0013028581	0.00010717443	0.0007935788
o	0.00094556547	0.00086597184	0.0031948308	0.047265135	0.15881415	0.5844645	0.017745381	0.1383513	0.0022861275	0.00080920313	0.024946962	0.011875378	0.0014642886	0.0018859537	0.00079654215	0.0042888406
a	0.0035732333	0.0027575465	0.003004952	0.015337336	0.19390382	0.61689615	0.04666115	0.058107883	0.012787642	0.020041455	0.008162747	0.01276187	0.0012458452	0.0038968197	0.0003055621	0.0005560304
n	0.00039243593	0.0018371532	0.0056159925	0.010857403	0.12638895	0.19713971	0.3641078	0.0480664	0.063006	0.012931493	0.017180823	0.07825136	0.0059369616	0.028932264	0.021579236	0.017776055
a	0.0003960899	0.00010845992	0.0017106474	0.018677717	0.12850468	0.073901325	0.014115167	0.043584384	0.0030491862	0.00048411608	0.026468212	0.0043991148	0.0058652535	0.012930886	0.003577144	0.6622276
m	0.0011559076	0.0034198086	0.0054722703	0.010960224	0.13147773	0.49431905	0.10440491	0.1365087	0.018450182	0.0060663847	0.024151558	0.026081556	0.005059401	0.0189453	0.005728309	0.007798736
m	0.0055097877	0.0050062477	0.0037873203	0.008948993	0.03363054	0.036280736	0.18398331	0.024654496	0.009717599	0.028137956	0.00892472	0.040776093	0.0018665121	0.0055434774	0.024991358	0.5782408
è	0.032126226	0.0011415106	0.0014691096	0.005343577	0.060148735	0.7749372	0.011652983	0.07395634	0.0019758588	0.0006963874	0.017023234	0.0014553322	0.001096902	0.008270408	0.00025828453	0.008447896
