 	mi	si	gonfiò	il	dito	</S>
m	0.4193086675	0.0274701275	0.05006610085	0.05589289125	0.0164614947	0.430800775
u	0.213484824167	0.172349617833	0.107094730283	0.0591368170833	0.0168290705667	0.431104931667
p	0.145229044722	0.230794477944	0.300324140094	0.0529474306944	0.0166870821889	0.254017800556
r	0.060789385574	0.264406891315	0.463984463365	0.0554096318981	0.0179030773963	0.137506532385
ì	0.0229101866247	0.353957647105	0.466981787788	0.068646848966	0.0353158521321	0.052187664995
s	0.0139609433082	0.252768185702	0.497502745929	0.075985556322	0.057335284044	0.102447260332
t	0.0106583716027	0.142840705234	0.63669251531	0.053564532774	0.0424246710147	0.113819198511
i	0.0065769032009	0.078610150878	0.70165927177	0.113431091591	0.0581898066716	0.0415328115703
t	0.0043411178803	0.0343728790927	0.488330043923	0.264255813864	0.115754878891	0.0929453075234
o	0.0035526899401	0.0184667553642	0.330833651308	0.322732207955	0.207714766297	0.116699956841
d	0.00377697751337	0.00948376425473	0.254146731769	0.392770032652	0.207237657432	0.132584829947
à	0.00192344855779	0.00545253770824	0.14225838859	0.352275320884	0.361404361144	0.136685916649
t	0.0045665693726	0.00307948039275	0.161791242863	0.158202372295	0.504343407048	0.16801689555
t	0.00583576075753	0.00294980973092	0.238990407621	0.102529106098	0.471680579016	0.178014325183
i	0.00458513605251	0.00208093604364	0.190630029207	0.071446211366	0.644360759672	0.0868969537277
l	0.00372499588284	0.00120444273788	0.070132423959	0.0382804597887	0.834954796557	0.0517029032426
o	0.00262137382628	0.00121716703596	0.0349966142097	0.0231966253629	0.873264032186	0.0647041777475
</S>	0.00337520366314	0.00162834841798	0.0346859451048	0.0139802358314	0.848060216093	0.0982700188738
