 	questa	la	costruirono	mastri	che	erano	i	muratori	</S>
t	0.862376155	0.0919750575	0.0105346316	0.002741649	0.000674822875	0.0046542362	0.00200914005	0.0023533277	0.022681013
ù	0.853928368333	0.0995057491667	0.00719828693333	0.0046026101	0.001083419625	0.00481535486667	0.00193625451667	0.00209598203333	0.0248340026667
o	0.604136624444	0.288894789722	0.0427489909778	0.00999586903333	0.005823903275	0.00514733835556	0.00281591520556	0.00232397197778	0.0381126075556
o	0.243139350048	0.578549153241	0.121864233659	0.00906742737778	0.009367854425	0.00316974998519	0.00231095293519	0.00114560005093	0.0313856814185
f	0.085856756116	0.47226773108	0.218966377886	0.00885848382593	0.009270915475	0.0459036619284	0.00494388801173	0.00352688257531	0.15040530604
r	0.0428361372387	0.492718237027	0.190737345962	0.00841808685864	0.006790274085	0.0598513017955	0.00559300967691	0.00429298048477	0.18876261787
a	0.0284261109129	0.764676602342	0.113417178654	0.00399248593621	0.002961950455	0.0200277715878	0.00192320493864	0.00144286590726	0.0631318050133
b	0.0198526428043	0.577640464114	0.175948176218	0.0366084043787	0.003850534185	0.0113308023659	0.00152880658621	0.00201045958842	0.171229684871
b	0.0196861709348	0.306858231371	0.192067892073	0.247420938126	0.006913160595	0.0103541023553	0.0014730073454	0.00250883864281	0.21271764029
i	0.0132471442116	0.257463967124	0.241429080691	0.389266722709	0.009569713865	0.00603153405177	0.0008516632318	0.00162766729427	0.0805124690967
k	0.0302815519705	0.223064135708	0.291757203564	0.328804354236	0.0118233102883	0.00581096071726	0.00127775477727	0.0204077005648	0.0867729900322
è	0.0343124027568	0.142981606569	0.433761587855	0.259029771412	0.0108374967628	0.00570032317242	0.00136768230909	0.0263697315649	0.0856393582107
s	0.0163731376856	0.0813853351897	0.451027849285	0.215178857137	0.00712520525427	0.00593968032414	0.0012506602197	0.014532047565	0.20718718427
s	0.0109083968619	0.0575198070632	0.402501253095	0.251176592379	0.00673669508476	0.0110442724414	0.0020099961399	0.010637013145	0.247465959623
a	0.00590481002063	0.0252868571877	0.515075904365	0.335357230793	0.0166644433616	0.0110632954805	0.0027697287133	0.00393254501833	0.0839452209077
n	0.00441939397354	0.0126319032292	0.497804788122	0.282584703598	0.0405623044539	0.0742869661602	0.0088334060711	0.00330723368611	0.0755693264692
