 	se	avessi	visto	il	tempo	avessi	visto	le	nuvole	e	non	avevo	uscito	per	bagnarmi	</S>
a	0.4795546725	0.026590372	0.0307120626	0.03553785816	0.00307539445	0.0009247643	0.0067360858	0.00965963195	0.00313529373	0.0021486334	0.000651860845	0.001109299845	0.007215301825	0.00403196665	0.032707490825	0.3562092845
n	0.163399097895	0.182730461333	0.1417383882	0.04840476372	0.0108690529833	0.0057864192	0.0086047662	0.0106270364833	0.00531430434333	0.0041341954	0.001229688615	0.00232209284833	0.00760392850833	0.00408998896667	0.0333350214417	0.369810804833
ì	0.0545157956137	0.549658967111	0.162870209733	0.0300049924733	0.0117013868211	0.00695890929667	0.00492515874167	0.00463078275777	0.00405238042644	0.00377794950433	0.00105191676933	0.00206913916384	0.00324146016644	0.00152847003289	0.0120000717006	0.147012418013
c	0.0204768794579	0.567698039037	0.175181066911	0.0406223810578	0.0052916604337	0.00462976246222	0.00595111482222	0.00825276968259	0.00327174792081	0.00267284053911	0.000585663537443	0.00258296583568	0.00629080548581	0.000980889938297	0.0080230356202	0.147488392406
h	0.0094424725293	0.515623443012	0.229641415637	0.0462326186859	0.00489338514457	0.00652471295407	0.00650667026074	0.00947006583586	0.00307791210694	0.00256420151304	0.000486822245814	0.00290637033856	0.00732206364194	0.000809043255432	0.00669593979307	0.147802895522
a	0.0034758452901	0.476293051004	0.260095475212	0.173038081229	0.0152726923815	0.00601981971802	0.00364409340691	0.00379773392029	0.00117863351898	0.00121891865435	0.000241791002605	0.00112979055952	0.00254153426065	0.000307405117811	0.00224919695436	0.0494960003873
t	0.00122310964703	0.217934323668	0.379440645071	0.25918898041	0.0293655234605	0.0177446666393	0.00939598046897	0.00772669167343	0.00719578618966	0.00559429256812	0.00170023770487	0.00668874147317	0.00440639632022	0.00068368162927	0.00164323355512	0.0500677839558
o	0.00051540698901	0.119562291223	0.457270215024	0.229105576803	0.0586914298202	0.0250943385464	0.013366519823	0.00943010615781	0.00964251176322	0.00775821098937	0.00234997086829	0.00861667612439	0.00529924224007	0.000876273626423	0.00155767522504	0.0508636071519
r	0.000269969783003	0.0742990160743	0.424045071675	0.237374388934	0.0854273966067	0.0402428868488	0.016878532941	0.0102953433193	0.0139095542877	0.0125991297965	0.00377810758943	0.0115380713415	0.00545099021336	0.00121165742547	0.00223185208168	0.060448044884
ì	0.000187768494334	0.109175344358	0.339677047225	0.206224819645	0.112604425536	0.0729587506163	0.017348991447	0.0107029863398	0.0164760364292	0.0155650503988	0.00554516286314	0.0137149083472	0.00563930503779	0.00166103694182	0.00520644946056	0.0673119042947
s	0.000224380894778	0.170091848119	0.317773189075	0.138611414882	0.113042621845	0.117077158539	0.017444268949	0.00726239601327	0.0173260474764	0.0252490965996	0.00668023662105	0.0174125860157	0.00473730914593	0.00145315951394	0.00497036182019	0.0406439364316
o	0.000231229348259	0.11876468714	0.233398543025	0.189243266627	0.189246750615	0.12499947118	0.0330403313163	0.00811241033776	0.0170632881255	0.0269972177665	0.00633165230702	0.0175753242519	0.00430712334864	0.00110190609798	0.00204585937673	0.0275409713572
n	0.00013898162742	0.04166722568	0.108155117675	0.295440475542	0.255764226872	0.13102885206	0.0464847081054	0.0147842811126	0.0206008770085	0.0189757551555	0.00582203053567	0.0161209569973	0.00614553591621	0.00150521282599	0.00192698622891	0.0354387973324
t	6.807355014e-05	0.0158262002267	0.058558637225	0.325252535181	0.222544085624	0.15489165402	0.0685333843685	0.0286648723709	0.0281776230028	0.0191946897185	0.00593814281189	0.0172202899991	0.0106282766387	0.00281344320866	0.00256444240964	0.0391236716775
a	0.000105671279713	0.00596765317557	0.0309117472083	0.327073788394	0.300265931875	0.14043307134	0.0871003247895	0.0326563077903	0.0204624453343	0.0123020833062	0.00458166057063	0.0081897165997	0.00977464604623	0.00274999360289	0.00207421120321	0.0153507415925
o	0.000137014128571	0.00260616662519	0.0155392328694	0.303338642798	0.320056387292	0.117432569113	0.10172842993	0.0639144489301	0.0178844434448	0.00910291350207	0.00529966162354	0.00493001823323	0.0138992551821	0.0061046527343	0.00746804680107	0.0105580958308
c	0.00036197493819	0.00163281157506	0.0161618346231	0.356821774266	0.199653042431	0.0924387550377	0.11536061831	0.0998980629767	0.0238325201483	0.010931498834	0.00467911280785	0.00632884117774	0.026288573394	0.0079576943781	0.0133187799337	0.0243341111103
e	0.000456190289397	0.00149595579169	0.0153401728744	0.287997081422	0.24674476081	0.0945975150126	0.15977991777	0.0809386809922	0.0253362300494	0.012824840278	0.00577986743595	0.00626889985925	0.0231657791313	0.00422874812603	0.0094354679779	0.0256098929701
r	0.000219675293132	0.0016241774639	0.00824564005813	0.137126402141	0.28653236027	0.189117508338	0.167269199257	0.0514018426641	0.0302016230165	0.017681049426	0.00824491881198	0.0223511547531	0.0117386042104	0.00283183264201	0.0103456449926	0.0550683512567
ò	0.000104392405377	0.0017638228213	0.00438483185271	0.0707450697137	0.204071956757	0.389372522779	0.104126525419	0.031753465888	0.0301922526722	0.0200566334753	0.014203113604	0.0368169039177	0.0070068451368	0.002853027214	0.0133466866642	0.0692019520856
ì	4.0104195459e-05	0.00181693947377	0.00196434336424	0.0319561282379	0.155920625586	0.587724127593	0.0586676378063	0.0160089466293	0.0182370590574	0.0152982711584	0.0172344830347	0.0357267313059	0.00337378231227	0.00243210887133	0.0119277128881	0.0416709836952
c	0.0125810297712	0.00197722919126	0.00489040080141	0.0334940270793	0.108698251862	0.471553782531	0.0560657396021	0.0184183442098	0.0306780035191	0.0403479390528	0.0133494598449	0.032904948102	0.0144085221374	0.00443220782378	0.0445342146294	0.111665855898
h	0.0171644167237	0.00167456018375	0.0058311029338	0.0336932616931	0.0945831906207	0.41372605751	0.0749327298674	0.0185684198033	0.0382922385064	0.0542246750176	0.0106748251483	0.0381371213673	0.0176828843625	0.00461288756126	0.0512358253098	0.124965811633
a	0.00620887315457	0.00118226238125	0.00332035697793	0.0184811838977	0.0849481868736	0.386962888503	0.184961433289	0.0577002250011	0.0612122601688	0.0427025636725	0.0290600345828	0.0407195551224	0.0131390837708	0.00383873480709	0.0179758257033	0.0475865698777
t	0.00226061043152	0.00125082812708	0.00389669945931	0.0133737669659	0.0632082869579	0.199028398834	0.260931331096	0.096078611667	0.0908791367229	0.0441330122242	0.0360295821943	0.0598858610408	0.0168927515903	0.0055597129357	0.0241037887344	0.0824876596259
o	0.00090402733384	0.00125030444236	0.0040112900531	0.0109196234886	0.0383949563193	0.122235843945	0.251080160365	0.123667497222	0.133556728908	0.0521906484081	0.0448769030648	0.0730705903469	0.0167089561968	0.00591444197857	0.0270740774448	0.094143986542
r	0.000400021804613	0.00127029971412	0.0035679107177	0.00759421632953	0.0257166341064	0.082130772315	0.242140873455	0.130244217074	0.147654876303	0.054571786136	0.0490184803549	0.0889032301156	0.0152129280656	0.00641672132619	0.0316456316816	0.113511418847
ì	0.000192740266371	0.00173631450471	0.00255064965257	0.00573016386318	0.0186683480355	0.097132034105	0.175700874485	0.0858378436913	0.112060317434	0.0520815293787	0.0829374511183	0.175445163372	0.0100538720885	0.00825293344206	0.0398548598939	0.131764919616
s	0.00187762778362	0.00166041795157	0.00153479559752	0.00328587394106	0.0247051723452	0.152185681368	0.135246990162	0.0543495068971	0.0959618991447	0.0711838937929	0.0949116418728	0.177899714457	0.00818763609617	0.00750541831402	0.031054609298	0.138449133205
o	0.00245626790121	0.000902704453857	0.00118783642251	0.00251269049702	0.0234499987151	0.138336652023	0.118135252054	0.095077651299	0.176043787715	0.0939102595976	0.0708883321243	0.109357516486	0.0141079703654	0.00716042193801	0.0199784380527	0.126494201702
n	0.000963115553737	0.000734064337952	0.0032911247975	0.00381957778234	0.0108187708384	0.052910322241	0.140817154018	0.185652623766	0.227475795905	0.0818027001992	0.0619547557081	0.0972447138287	0.0251247497885	0.008665685646	0.0175706009709	0.081154224534
t	0.000457022447912	0.000898415279317	0.0043368677325	0.00427910899411	0.00765657287947	0.026330844947	0.177809494673	0.198205614589	0.224350975302	0.0815781840664	0.0454452225694	0.0896458596096	0.0250961042628	0.0128468125487	0.022679873657	0.0783830498447
a	0.000196212722637	0.000726273809772	0.00275311104417	0.00208922353137	0.00589804679316	0.0118873668157	0.133047573224	0.19868399153	0.289683115101	0.0994908966888	0.0674401265231	0.0895095982032	0.0244653697543	0.0167553381829	0.0163648975523	0.0410088812816
t	0.000172345337546	0.00104751321992	0.00305740011472	0.00312955564379	0.00518964729772	0.0133943652386	0.0923412207413	0.180232933843	0.252827775034	0.0858029932296	0.062018210841	0.134129129401	0.0252102712514	0.0141205697276	0.0277084555174	0.0996176167605
a	0.000168823275849	0.00129525753997	0.00317903013824	0.00337046054793	0.00582202739924	0.0145350392462	0.0802725239138	0.129886714614	0.246760371678	0.0913219520765	0.0710176922803	0.166740226467	0.0192139714171	0.0124928549092	0.0327658118391	0.12115725692
