 	vivendo	la	mia	figlia	la	avevo	portata	alla	chiesa	</S>
z	0.77209695	0.04970716922	0.021752951965	0.022622572425	0.0029075192075	0.003974321235	0.009652066402	0.001404208555	0.0042805381	0.111601726
ì	0.76200923	0.0628705424067	0.022040740065	0.0226596953317	0.00295132735583	0.004030700825	0.009658319434	0.00140207232833	0.00435158946	0.108025772833
s	0.73063318	0.0667579934689	0.015138246765	0.0152999626339	0.00427922433861	0.021221623855	0.010420115778	0.00488897735278	0.00347895058	0.127881718444
o	0.408326388667	0.267095557823	0.118048384922	0.019060218878	0.00613282577954	0.0269901068517	0.011473275926	0.00601820698093	0.00305971365667	0.133795327238
n	0.145534680889	0.479441669274	0.193480838307	0.0217857392927	0.0130698022598	0.0177688488506	0.00684476130867	0.00441421742364	0.00226879868222	0.115390653503
t	0.0554325946297	0.465888496425	0.268428836102	0.0439896097642	0.0188053897533	0.0162019580835	0.0138751884362	0.00417339799455	0.00231889402741	0.110885636501
a	0.0250331557766	0.377250112142	0.456416178701	0.0572300142547	0.0143043199178	0.00785743216117	0.0175869781454	0.00179327197152	0.00138563844247	0.0411428811003
e	0.0114493868922	0.225089655714	0.626137326234	0.0797360470849	0.0139224739726	0.00453525312039	0.0139685633818	0.00084978014384	0.00145085694749	0.0228605963001
k	0.00532153836407	0.0828395556713	0.577772582078	0.220171255695	0.0213667726575	0.0113638581068	0.0209313467939	0.00197336551461	0.00338668014916	0.0548730077667
i	0.00646743878802	0.0381113659904	0.534958400693	0.283278411898	0.0357089642192	0.0145787343689	0.0206022291646	0.0022606532782	0.00360293764972	0.0604308729222
a	0.00636699346267	0.0240512859968	0.541628300231	0.294658113966	0.0587277404064	0.013584854123	0.0178248426215	0.00170196756607	0.00529576648324	0.0361601306407
t	0.00540238785422	0.0123537473323	0.315879629077	0.277158282655	0.130935790135	0.0990599573743	0.0168733698738	0.0149247288887	0.0145218491611	0.112890246214
è	0.0212941901181	0.0099680354441	0.157967925359	0.200007208885	0.223238633378	0.198902345791	0.00954349439127	0.0242653356296	0.0216879367204	0.133124905071
r	0.0242376039727	0.00938913158137	0.171531761786	0.236772756295	0.193633427793	0.20207309193	0.0173974122304	0.0203421902099	0.0196433272401	0.104979308024
a	0.0086469905809	0.00522422386046	0.141464088929	0.338999118765	0.166148312598	0.16277622731	0.0644731524101	0.0142108817366	0.01115505118	0.0869019532413
m	0.0036657899503	0.00401069385349	0.082568234643	0.475481872922	0.145077947533	0.0956854721033	0.136140734137	0.0065626091122	0.00594065572667	0.0448660039804
u	0.00364207108343	0.00557375661783	0.0576016702143	0.444426097641	0.182261035844	0.130260757034	0.131406164712	0.00504625990407	0.00502620647556	0.0347560193268
i	0.00331450749448	0.00676030087261	0.0309453727381	0.275225789214	0.275741115281	0.216914435678	0.142991208237	0.010197693968	0.0102752088252	0.0276343854423
n	0.00168293159816	0.00487333595754	0.0174702375794	0.149266513071	0.260168825094	0.312614728559	0.131892968079	0.0284753839893	0.0200815589417	0.0734735318141
ì	0.00136422919939	0.00226072732918	0.00642162596647	0.0629164736903	0.212563281698	0.50128451952	0.0506580770263	0.0586795206631	0.0215065256472	0.0823450586047
c	0.00165196916646	0.00145240415306	0.00480627716216	0.0728006938968	0.155294443899	0.50120295984	0.0392374333421	0.063451409221	0.0332590698824	0.126843387535
h	0.00151633295549	0.000990089324353	0.00416665183072	0.0765825822989	0.0985676779663	0.575017039947	0.033290371614	0.039867066407	0.0322494487608	0.137752816845
a	0.00163752715183	0.00251910514812	0.00368225715357	0.0348712037663	0.0625128126554	0.661379179982	0.098536129038	0.061437504469	0.0156633093869	0.0577610199483
