 	ora	che	loro	non	vengono	più	</S>
à	0.95908895	0.004070181405	0.00788993674	0.000662083617	0.001258691288	0.007080496925	0.01994969815
r	0.67824049	0.0745282754683	0.0348531652467	0.002340738839	0.00324408112933	0.00786290954167	0.198930383383
t	0.47931712	0.203841078489	0.0596955350822	0.00294406844633	0.00329616262644	0.00361097629722	0.247295069794
e	0.393829403333	0.447119126163	0.0705776583607	0.00222438111544	0.00148195009215	0.00124602160907	0.0835214545647
k	0.167364632778	0.501326425388	0.193061689454	0.0103463866718	0.00567478059738	0.00247891529636	0.119747174155
a	0.0720935125927	0.280491435129	0.484185203151	0.0188757082239	0.00874205069913	0.00312450871879	0.132487569852
c	0.0400402276976	0.14879786171	0.630716954384	0.0226154540746	0.0105991750664	0.00352932222626	0.143700945084
ì	0.0203577467325	0.0788615049033	0.650153938128	0.0566631416915	0.0327615660221	0.00783580424209	0.153366248361
n	0.00982410244417	0.0354418226344	0.710800379376	0.0763231772305	0.0449058753407	0.0152866200807	0.107418019454
i	0.00444225948139	0.0186927258781	0.569608136459	0.218329529077	0.0872785751136	0.0152664217936	0.0863823904847
e	0.0032990282938	0.014317220626	0.284110446486	0.359006766359	0.182836761705	0.0229257826979	0.133504047495
n	0.00323446189793	0.009478783882	0.103889258329	0.24464089712	0.353853507235	0.0367949742326	0.248108112498
è	0.00243427843264	0.00327987987733	0.0480384446097	0.139011587373	0.584158189078	0.0373746900775	0.185702911833
r	0.00114134372421	0.00116670876911	0.0699059448699	0.165372409124	0.604316736359	0.0504012333592	0.107695651611
k	0.000570665654737	0.000537133743037	0.0786483166233	0.256585903041	0.51130364212	0.0720740594531	0.080280321937
o	0.00185928905158	0.00262321683435	0.0388284065411	0.267601021014	0.547929020707	0.0959514148177	0.0452076580457
t	0.00237026795053	0.00349970524478	0.017248812347	0.153515466671	0.509874556902	0.0976949116059	0.215796288682
t	0.00149690058351	0.00215074371493	0.0100202537823	0.085839708557	0.380567895634	0.141785047202	0.378139462894
e	0.0015833984945	0.00264945437164	0.0069490700941	0.0586723228523	0.252885455211	0.373282675734	0.303977617631
p	0.0025434231315	0.00523304642388	0.013423393698	0.0354016092841	0.166257991737	0.399207901911	0.377932635877
l	0.00227634548217	0.00488984948796	0.0145850338993	0.0258260912947	0.203340923912	0.380816410637	0.368265373626
è	0.00079296522239	0.00165307553932	0.00692739156643	0.0116146410649	0.210796324637	0.606903293546	0.161312303875
o	0.000642523630797	0.000803911789773	0.00984261112214	0.00779590912163	0.165924468212	0.683968287849	0.131022258958
</S>	0.000859165215398	0.000762784514887	0.0143179395611	0.00845370656082	0.156999749106	0.663667593925	0.154939039479
