 	è	che	stanno	ancora	svegli	</S>
è	0.788469915	0.0081443839	0.0019877311	0.0019515628	0.01484948668	0.18459696365
n	0.580010035	0.104937554967	0.0453400033667	0.0027645271	0.0180090708933	0.248938831217
a	0.462970905	0.310913964989	0.0641282534556	0.00237841146667	0.0093198668061	0.150288604539
s	0.318855651667	0.30067397833	0.0864326334852	0.00202498985556	0.00341846222037	0.288594295646
t	0.194552250556	0.322549772777	0.137635674495	0.00706307861852	0.00262125401679	0.335577970715
a	0.144127200519	0.420886490926	0.226382264832	0.0830120312062	0.00742863883893	0.118163367738
t	0.0618886385063	0.251417998209	0.265778281611	0.103677847402	0.00887243311298	0.308364784579
ù	0.0356873751688	0.0909268046363	0.419404980537	0.059364706134	0.0118886962043	0.38272741286
n	0.0206997631896	0.0389912137121	0.658221183512	0.0631045797113	0.0136880256348	0.205295212287
e	0.00834890932987	0.0196069930707	0.557951951171	0.273663840904	0.00909731077827	0.131331013262
a	0.00506929814329	0.0172061860236	0.292073409057	0.485847000301	0.0577128222594	0.142091293587
n	0.0036432112811	0.0128634843345	0.116320686686	0.323975364767	0.0718379329865	0.471359291196
k	0.051004248427	0.00876761343817	0.315543320562	0.111635176589	0.0249070097955	0.488142644232
ò	0.109030166142	0.0195734964794	0.648171740187	0.0432657675297	0.0092650611985	0.170693809244
r	0.086638942714	0.0225643461598	0.546231820062	0.267338620843	0.00854078143283	0.0686854804147
a	0.059298758238	0.0473505963866	0.259155623354	0.579809173614	0.0164719941443	0.0379137988049
a	0.0436692974127	0.0568543741289	0.109248004451	0.488086597871	0.231582768715	0.0705589082683
t	0.0157163044042	0.024029439043	0.0425434380837	0.217159053074	0.296539959672	0.404011752756
s	0.0164744687347	0.0162296403477	0.0410515692946	0.124258988141	0.286922823324	0.515062440919
ù	0.0165270850649	0.0135531186186	0.0409355394315	0.0947515957137	0.592093547775	0.242139056973
n	0.00619530687497	0.0052585897422	0.0197236571438	0.0385345579046	0.547750735925	0.382537122324
n	0.0351872186583	0.0301477652807	0.0864694233813	0.0274192929682	0.275176391975	0.545599907441
i	0.0447961859861	0.0390694228936	0.108532454127	0.0268494819894	0.428542243992	0.352210219147
t	0.0156549628287	0.0146198535845	0.0415660153423	0.0176293014298	0.507707391331	0.402822479716
i	0.0133483460096	0.0161412043482	0.0507245360808	0.0112168319099	0.293769873777	0.614799196572
</S>	0.0186226190048	0.0245976646741	0.0792525830404	0.0130756424549	0.212685486888	0.651765968286
