 	perché	aveva	lavorato	molto	</S>
j	0.99292433	0.0066497773	0.0004011985	2.4346697e-05	3.191471e-07
a	0.9533402	0.010518473	0.021417102	0.01472338	7.7570996e-07
t	0.97470754	0.021533262	0.00072392257	0.0010880156	0.0019472808
ì	0.15978445	0.67910296	0.08940258	0.07168835	2.160597e-05
ì	0.41027203	0.5423874	0.008438294	0.008670839	0.030231424
c	0.027903799	0.94076586	0.025655353	0.0007417621	0.0049333354
h	0.041962396	0.8493489	0.100107685	0.008514842	6.621906e-05
e	0.016304314	0.65184337	0.260188	0.07165454	9.78534e-06
p	0.00986569	0.13353688	0.7715039	0.0825649	0.00252864
o	0.06607739	0.24808165	0.27546954	0.41033414	3.7234255e-05
l	0.0009843548	0.026624931	0.6964509	0.25480872	0.021131098
e	0.043334324	0.099242456	0.42647377	0.43084463	0.00010491187
m	0.0004159017	0.0038935442	0.40688083	0.55178803	0.03702172
ì	0.02140463	0.02442947	0.5451836	0.40888712	9.523243e-05
s	6.0692255e-05	0.006429093	0.95779365	0.030784633	0.0049318955
o	0.0066870903	0.024033394	0.71642053	0.22395317	0.0289058
n	0.0003736667	0.0002521745	0.032131974	0.8412607	0.1259815
t	0.007779588	0.005954325	0.04433033	0.9417676	0.00016820295
a	0.020367416	0.038049817	0.05458364	0.8869543	4.480878e-05
p	4.7579797e-05	1.8930068e-05	0.0010086577	0.95623696	0.042687796
o	0.0074796653	0.0037047586	0.012253549	0.9765088	5.3190834e-05
d	2.5109557e-05	1.9232364e-05	0.00023276701	0.9657006	0.034022205
d	0.016021103	0.00342658	0.0053086337	0.97492313	0.00032048117
h	0.024759674	0.010426454	0.010451522	0.95268977	0.0016725512
ì	0.0015773458	0.00017547738	0.0065494175	0.99154186	0.00015590189
</S>	9.837063e-05	0.0023397005	0.145407	0.73135626	0.12079867
