 	il	cibo	vuole	mangiato	appena	lo	cucini	</S>
o	0.9430659	0.04725724	0.009507806	0.00010891411	2.6917465e-05	3.081835e-05	2.2781605e-06	6.931606e-08
m	0.2624734	0.46674353	0.23345804	0.003968652	0.017035581	0.0014740817	0.0043022092	0.010544421
a	0.37472165	0.06024778	0.2569649	0.11895014	0.018836914	0.1679076	0.0016905038	0.00068052235
r	0.19252786	0.78609216	0.01615964	0.0032198466	0.0005535859	0.00033991496	0.0001431376	0.0009639203
ì	0.37405518	0.08646361	0.41548112	0.05239619	0.0020506424	0.06801905	0.00068639783	0.00084781984
o	0.07321425	0.31330162	0.54534006	0.009216662	0.008751278	0.002581013	0.004693791	0.04290133
e	0.016311634	0.6138822	0.34202737	0.015981888	0.0069226758	0.00075616926	0.0013480765	0.0027699275
t	0.0015067977	0.1755298	0.7841323	0.023398437	0.0129463775	0.0005471834	0.0010376644	0.0009014558
è	0.02460538	0.0038463972	0.8953006	0.057706773	0.002801678	0.014394164	0.00064199057	0.0007030555
l	0.00074127276	0.00973234	0.93951607	0.023024477	0.018522719	0.0004662848	0.0015567489	0.0064401515
i	0.001529917	0.0019708278	0.92357194	0.036741864	0.022977807	0.0027981806	0.005524443	0.0048851613
f	2.6336114e-05	0.01755166	0.010204836	0.8165807	0.14157806	0.0060326094	0.004979044	0.0030467215
a	0.05993453	0.007920428	0.05186253	0.36771536	0.016694946	0.49058908	0.0022583469	0.0030248566
m	1.223486e-05	0.01635725	0.0034158186	0.7291609	0.23210095	0.014659239	0.0030073095	0.0012863151
è	0.0068871933	0.0030686029	0.008120237	0.6740342	0.008801363	0.2987445	0.00019120784	0.00015271964
n	2.562744e-05	0.013386475	0.03040658	0.4596139	0.38715884	0.094522245	0.005504665	0.009381685
o	0.0022021956	0.0027288634	0.03619046	0.15366277	0.57886904	0.13960047	0.03761971	0.049126405
a	1.4578341e-05	0.0013214581	0.00034011318	0.14164028	0.6415125	0.1827669	0.025367688	0.0070364433
p	1.17524205e-05	0.00087233394	0.00015994888	0.068974175	0.6998193	0.2189379	0.009712549	0.0015120364
p	0.008026191	0.00025162718	0.001299876	0.013622836	0.014379351	0.960722	0.0011551958	0.0005428786
è	0.0033731596	0.0014983458	0.0008881368	0.04669261	0.0021884001	0.94504225	0.00028042306	3.6670932e-05
n	2.0836644e-05	0.041632477	0.013681599	0.1504912	0.13499273	0.48128998	0.07217581	0.105715424
a	0.0020189295	0.0048647015	0.010519456	0.03136697	0.18760507	0.70166135	0.037376728	0.024586849
o	2.6827334e-05	0.00029108208	0.00023815849	0.0064724856	0.04016741	0.17462444	0.68514764	0.093031965
m	3.8633065e-05	0.00017556883	7.2726194e-05	0.0034272221	0.06298423	0.1949095	0.7080869	0.030305216
a	0.0024780794	0.000122053534	0.0005312038	0.013380487	0.001782558	0.97457516	0.006549649	0.0005808367
r	1.5813199e-05	7.305481e-05	8.315256e-05	0.016991261	0.01431355	0.09871971	0.8072547	0.06254884
è	0.11044259	0.004217477	0.012618251	0.030750835	0.0010623166	0.82840246	0.010370229	0.0021358686
i	6.546377e-06	0.0013886675	0.000662163	0.04691581	0.27651554	0.076153964	0.46990702	0.12845027
</S>	8.519815e-06	1.8382487e-05	8.0894824e-05	0.0003749375	0.008556118	0.008358307	0.93709266	0.045510225
