 	il	cibo	ee	vuole	mangiato	subito	e	presto	</S>
t	0.9240182	0.07006533	0.0043027303	0.0012532579	8.616329e-05	0.00019500816	5.996901e-05	1.9310119e-05	1.4144824e-07
o	0.72680885	0.032401606	0.035725925	0.058625028	0.02072981	0.053443532	0.0129340645	0.058481067	0.000850175
f	0.31530216	0.5463818	0.073253155	0.042209737	0.0064386963	0.010945527	0.0019955807	0.0013890497	0.0020842683
à	0.11996815	0.023130542	0.045701835	0.06464073	0.03196057	0.09384313	0.11889364	0.5010672	0.0007941322
i	0.21106547	0.45887664	0.12906154	0.09785709	0.014735548	0.028203031	0.009678158	0.014338332	0.036184277
e	0.03324546	0.7088838	0.2048135	0.037868477	0.006997376	0.004033828	0.0013278199	0.00040613097	0.0024236126
e	0.0026239275	0.32729387	0.5665182	0.09249284	0.0051086335	0.0044144257	0.0006305614	0.00027113862	0.0006464246
t	0.0010467131	0.11141598	0.6595361	0.21121292	0.008581513	0.0065057473	0.0008443277	0.00031797172	0.0005387154
è	0.045606423	0.0068232054	0.13628647	0.5555327	0.017799115	0.045696855	0.011892949	0.17882767	0.0015346042
l	0.0008013714	0.012781057	0.0669606	0.8920923	0.010017779	0.012264257	0.00077227305	0.0009877814	0.003322698
i	0.0014879897	0.0013483476	0.013994888	0.9212132	0.009168738	0.044797227	0.0007285627	0.0052286503	0.0020324406
f	3.4725253e-05	0.016354004	0.12498137	0.2974336	0.50692624	0.038028788	0.010641881	0.0020632953	0.003536102
a	0.010256025	0.0009894312	0.006224184	0.13116488	0.03836114	0.19815469	0.048514023	0.5658091	0.0005265078
m	1.2615256e-05	0.015116359	0.04596692	0.20429188	0.6405549	0.07322552	0.016206888	0.003573866	0.0010509968
è	0.0030504093	0.0015132509	0.011463427	0.10886875	0.29494417	0.20941699	0.18154217	0.18911345	8.743133e-05
n	8.222366e-06	0.008407335	0.026274838	0.16488108	0.40560973	0.32149118	0.060516994	0.010790203	0.0020204338
o	0.00065316574	0.00041413325	0.0020075212	0.09103754	0.07033132	0.7874387	0.009953455	0.029734889	0.008429336
s	9.173643e-06	0.0007230819	0.0023927558	0.0031180065	0.6676569	0.12436194	0.18971342	0.0062180255	0.005806747
ù	0.0025482173	0.00017045083	0.0015147717	0.0076801917	0.029093022	0.6465465	0.18437506	0.1279899	8.181535e-05
b	9.177524e-06	0.005284762	0.012202764	0.03975866	0.034736674	0.72797894	0.1393426	0.035667162	0.005019233
i	0.0004639885	0.0009216862	0.0019718467	0.025591252	0.037726965	0.895192	0.028776888	0.009208002	0.00014731685
t	4.9982023e-06	0.00016882717	0.0009591255	0.0008027938	0.14546481	0.10151856	0.70087695	0.038180046	0.0120237935
o	0.0010097459	5.8200196e-05	0.0007277311	0.0013891993	0.0056792866	0.15127566	0.36360854	0.4761646	8.69655e-05
è	6.6840216e-06	7.149348e-05	0.0003919988	0.000281236	0.030153088	0.044338197	0.30233845	0.61152494	0.010893982
p	7.0688634e-06	0.007233258	0.021931337	0.030064978	0.046755414	0.13505176	0.096043535	0.61985624	0.04305645
r	0.00053438323	5.9900525e-05	0.00022011169	0.0015681911	0.0065185134	0.14586972	0.15973453	0.6831761	0.002318536
è	0.0025395213	3.08293e-05	0.0003241266	0.0010233963	0.001841237	0.011723482	0.10224959	0.8798597	0.00040812575
s	1.5722119e-06	0.0007185817	0.0018657789	0.004625792	0.023064336	0.033891417	0.020218479	0.90021294	0.015401129
t	0.0013965217	0.00014817991	0.0005410342	0.0023232661	0.0047202157	0.028570274	0.023594191	0.9336576	0.005048713
o	0.0021727171	0.00011046181	0.00049406977	0.0010809563	0.0027511648	0.012239679	0.038655546	0.94221884	0.00027648857
</S>	3.469344e-05	7.789463e-05	0.00030418555	0.0003443158	0.006461659	0.0010844534	0.013759563	0.2008952	0.7770381
