 	puoi	non	parlare	di	questo	con	Anna	</S>
i	0.84482765	0.112067305	0.0259701135	0.010527867	0.002588897805	0.00136817676	0.0007753195265	0.0018746655166
s	0.845656796667	0.0922401363333	0.0294258015	0.0110488728667	0.00814930570167	0.00152068465333	0.0100773815755	0.0018810318912
ò	0.886823165556	0.0602353507778	0.0226631135	0.00513935232223	0.00893899180056	0.00094420285111	0.0129062712252	0.0023495363494
z	0.816281955185	0.0570025975926	0.0809817458333	0.0103960172741	0.0260589401669	0.00134236661704	0.0050421003084	0.00289427168313
i	0.473287874062	0.336392732531	0.138885455278	0.0142094280914	0.0320036507223	0.00135293680568	0.00231254429613	0.00155537976104
m	0.159682007321	0.430404428844	0.336137338426	0.0153864603638	0.0306710882408	0.00218993266856	0.0248048247587	0.000723893077347
i	0.0544681344403	0.272202240948	0.575572912809	0.0283341297879	0.0333462724136	0.00272824012285	0.0329947882529	0.000353244496116
m	0.0189034136468	0.202156670983	0.688082520936	0.0317328849293	0.0291516641379	0.00192665570762	0.027819078751	0.000227067977372
i	0.0069728325856	0.106003747661	0.770898800312	0.0579805739764	0.029782579046	0.00192295596921	0.0262773298503	0.000161127877791
l	0.0047358797652	0.0674886012203	0.758689210104	0.0761709529921	0.055382729682	0.00217460438974	0.0351795075501	0.000178463119264
ì	0.00420695802173	0.0329880729068	0.779751570035	0.0760081289974	0.0669735615607	0.00193404642991	0.03756125875	0.000576351446421
s	0.00246552844058	0.0169900608023	0.761637523345	0.143655564332	0.0566827055202	0.00205989567664	0.0143447658167	0.00216392248214
i	0.00165211916119	0.0092917628341	0.480359196115	0.436911791444	0.0573417098401	0.00427996945888	0.00725668177223	0.00290679172738
a	0.00055717294773	0.0038624465447	0.173798831372	0.750257603815	0.05756088128	0.00769982648629	0.00433109792408	0.00193213447579
t	0.000374826862243	0.0019116364149	0.0703021547907	0.588202607938	0.316587240427	0.0070304970621	0.0146473834747	0.00094363499193
s	0.00188687705408	0.00290422057163	0.0420622205969	0.254332695313	0.636261100142	0.00410579338737	0.0581039261582	0.000343185835643
è	0.00223960247969	0.00465937985721	0.0564881858656	0.150099777771	0.716557700047	0.00455383569579	0.0610836016527	0.00431793435021
t	0.00120745108823	0.00565815391907	0.0628038469552	0.215633869257	0.671621130016	0.00918425366526	0.0275764098176	0.0063148948834
ù	0.000831998354077	0.00443046122302	0.0337748208184	0.208885007752	0.710778070005	0.0196061798884	0.0170750090392	0.0046184529278
o	0.000284377846859	0.00177409881767	0.0131677010728	0.094965634584	0.583016830002	0.280958976629	0.0203267531131	0.00550565840927
m	0.00105448758645	0.00167315539922	0.00537546089093	0.0446513861947	0.440263073334	0.427049668876	0.0759218700377	0.00401092571309
e	0.00130973184748	0.00163855282441	0.00274850673498	0.0216223153982	0.364381391111	0.481520979625	0.123582780013	0.00319572601436
t	0.00505546726783	0.00260852476614	0.00236460398299	0.0112396253327	0.185509487037	0.558829349875	0.231456963338	0.00293594730145
i	0.00630381500774	0.00291735166538	0.002226659564	0.00595623117757	0.109257731679	0.534899029958	0.334279761113	0.00415939929715
n	0.00497003325438	0.00202598006513	0.00141708722433	0.00291281875919	0.0504667532263	0.455973213319	0.477603960371	0.00463016434572
A	0.00452736388946	0.00186598493504	0.00160035057478	0.0122447777531	0.0572281827421	0.27104758444	0.635215520124	0.0162702550286
n	0.00203924953449	0.00113801472501	0.00167752015826	0.0160319403177	0.0510178435807	0.189417254813	0.708159573375	0.0305186233429
n	0.00615319777816	0.001700547075	0.00467262485275	0.00795155217257	0.0344458088602	0.110182958271	0.813600677792	0.021292685481
a	0.00700857353705	0.00157843096833	0.00501066269958	0.00432267279086	0.0247609727534	0.0792805440903	0.738371745931	0.13966640286
</S>	0.00352140343502	0.000871595399165	0.00254223997279	0.00256709549543	0.0127052210767	0.0902125890452	0.619844072965	0.26773573143
