 	avete	cucinato	le	verdure	</S>
e	0.797890635	0.17702076	0.02097096275	0.00224873025	0.0018689023865
m	0.520820677	0.294462073333	0.0371974599167	0.14562529165	0.0018944871975
a	0.273314214333	0.494018891111	0.0365852106389	0.195371722883	0.0007099599745
r	0.188025323111	0.541549777037	0.024143273213	0.245984719961	0.0002969261615
è	0.130851546037	0.553491092346	0.0380757184043	0.27327877132	0.00430288528383
s	0.118719222012	0.693374097449	0.0613777324681	0.11809053844	0.00843842309461
s	0.050731210504	0.535039962483	0.0627069764894	0.345634476147	0.00588739301154
a	0.0227456090013	0.225706170828	0.326179896496	0.421684440716	0.00368388965051
t	0.0105041737338	0.124144350276	0.615541198832	0.247094642239	0.0027156466635
o	0.0051919260446	0.071016564092	0.742621242944	0.179964242746	0.0012060551145
t	0.0028937051382	0.0324841850307	0.646244174315	0.317660229582	0.000717729288167
a	0.0021768422694	0.0159762843436	0.599622218105	0.381341673194	0.000883028232722
l	0.00186513636647	0.0083412495812	0.513521153368	0.475354134398	0.000918374417574
à	0.0179181015655	0.0326486249937	0.358862675123	0.568321118133	0.0222495014792
c	0.0321742188552	0.0533491449979	0.574966378374	0.309284387378	0.0302258823264
h	0.0219746906184	0.039308002666	0.479663400458	0.447924100459	0.0111298022655
a	0.0096609937428	0.021975392522	0.175332071586	0.785180693486	0.0078508280785
n	0.00372719948427	0.0100301023073	0.067519869962	0.912083907829	0.00663890805283
a	0.00184890690142	0.00615794343577	0.0367532999873	0.74064560261	0.214594252044
</S>	0.00111598151071	0.00360125946788	0.0299644914936	0.539512251305	0.425806026022
