 	voglio	che	Maria	venga	domani	</S>
i	0.94130685	0.024549168	0.02457569589	0.00481438561	0.004600833569	0.000152961418577
t	0.90625585	0.0595592013333	0.0245436432867	0.00481637743767	0.00467163156967	0.000153201639392
è	0.914805493333	0.0662193234444	0.00933243738557	0.00314982428022	0.00577631690322	0.000716573706331
l	0.904695407778	0.0606414074815	0.00448663353852	0.00407903499341	0.0250384433011	0.00105912136211
o	0.589842148259	0.315951132494	0.0392110106228	0.0122091983311	0.0422210134337	0.000565554674037
n	0.204812968253	0.697571124165	0.0540011622076	0.0137183983604	0.0296484424112	0.000247937616179
a	0.0699165193543	0.565760952055	0.336177929403	0.0138106820368	0.0142372177371	9.6754206893e-05
r	0.0332481352214	0.511214164685	0.430360570468	0.0143133357789	0.010808465579	5.5354349631e-05
t	0.0326417750738	0.801276214895	0.149333337956	0.00631687285963	0.0104015958597	3.0178100077e-05
i	0.0227664174913	0.642258391632	0.261618153119	0.0548054337865	0.0183751252866	0.000176450172892
à	0.0101264954304	0.275648515277	0.330493337706	0.141763437929	0.239733497429	0.0022347082243
v	0.00818119094347	0.131868689826	0.155567813569	0.129334664643	0.571991382476	0.00305626162143
v	0.0314551059812	0.191179129942	0.067164985523	0.076342548881	0.632468707492	0.00138952605048
r	0.0486241763271	0.464511533314	0.0434403751743	0.0508485419603	0.391995285831	0.000580075066827
i	0.028581647909	0.454671518771	0.137043901725	0.188702620987	0.148683195277	0.0423170981089
i	0.0100214386073	0.1586812899	0.196612023908	0.402272790329	0.175215928426	0.0571965063696
M	0.143661015707	0.22951397261	0.115948271636	0.307941836776	0.182365050475	0.0205698418899
a	0.188249601276	0.253630553303	0.147191454212	0.304122775592	0.0821183464917	0.02468728773
r	0.173301996465	0.300514770201	0.157263267737	0.299843281797	0.0432627118306	0.0258139977433
ì	0.168330272548	0.315925098167	0.102865052246	0.222658773866	0.146958334944	0.0432624950811
a	0.0562779821527	0.106101413342	0.087669452082	0.221485254622	0.194865298315	0.333600640027
</S>	0.0282994674413	0.053510550451	0.054571388041	0.148391602311	0.121277244157	0.593949795013
