 	i	genitori	non	è	che	li	dimentichiamo	mai	</S>
u	0.8501297	0.09452338	0.0437252922	0.003123285875	0.000791117105	0.002233884345	0.000201237542	0.00182371324897	0.00344847093967
g	0.738924933333	0.1637097	0.0434805253333	0.003501100425	0.00483526526833	0.004765273115	0.0353673132673	0.00187737270299	0.00353857175322
e	0.521284937778	0.37838612	0.0356252577111	0.002687377375	0.00618711155611	0.00489797057167	0.0471456110758	0.001415931521	0.00236969545774
n	0.383070239259	0.550929493333	0.0338246689037	0.00275150809167	0.00383038375204	0.00334466182389	0.0191010533453	0.00123096177033	0.00191702160591
i	0.26583774642	0.667499417778	0.0463432626346	0.00343244569722	0.00276368231735	0.0024166526413	0.00959518304843	0.00085452782011	0.0012571121553
t	0.22364846214	0.683392145926	0.0568012995449	0.00836197936574	0.00862807790578	0.00463644901377	0.0120361362828	0.00106945684004	0.0014260139851
ò	0.214926003047	0.591468135309	0.0802018771816	0.0327423121219	0.0149048266353	0.00864125100459	0.0136875211276	0.0118795185467	0.0315485526617
r	0.107146303349	0.481631058436	0.128905019061	0.132069634041	0.0200768545451	0.0372562570015	0.0089960134092	0.0217296298489	0.0621892155539
u	0.0579914736863	0.265629070145	0.33139142302	0.21192913468	0.024767873515	0.0449187518338	0.00673766776973	0.0143576097496	0.042276972118
e	0.0193646908988	0.103559142382	0.53103607434	0.252568948227	0.0480555941717	0.0223009187779	0.00259029527658	0.00563928834987	0.0148850391893
n	0.0124916867329	0.043575265794	0.367384135113	0.249799689409	0.271084484724	0.028270275926	0.0197375464789	0.00231512197329	0.00534181883977
è	0.0110985063776	0.040918052598	0.171590632038	0.216597573136	0.413011328241	0.0767197529753	0.027208656493	0.0154073658811	0.0274481591733
n	0.00675952359253	0.0366292175327	0.101355428346	0.222043407712	0.41006537608	0.144737474325	0.0144562024977	0.022734762627	0.0412185893911
u	0.00441178825184	0.0151078107609	0.055584513782	0.174534577237	0.467558992027	0.233178914775	0.0142478038326	0.0135021195423	0.021873427797
s	0.00528129347161	0.0059360966703	0.0365639604607	0.0906615797457	0.429769704009	0.308030524925	0.107379559944	0.0074198700541	0.00895736463233
a	0.00557279429387	0.0027652770001	0.0203772173536	0.0389039525819	0.293120571336	0.457305654975	0.172331256648	0.00560260455803	0.00402066561078
l	0.012254763568	0.0020046402767	0.0145207201845	0.018938706394	0.149576054445	0.462041028325	0.333258375549	0.00500370403601	0.00240206122693
l	0.0186580641893	0.00394763742557	0.0059478094615	0.00814100066467	0.110729995482	0.260017311108	0.589885125183	0.00176455448534	0.000908598133977
i	0.0104221257254	0.00401707994186	0.00598949515383	0.00712207788822	0.112478331827	0.221939102036	0.604697035061	0.0238627761184	0.00947205277966
m	0.00411816163747	0.00204556261395	0.00530809928461	0.00582020650607	0.0867810472757	0.201637117345	0.650788918354	0.0311935364781	0.0123073839912
o	0.00200295319349	0.00111574655798	0.00200890564154	0.00232723206536	0.0498230630919	0.110368941448	0.808595206118	0.0178993099314	0.0058586136284
n	0.00133050131216	0.00174544413933	0.00100187860385	0.00109245670845	0.026533634364	0.053109829816	0.897543735373	0.0138353878105	0.0038070822528
ì	0.00110911857339	0.00215415861311	0.00918917494462	0.00718195856948	0.0216192804547	0.0763429269387	0.762465891791	0.0818808754368	0.0380565798943
s	0.0016718939938	0.0027357431377	0.0142832003149	0.0127147698565	0.0234397021516	0.125774895646	0.566559997264	0.152667575146	0.100152221965
o	0.0018596943526	0.0026959284359	0.00736503671497	0.00808507424217	0.0178210154172	0.0895127115487	0.374384758088	0.381704595049	0.116571215322
m	0.0009374285722	0.00106630972197	0.00254077555032	0.00296866610406	0.0104542858391	0.0345915621829	0.466467045029	0.409687064173	0.0712868866107
e	0.000636631016067	0.00053711251399	0.000883545774107	0.00112118686469	0.00814142671303	0.015328287461	0.493626279676	0.418614720548	0.0611107957069
m	0.000367503457356	0.000358094664663	0.000348833176702	0.00066023269823	0.00801931250434	0.00861155322033	0.502388091225	0.421546825773	0.0576995585376
a	0.000286846115785	0.000334012508221	0.000164654553234	0.00050260151941	0.00841031900145	0.00656129817344	0.524953623742	0.395361877514	0.0634247794812
i	0.000178663538595	0.00034634902274	9.7338890078e-05	0.000231485789803	0.00433296036715	0.00370360405781	0.211276646914	0.675404859171	0.10442804816
</S>	0.000180724664297	0.00039448817137	8.9720307039e-05	0.000171257859901	0.00284317473357	0.0026355823789	0.111842791957	0.770971454585	0.11087074658
