 	nella	pasta	vuole	sale	</S>
s	0.95522845	0.037748296	0.0008058821	0.005195498	0.0010218914
t	0.20591094	0.769807	0.00046920628	0.021286584	0.0025263596
i	0.97348976	0.019979885	0.0007580363	0.004063331	0.001708882
p	0.08483361	0.896239	0.017550787	0.0013718453	4.6908845e-06
à	0.11260452	0.03999909	0.004328213	0.4635301	0.3795381
s	0.0052470476	0.8950551	0.097508185	0.0015978176	0.0005918698
t	0.31313142	0.60412604	0.013744736	0.054425176	0.0145726465
a	0.044309445	0.917867	0.00030328965	0.008471619	0.029048603
t	0.015102374	0.41038442	0.1251973	0.38171464	0.06760129
è	0.06525489	0.044503786	0.0398413	0.23144037	0.61895967
l	0.0063408995	0.031142343	0.8963199	0.023383029	0.04281378
i	0.0932946	0.1138405	0.1681957	0.41966277	0.20500642
à	0.0002951081	0.003057372	0.016235003	0.5407141	0.4396985
l	0.0002793205	0.00035706235	0.008807279	0.9259913	0.06456504
a	0.0012604607	0.00031719348	0.0012736706	0.91572064	0.08142805
</S>	0.00021089183	5.7331727e-05	0.0007321844	0.20599663	0.79300296
