 	ha	che	sono	usciti	</S>
è	0.8542051	0.012604206	0.06001792	0.014177865	0.058994975
n	0.99610704	0.003754745	4.811028e-05	4.557766e-05	4.4553755e-05
a	0.59340423	0.120487764	0.12286614	0.002448982	0.16079284
g	0.0051829177	0.86060953	0.13221589	0.00029203514	0.0016996224
u	0.00020955711	0.0073461705	0.059340857	0.9192992	0.013804158
ì	0.0010635701	0.07847778	0.6993941	0.20198171	0.019082863
k	0.0064150053	0.07641835	0.9020608	0.008341488	0.0067642946
a	0.00601726	0.011018621	0.07566976	0.7993187	0.107975654
n	0.0009160459	0.017319623	0.9102223	0.01100359	0.060538396
e	0.00054013485	0.001006299	0.0060990877	0.9796361	0.01271846
</S>	0.00015254969	0.0038346148	0.17316929	0.009522017	0.81332153
