 	Valeria	legge	il	giornale	</S>
e	0.97142	0.0011665185	0.017209727	7.81749e-05	0.010125682
V	0.95831573	0.04160872	7.123811e-05	8.8707196e-08	4.08311e-06
a	0.03789092	0.00462462	0.033341695	0.8554382	0.068704635
l	0.96972984	0.02822557	0.00016335912	0.0009707712	0.0009104179
è	0.37286612	0.04254435	0.0693074	0.24701785	0.2682643
r	0.3268226	0.46843633	0.14110357	0.0100744665	0.05356304
i	0.5848117	0.15314402	0.024630932	0.020443017	0.2169703
a	0.010810769	0.6900567	0.250309	0.000808816	0.04801477
m	0.0016467397	0.32114446	0.66902614	0.0005885692	0.0075940765
e	0.005345204	0.0022601557	0.09292728	0.83072823	0.068739176
l	0.00022805166	0.0035650122	0.94084066	0.009916894	0.0454494
e	0.021166904	0.018275686	0.08327795	0.7527819	0.124497496
t	3.9662722e-05	0.00226256	0.9079927	0.017934212	0.071770854
à	0.008845572	0.008564118	0.08006731	0.8480265	0.054496508
o	0.0015005397	0.03836637	0.7616843	0.17602599	0.022422763
g	0.00020961257	0.0029810015	0.74061924	0.15693352	0.09925672
i	0.00016600626	6.702266e-05	0.008162516	0.980842	0.010762382
o	0.00014578903	0.0014873104	0.55105567	0.12543643	0.32187486
r	0.00026222185	0.0042460114	0.55213374	0.05615026	0.38720778
n	0.00038825345	0.0009888728	0.05450859	0.8818727	0.0622415
à	0.0005537866	0.00020270306	0.0072402833	0.13975658	0.8522467
l	0.0014722805	0.013606932	0.3790934	0.40142673	0.20440064
e	0.00057594356	0.0006819468	0.0021201414	0.9156077	0.08101432
</S>	1.6087721e-06	1.0565493e-05	0.0021650493	0.0032885985	0.99453413
