 	stava	ancora	cucinando	</S>
ì	0.95441748	0.0030663512	0.00704654490415	0.0354696036105
s	0.93895213	0.0265778355333	0.0110155655708	0.0234544369438
t	0.88931514	0.0342941357444	0.0154952155236	0.0608955309813
i	0.863873983333	0.0631534124815	0.0100994644412	0.0628732221604
g	0.600414169444	0.0878943758272	0.239808833747	0.0718826938868
g	0.491083341481	0.0739053969424	0.317883517249	0.117127781296
h	0.446989130494	0.0587106523141	0.128962522416	0.365337697099
e	0.182956500165	0.201592044105	0.0711819568053	0.5442695057
a	0.0713300375883	0.537504881368	0.0575031242684	0.333662000567
n	0.0264550300628	0.475644838456	0.361346208089	0.136553952189
k	0.0143226820209	0.166239332819	0.474734052696	0.344703927396
ò	0.0198170803403	0.313230029606	0.218264450899	0.448688425799
r	0.0941891111134	0.479256546535	0.224468046966	0.202086281933
a	0.108459125606	0.282683409578	0.520255928989	0.0886015216443
m	0.0384605004367	0.0984157952593	0.801745609663	0.0613780592148
a	0.0151524666622	0.0389479534198	0.757635936554	0.188263600738
r	0.0057653763374	0.0175597376399	0.754749078851	0.221925772913
è	0.00368740167913	0.05301912538	0.690063559617	0.253229880304
o	0.00238083289638	0.0680155777933	0.529297873206	0.400305693435
n	0.00106052976879	0.0290330547311	0.569107387735	0.400799031145
t	0.000597234457597	0.0113528663504	0.582543539245	0.405506350382
a	0.000236890078532	0.0041370323568	0.442865379748	0.552760670127
</S>	0.000122008776266	0.0024430335784	0.317298589874	0.680136355064
