 	che	sapeva	che	non	può	fare	il	bagno	</S>
k	0.925949695	0.0699039815	0.00069998738	0.000170854036	0.0018639779665	6.9310724165e-05	0.00095242302945	0.00028866623835	0.000101128646
a	0.648971278333	0.348898929167	0.00076621928	0.000253738369333	0.000632310224167	2.3434660555e-05	0.000318570398217	9.712059307e-05	3.83784865333e-05
ì	0.267110097444	0.727393709722	0.00331782472667	0.00135394022311	0.000587729965722	1.40737689083e-05	0.000163270921506	3.853387741e-05	2.07900860444e-05
s	0.109979365148	0.799447416574	0.0412708759089	0.00666215207437	0.0100254132886	0.00201056366197	0.0147549748605	0.00892762288414	0.00692157294535
s	0.081410469716	0.578733365525	0.0676450776363	0.0155797953581	0.0374323674295	0.0621220548873	0.0518780029535	0.0403372082947	0.0648615989818
e	0.0532969998587	0.478689568508	0.159606548212	0.0194065284527	0.0395429896098	0.0801886593758	0.0499231127845	0.0420645122116	0.0772810262086
r	0.0237569109062	0.380642697169	0.298055152737	0.0663779691509	0.0245663366699	0.0384989188719	0.0769378693948	0.0522760055172	0.0388880906175
e	0.0136286986021	0.15617224839	0.513557440912	0.10273098305	0.0198087455566	0.0246943939773	0.0866679111649	0.0564817286057	0.0262577995892
k	0.0068701955007	0.07109220913	0.587014570304	0.207234911017	0.0174355961855	0.0359335010124	0.036524530755	0.0241933041352	0.0137011445797
a	0.0046190215969	0.03221166891	0.465619540101	0.395136170339	0.0200237560618	0.0406526226041	0.018841128095	0.0125070886151	0.0103889860266
e	0.00158422097897	0.0121939199033	0.309759051034	0.370147523446	0.273665525354	0.0162483052347	0.00717322634167	0.00442308122503	0.00480514047553
s	0.00360941700966	0.0088066547011	0.140493568011	0.242358444482	0.375825705118	0.120513710512	0.0517632435806	0.0225240513583	0.0341052147918
ò	0.00435879880322	0.00765843730037	0.104000486004	0.296492584827	0.268753368373	0.180259290171	0.0662742558602	0.0284879326861	0.0437148747373
z	0.00475541840107	0.00705329950012	0.0834948320013	0.297688441609	0.229657472791	0.282709330057	0.0282260552867	0.036669601462	0.0297455773858
i	0.00483095715369	0.00650856516004	0.0468122524004	0.144730586736	0.220807937597	0.362137226686	0.0876256804289	0.0621474554873	0.0643993784619
k	0.0035779792379	0.00457307138001	0.0238478225335	0.067631877112	0.214987873866	0.369957535562	0.17803185681	0.0654770384958	0.0719149814873
à	0.00607201424597	0.00667878912667	0.0213841691778	0.0685443490373	0.177434455955	0.392381461854	0.216798595603	0.0592662214986	0.0514399491624
i	0.00502614655866	0.00512025679222	0.0129281974259	0.0520316237791	0.154184454318	0.224735699485	0.244911531868	0.0596447324995	0.241417356387
o	0.00174171019889	0.00182200747507	0.0044758552233	0.0178997034664	0.060135181106	0.0773556434117	0.393196593956	0.1448049175	0.298568411796
b	0.00065362628563	0.000662200526023	0.00186766095577	0.00710382659547	0.024476176902	0.0391073171872	0.591680464652	0.2205303525	0.113918376599
à	0.000971725878543	0.000599798515341	0.00122838725192	0.00469360553182	0.0132122456673	0.0285268957291	0.477332780217	0.382954224167	0.090480308533
g	0.00221713949285	0.00163898593845	0.00203096908397	0.00439501884394	0.0090587613891	0.0163744075764	0.222335538739	0.619995574722	0.121953599511
n	0.028551357931	0.0280297459795	0.0239989785947	0.0260854992813	0.028847382463	0.0186512745255	0.13993625958	0.547059244907	0.158840266504
o	0.036599651677	0.0360094708598	0.0303365233316	0.0322022962938	0.034929244821	0.0176386598418	0.10385519186	0.372293474969	0.336135485501
</S>	0.0190175493885	0.0184306087299	0.0157638973658	0.0168282879469	0.0196150034105	0.0129206199209	0.07445961393	0.342304097484	0.48066030775
