 	il	morto	si	piange	</S>
o	0.936729285	0.052877663	0.00389844436625	0.001452628307	0.00504195684915
a	0.638302417	0.356002304333	0.00269646716625	0.00129233434033	0.00170648201582
p	0.238094684333	0.516515668111	0.129831933389	0.0918735939801	0.0236841058386
e	0.0913493464443	0.564721532704	0.180326690463	0.123712421193	0.0398900102795
t	0.0646689438148	0.629486414235	0.204749482821	0.054128367931	0.0469668384265
a	0.0542895239716	0.480049831412	0.327411307607	0.0354127176437	0.102836672809
m	0.0264768566905	0.348454143804	0.506411425869	0.0195972552812	0.0990603491697
m	0.0664232782302	0.241816441268	0.477579190623	0.0120913431604	0.202089764623
è	0.22646127941	0.305458380423	0.207212062208	0.0258824770535	0.234985814074
n	0.464503203137	0.318551496808	0.091632560736	0.0316009780178	0.093711754558
o	0.389580796279	0.187679492269	0.330224020245	0.0242955533393	0.068220124186
i	0.130500999193	0.0772683367563	0.514678743415	0.21832210278	0.0592298533953
k	0.0463291995977	0.0342403555854	0.477466047805	0.335846100927	0.106118364465
l	0.0236491421992	0.0297628958618	0.378933455935	0.219626773642	0.348027784822
è	0.0140618684664	0.0232539628539	0.165132724645	0.418365021214	0.379186469941
e	0.00538887357213	0.0093808838513	0.0682328078817	0.731772950405	0.185224528314
t	0.00216319024071	0.0036832222171	0.0299150579606	0.766693396802	0.197545159438
e	0.00104328401014	0.0016907049447	0.0141317242369	0.570958658934	0.412175639813
</S>	0.00052515534992	0.00086037038085	0.00740861199345	0.415479249467	0.575726619906
