 	se	avevi	visto	le	nuvole	sapevi	che	piove	</S>
a	0.95280965	0.024451388	0.01214246075	0.0047558462	0.0011394743435	0.002396167095	0.00191789784996	0.00011896902026	0.0002681435736
n	0.65701298	0.0492554336667	0.218386870583	0.0549238872	0.0109608996102	0.00385561922833	0.00130354424996	4.80116169267e-05	0.0042527685736
ì	0.251582018	0.339483007889	0.311332303528	0.0722360726667	0.0142628561701	0.00438402551944	0.00111021528999	2.44849670756e-05	0.00558504445587
c	0.0972854517433	0.632284969296	0.236489507843	0.0252631662556	0.0048042550777	0.00152141272415	0.000390071226663	9.3195091252e-06	0.00195183509996
h	0.0373899336578	0.683646756432	0.266675642614	0.00906730445187	0.0016371901369	0.00052137335905	0.000149245814554	1.66468843751e-05	0.000895916226653
e	0.0179205873526	0.532744118811	0.440694627538	0.00711347008396	0.000785425818967	0.00019399822535	6.43290398513e-05	1.81513591884e-05	0.000465302425551
t	0.0354514645842	0.27169726427	0.592324055846	0.047150118028	0.0314822999897	0.00287868250412	0.00791565449928	0.000130550734793	0.0109699116485
o	0.0406235093614	0.19288898609	0.570394431949	0.124214509343	0.0425562736632	0.00408506696804	0.0105902681364	0.000167973308468	0.0144789859972
r	0.0228513616205	0.162797125363	0.535255443983	0.212224769781	0.0410611362211	0.00461958845601	0.0138399910155	9.81899496927e-05	0.00725241568007
ì	0.0191520236735	0.0956463784543	0.469337571328	0.313851746594	0.072248665407	0.00771955248534	0.0161553651385	0.000123651466564	0.00576506846002
s	0.0270170490245	0.0823663528181	0.401604880443	0.331628025531	0.0815328318023	0.0122099998284	0.0474928695128	0.000153518132188	0.0159944954867
o	0.0273701547982	0.0669947743727	0.244723003481	0.507674781844	0.0631498792674	0.0142928576095	0.0570608544043	0.000115203812996	0.0186185225922
n	0.0109708078227	0.0422559115576	0.166271577827	0.658620423948	0.0797494350891	0.0111210329698	0.0204162034014	4.7271025932e-05	0.0105473486274
t	0.0069932090409	0.0456361538525	0.157954502609	0.584896961316	0.106270621696	0.0089370627566	0.0182944505005	0.000374490254644	0.0706425498758
a	0.00384446912163	0.0284308084842	0.0786559537697	0.553524743772	0.219020200565	0.0113575112522	0.0176996326002	0.000476043345215	0.0869906246253
e	0.00143503291521	0.0102592877947	0.0288777671566	0.416335204591	0.313440196855	0.191365716417	0.00789583016673	0.000161550429172	0.0302294081418
m	0.00146492297174	0.00975267203157	0.0330835253855	0.299420678197	0.330684935618	0.276715982139	0.00665680458891	0.000594914563491	0.0416255679806
a	0.00143325840391	0.00940093066719	0.0336719536185	0.209343406066	0.456735811873	0.206254130713	0.0228373185296	0.00076611604583	0.0595570603269
n	0.00256339031464	0.0068616152124	0.0186699316962	0.101949028689	0.586609087291	0.187495783571	0.0353021721765	0.00083760950661	0.059711329109
t	0.00549549710488	0.0156589260708	0.0215621942321	0.120496232896	0.458391413764	0.11017890019	0.0468720933922	0.0497482988022	0.171596371036
e	0.00450015186563	0.0150923102703	0.0155538998107	0.110949636965	0.229041219255	0.23937727573	0.0998593577974	0.0659890747007	0.219637037012
ì	0.00232540461921	0.00544022968677	0.00586536927023	0.047006472455	0.165091986418	0.534591438577	0.107501371266	0.0225777549736	0.109599987337
t	0.00428997903974	0.00450494577892	0.00553249669008	0.0227141716183	0.175566352139	0.492534519526	0.0935950057553	0.0418395632979	0.159423004112
s	0.00443138149991	0.00427440125964	0.00528991509669	0.0137950083728	0.130681763046	0.221871591842	0.0779733952518	0.174324064433	0.367358508037
e	0.00177793344497	0.00179435582321	0.0021594745589	0.0055847502076	0.0462205050153	0.180845322614	0.171483601751	0.190313456478	0.399820636012
r	0.00991257693999	0.00908896121107	0.0101349091796	0.0140466106525	0.0651400833384	0.180509199871	0.294310353917	0.0764139604927	0.340443388671
e	0.0126260214433	0.0115295266287	0.0127956377912	0.0168822004508	0.0709478211128	0.181897085624	0.408084987972	0.0363659731642	0.248870748557
k	0.00517291074443	0.0049131579679	0.00564691876173	0.0083922123836	0.0617204303709	0.203135298541	0.571352279324	0.0207438887214	0.118922876852
a	0.00270841969481	0.00269122118697	0.00325695852858	0.00540453137953	0.0585660741136	0.11748113818	0.707749959775	0.0224184349071	0.0797232796173
v	0.00254657354494	0.00231786149332	0.00265748751753	0.00375804357818	0.0289278553612	0.05570076206	0.610439169925	0.229589262302	0.0640630255391
r	0.00256103293498	0.00228657633111	0.00253512391918	0.00335725895939	0.0190903201537	0.0282278033533	0.285474074308	0.583366640767	0.0731011751797
è	0.00123395664499	0.00095614931037	0.00105049895306	0.00145865184313	0.00736156688457	0.0182127797844	0.109270207436	0.667537430256	0.19291874506
c	0.00084096806833	0.00054688142679	0.000611770597687	0.00082358923771	0.00378787292819	0.0143270887948	0.050908513812	0.719587580085	0.208565734353
h	0.00158917116278	0.00138040433226	0.0014270665459	0.00177292751257	0.0034117067094	0.0269993851316	0.0407434542707	0.744998513362	0.177677380784
i	0.00247675225426	0.00168328831075	0.0017293363153	0.00210202858419	0.00310711348647	0.0312749581105	0.0545305880902	0.467458567787	0.435637360261
</S>	0.00241401762713	0.00107894645537	0.00112159115765	0.00131394976209	0.00196718826824	0.0169004586552	0.0593880690451	0.284061278894	0.63175448013
