 	lo	sentii	che	arrivò	</S>
t	0.986016	0.006035085	0.000934808	0.0008518255	0.006162275
o	0.777755	0.213250951667	0.00503224266667	0.000920550833333	0.0030412517
n	0.381974166667	0.306293950556	0.166641714222	0.0773742892778	0.0677156672667
ì	0.133054342222	0.418608283519	0.221557738074	0.109847029759	0.116932455756
k	0.0723794007407	0.72749842784	0.0847113126913	0.048457343253	0.066953672252
u	0.0920393002469	0.765132142613	0.0980600042304	0.0218728444177	0.0228957927507
s	0.073046226749	0.510900380871	0.33070100141	0.0389108781392	0.0464415459169
a	0.0301878689163	0.246304126957	0.602292333803	0.0497720593797	0.0714437819723
k	0.0146356013054	0.133759642319	0.708668777934	0.0533839197932	0.0895521939908
a	0.0067738921018	0.078609380773	0.651735259311	0.119794039931	0.14308773133
ì	0.00398910323393	0.0563423702577	0.387317586437	0.43933801331	0.113013243777
r	0.00135976247798	0.0204997100859	0.146810162146	0.792352004437	0.038978291259
t	0.000491834625993	0.00800245302863	0.0702156540487	0.654963334812	0.26632664042
e	0.000308087475331	0.00433593400954	0.0657900180162	0.294704178271	0.63486188014
</S>	0.000333840237665	0.00431968200477	0.0847860090081	0.152624689135	0.75793594007
