 	i	bambini	piccoli	li	vestono	i	genitori	</S>
a	0.68986	0.292966405	0.013577384	0.0007673585	0.00240754515	1.022749e-05	9.2795e-05	0.0003177539
p	0.385743666667	0.590794468333	0.0160316146667	0.0018891695	0.00383950505	2.26602233333e-05	0.000720288333333	0.000958198233333
e	0.451747222222	0.504658422778	0.0327621248889	0.00407313983333	0.00462930835	3.46506411111e-05	0.000926332911111	0.00116861564111
t	0.534487407407	0.185740540926	0.0839035416296	0.0687612299444	0.03560743945	0.0307186706804	0.026689954437	0.0340910781104
à	0.318193802469	0.279375980309	0.0883667138765	0.0907773833148	0.0447435164833	0.0414850335601	0.0424863181457	0.0945710260368
c	0.283240600823	0.319834860103	0.201563771292	0.0448680344383	0.0333759088278	0.0143829342867	0.0214604047152	0.0812732540123
i	0.236323000274	0.124457640368	0.504197923764	0.0607579448128	0.0348331362759	0.0048349985289	0.00725155217173	0.0273437940708
a	0.0962519734247	0.0423069271227	0.654433641255	0.134974314938	0.057647512092	0.00174693550963	0.00267482632391	0.00996402875693
k	0.0407649311416	0.0156561057076	0.500746547085	0.295399104979	0.084452837364	0.0192765738365	0.0247420324413	0.018962042919
è	0.0223533203805	0.0867519385692	0.260487115695	0.324129368326	0.060434545788	0.0263713879455	0.0542904441471	0.165182080973
c	0.0119855501268	0.118782512856	0.133897171898	0.343946789442	0.138489781929	0.0103973793152	0.0421208747157	0.200380060324
c	0.00790926004227	0.0506855942853	0.0716533632993	0.295511186481	0.15761077731	0.00431946310507	0.214466118239	0.197844053441
i	0.00664989668076	0.0189433707618	0.0782208937664	0.307272318827	0.09829777577	0.00903210436836	0.279721039413	0.201862351147
a	0.00570890256025	0.00647663725393	0.0816718579221	0.590654772942	0.127758591923	0.0104037081228	0.102921491804	0.0744040337157
a	0.00243203452008	0.00280777008464	0.030022465974	0.678712590981	0.207586197308	0.0117705093743	0.0386591759347	0.0280092912386
n	0.00227922817336	0.00181317236155	0.011875458658	0.52611886366	0.191534199103	0.118245903125	0.102779925312	0.0453531270795
d	0.00205094605779	0.000980755120517	0.00546682955267	0.277848287887	0.0715927630343	0.193250967708	0.256825975104	0.19198304236
ì	0.00173155868593	0.00936166037351	0.00328411651756	0.190582762629	0.153241817678	0.116521089236	0.272295991701	0.252980680787
n	0.00285451622864	0.0158065534578	0.00283806217252	0.290362920876	0.350595272559	0.050639696412	0.152102430567	0.134800526929
n	0.00244386080955	0.00927310481927	0.00212242982417	0.230747303625	0.28800772652	0.0241734791373	0.261423576856	0.181808475643
u	0.00104508433652	0.00343467560642	0.00106873237472	0.108064531208	0.151206544507	0.0305717400458	0.436235525619	0.268373158548
n	0.000618199445507	0.00121045943547	0.00074431145824	0.0684024704027	0.110111781502	0.178763146682	0.389715175206	0.250434386183
e	0.000362715148502	0.000445339845157	0.000444905152747	0.0315633501342	0.0669190271673	0.366531715561	0.308396058402	0.225336795394
i	0.000339834716167	0.000342366748386	0.000447748050916	0.0180423900447	0.0524737423891	0.326150905187	0.423198352801	0.179004931798
g	0.000502445905389	0.000397848249462	0.000398625350305	0.0093725400149	0.0254419807964	0.228576635062	0.5920361176	0.143274310599
e	0.000556955968463	0.000261511883154	0.000390916450102	0.00674815667163	0.0202429269321	0.230632878354	0.566517705867	0.174649436866
n	0.000437769322821	0.000209669761051	0.000348203150034	0.00423818889054	0.0161230089774	0.212690626118	0.567275568622	0.198677145622
i	0.000421185107607	0.00018486432035	0.000334742050011	0.00292276296351	0.0120516696591	0.190476208706	0.574074189541	0.219534048541
t	0.000316932369202	9.00803401167e-05	0.00026980101667	0.00196017632117	0.00982547088637	0.147977936235	0.603845729847	0.235713682847
ò	0.000215042456401	0.00872149328004	0.000134278672223	0.00102469444039	0.00465319129546	0.0732922920783	0.627015243282	0.284943894282
r	0.000598336485467	0.0134063510933	0.000403312557408	0.00286018848013	0.0163647170985	0.0338289773594	0.663280414427	0.269257931427
i	0.000945503828489	0.00633044336443	0.000753268519136	0.00416501949338	0.0272003056995	0.0235205591198	0.645308804809	0.291776610476
</S>	0.000908634414244	0.00322773118221	0.000814434759568	0.00352268474669	0.0258035528497	0.0176759795599	0.539236902405	0.408810805238
