 	noo	abbiamo	deciso	che	oggi	avevamo	andare	alla	spiaggia	con	mio	fratello	però	lui	sapeva	che	faceva	freddo	e	non	è	venuto	ma	ma	lì	che	il	mare	non	mi	piace	quando	fa	freddo	</S>
e	0.6333175	0.018600665	0.009037255	0.02696655	0.050318105	0.002536866	0.00743576515	0.001383403325	0.000120146015	0.0210331385	0.00310899955	0.022845665	0.0113242165	0.0131296175	0.01572759065	0.00762088285	0.00011814038	0.00399641089	0.00210492939	0.011726992	0.0394821325	0.0401380525	0.019968076	0.0236840285	0.000231492575	0.00536884195	5.73258145e-05	0.000478364775	0.00269452915	0.0041195349	2.0132675e-05	7.197867e-05	0.00102677065	8.24634e-05	0.00012328085
m	0.332136966667	0.286320021667	0.00933382833333	0.0373526833333	0.0497779916667	0.0129124453333	0.00952950505	0.00211496110833	0.000132393271667	0.0215518561667	0.00320755151667	0.0220879916667	0.0123931421667	0.0150459958333	0.0164027102167	0.00829468095	0.000167706793333	0.00508181029667	0.00243783979667	0.011759635	0.0402571641667	0.0415092341667	0.0202086253333	0.0239896261667	0.000249522091667	0.00583027398333	6.37179381667e-05	0.000545488925	0.00270928595	0.00430166896667	3.00420583333e-05	0.00020607189	0.00154712355	0.0003459118	0.00016441185
ì	0.136955988889	0.684365007222	0.00732135277778	0.0293033944444	0.0206015972222	0.0147068382444	0.00528237555	0.00144043095944	5.7008854489e-05	0.0079035783889	0.00117159763556	0.00888470055557	0.0052087690989	0.00694429704443	0.00619185670557	0.00344950031	0.000106472901778	0.00278402263222	0.00114730583822	0.00397093766	0.0142781820556	0.0152571144556	0.00708676164443	0.00840339395557	0.000102595054222	0.00241064701444	2.79644883889e-05	0.000250144368667	0.000927195013667	0.00162008181222	2.07544077778e-05	0.00020924413	0.00104176802667	0.00039887289	0.000168234283333
d	0.243240196296	0.577411435741	0.0269324342593	0.0521773981481	0.0391531424074	0.0053905992148	0.00293668905	0.00071508957648	0.000115017448763	0.00400528246297	0.000970931341853	0.00695753351852	0.0024176380763	0.00281787744814	0.00355416553519	0.00155000009667	6.90596045927e-05	0.00135874674407	0.000520935185407	0.00210513421333	0.00623175135187	0.0067872078852	0.00354444041481	0.00422052655186	0.000261059808407	0.00131991135815	2.42123051296e-05	0.000204630516556	0.000509227468222	0.000911662094073	1.06598242593e-05	0.000112555876667	0.00042091551889	0.000785901586667	0.000256001094444
e	0.279851898765	0.22327066858	0.34534371142	0.066936732716	0.0429406914691	0.00240226840493	0.00236168001667	0.000545510525493	0.000152218082921	0.00273159715432	0.00108432044728	0.00567894074284	0.0015437436921	0.00144608741605	0.00264305545506	0.00101717669889	6.49220681976e-05	0.000886621148023	0.000327347861802	0.00154446640444	0.00359010178396	0.0039998506284	0.00244601813827	0.00292142985062	0.000338823536136	0.00104035778605	5.23344683765e-05	0.000244539838852	0.000383877856074	0.000717814364691	9.8441447531e-06	7.50882535557e-05	0.00022116053963	0.000913858068222	0.000270986252481
c	0.117128966255	0.102490646193	0.59259723714	0.0996205109053	0.0212186411564	0.00819206146831	0.00441873700556	0.00143901217516	0.000216924960974	0.00155814205144	0.00098935681576	0.00243704648428	0.0009058662307	0.00106751407202	0.00159977542835	0.00098149889963	0.000487947222733	0.00108519928267	0.000487171420601	0.00135386380148	0.00189320526132	0.00203339820947	0.00175447404609	0.00186536095021	0.00130425077871	0.00258810659535	0.000678127556125	0.00128199761295	0.000869278985358	0.0013224284549	0.000803491018251	0.00257618237919	0.00254964621321	0.00178319356207	0.0164205289718
i	0.057790332085	0.0610716510643	0.628032079047	0.130166203635	0.0143458137188	0.0106524271561	0.00729561900185	0.00303208739172	0.00132273898699	0.00232253401715	0.00329020560525	0.00141845549476	0.00221489274357	0.00123865569067	0.00129636780945	0.00223769963321	0.00199805574091	0.00135162342756	0.00167746047353	0.00296371460049	0.00248636175377	0.00249213940316	0.00283616801536	0.00294121365007	0.0064743135929	0.00445620219845	0.00116784385204	0.00344534587098	0.00225376632845	0.0031035528183	0.00137093833942	0.00343597985973	0.00387320873774	0.00211090952069	0.0218335090573
d	0.0265465873617	0.0249117860214	0.523317693016	0.268469434545	0.0187097045729	0.0137260823854	0.0117103130006	0.00424286246391	0.00190230966233	0.00271936800572	0.00471913186842	0.00112395849825	0.00292186758119	0.00139664623022	0.000972345269817	0.00295385987774	0.0034087585803	0.00133842814252	0.00218223015784	0.00377580486683	0.00285017058459	0.00295033980105	0.00341073933845	0.00366189455002	0.0108986378643	0.00559974739948	0.00160415595068	0.00582794195699	0.00286213877615	0.00393533427277	0.00275040411314	0.00344318901991	0.00487308624591	0.00271787817356	0.0215653690858
è	0.0145247884539	0.0140022986738	0.231015897672	0.387815811515	0.227169068191	0.0142840744618	0.0111372943335	0.0033352058213	0.000999778920777	0.00307295266857	0.00289671395614	0.00551832283275	0.0018831648604	0.00134166974341	0.00179600175661	0.00209347962591	0.00251107852677	0.00123778471417	0.00121286168595	0.00240835028894	0.00229553686153	0.00247273326702	0.00323051977948	0.00347693151667	0.00752626395477	0.00464927379983	0.00144045656023	0.00476815818566	0.00184028105872	0.00263571709092	0.00290825997105	0.0034458064733	0.00466775844864	0.00289276902452	0.0214932806953
t	0.00900275548463	0.00728589955793	0.124376965891	0.451019270505	0.327033689397	0.0099940718206	0.00814485477783	0.0022381836071	0.000462274006926	0.00411282755619	0.00223858131871	0.00952711761092	0.00202539395347	0.00128236758114	0.00324669391887	0.00140001620864	0.000908073508923	0.00118979357139	0.00065715252865	0.00120465609631	0.00198655895384	0.00266071775567	0.00273815325983	0.00327734717222	0.00269865931826	0.00221644926661	0.00053822676341	0.00195628692855	0.00069582248624	0.00135158469697	0.00098345959035	0.00125744962443	0.00164112118288	0.00133311597484	0.0073147585651
