 	ho	scritto	una	lettera	al	mio	fratello	</S>
è	0.5023865	0.2415969	0.09591855	0.139537755	0.00083442905	0.0004956852	0.00574372	0.013486382
g	0.187266466667	0.5592993	0.0908080866667	0.142089918333	0.000828881963333	0.000490426283333	0.00599834633333	0.0132184036
r	0.257167122222	0.6492711	0.0323883455556	0.0539015694443	0.000304724601111	0.000168060544444	0.00236072511111	0.00443821913333
a	0.370864040741	0.474829366667	0.130985528519	0.0207473964814	0.00016449520037	7.25005814813e-05	0.000846178563703	0.00149040176444
t	0.23930211358	0.534250788889	0.181182309506	0.0142692088271	0.0175615304001	0.00295824502716	0.0022588330479	0.00821698764148
s	0.166174471193	0.498839262963	0.227380236502	0.0132432562757	0.0327093101334	0.0265751216757	0.0032687943493	0.0318095625472
a	0.124573923731	0.238371254321	0.531425745501	0.0119022387586	0.0241865033778	0.0349633072252	0.0016576170831	0.0329194041824
è	0.0461168239103	0.0890687914403	0.790786581834	0.0339658462529	0.0120280754593	0.0150952768984	0.0009936513277	0.0119449778275
n	0.0167696406368	0.0349509371468	0.871441860611	0.060797848751	0.0046751261531	0.0050921621228	0.0022399937759	0.00403219270917
a	0.00839446687893	0.0165408490489	0.796862953537	0.119372182917	0.0406895353844	0.0122676493743	0.00288587459197	0.00298627456972
n	0.00738463562631	0.0099853530163	0.500962551179	0.286580060972	0.139480511795	0.0382797497914	0.00412549819732	0.0132015948566
g	0.00613677520877	0.0076764176721	0.212172983726	0.271192786991	0.269953503932	0.0969150832638	0.0106580360658	0.125294098286
r	0.00356366506959	0.00347417255737	0.089597761242	0.0956055323303	0.293422167977	0.147989027755	0.0155237786886	0.350823366095
à	0.0032295250232	0.00581039085246	0.0486062537473	0.0776446807768	0.170271989326	0.105300925918	0.265445359563	0.323690688698
m	0.0034180916744	0.00971656361749	0.0447057179158	0.354313226926	0.0678432297753	0.0361256356393	0.367356353188	0.116521276233
m	0.0021693041248	0.00729351120583	0.0290084793053	0.457098408975	0.0485405099251	0.0128095422131	0.300814684396	0.142265572078
a	0.00117505160827	0.00288987006861	0.0152750997684	0.210581369658	0.154307636642	0.173554100738	0.256555598132	0.185661190693
u	0.000878849869423	0.00106870602287	0.0103847005895	0.0753708165527	0.386434878881	0.335284700246	0.0877539027107	0.102823496898
d	0.000552564956474	0.000620897007623	0.00372568052983	0.0273107688509	0.508408626294	0.293937566749	0.0376884675702	0.127755932299
e	0.000465588985491	0.000426951935874	0.00146470250994	0.00971479761697	0.375137542098	0.43196252225	0.0247974225234	0.1560311441
r	0.000863107995164	0.000747228245291	0.00078347516998	0.00343685620566	0.252397847366	0.593390507417	0.0175960741745	0.1307852147
f	0.00121516699839	0.00090079274843	0.000604136723327	0.00147202673522	0.295576949122	0.428968835806	0.0140011447248	0.257261071567
ù	0.000805831999463	0.00111245424948	0.000388494507776	0.000774401245073	0.226282133041	0.185773115269	0.331502001575	0.253361723856
m	0.000658993666488	0.00222478141649	0.000368981435925	0.00126044708169	0.100545061014	0.0850731750897	0.712359000525	0.0975096746187
m	0.000522846055496	0.00193329747216	0.000337892211975	0.0013984886939	0.0645741536713	0.0517441716966	0.656932666842	0.22255629154
u	0.000383150185165	0.00078118749072	0.000331382803992	0.000660977564633	0.0480222845571	0.0624932038989	0.364939022281	0.522388430513
</S>	0.000493806592582	0.00046333574536	0.000487873401996	0.000475066282316	0.0536780922785	0.0979316019494	0.18938421114	0.657085715256
