 	se	avevo	visto	nuvole	avevo	capito	che	stava	per	piovere	</S>
a	0.873660822	0.0615114194	0.01683183346	0.005055271968	0.00131168993	0.010534021942	0.0037403439676	0.0019629221246	0.0013821249538	0.0035635528854	0.020445923285
n	0.5065076706	0.297625293	0.024988471	0.0106133616	0.0017839996708	0.0029597860386	0.00291034316744	0.0003700737308	0.00237844813051	0.0311519740862	0.118710665081
e	0.016224864332	0.70781838	0.1722360312	0.07276964256	0.012126993846	0.003278597074	0.0007312573054	0.001487274228	0.0002709174746	0.00104531584788	0.0120106673196
v	0.061081270358	0.875794422	0.0542267686	0.0055191327	0.00161244705266	0.0003939453182	0.00021684707444	9.98100482e-05	9.703095301e-05	0.000302003779713	0.0006563602489
ò	0.002256941286	0.6260858616	0.324943154	0.0252490136	0.005608924532	0.002347411402	0.0036457410772	0.001561362304	0.001506050573	0.0027018620784	0.00409371925736
ì	0.00341752305366	0.722306382	0.23683414982	0.02062646814	0.00734183012	0.005141851242	0.0017192997932	0.001012518738	0.000572799524	0.0002140613634	0.0008131773008
c	0.061131311448	0.3777228212	0.466518747	0.0368625574	0.01030321802	0.0035216632	0.00131168936	0.01025744686	0.0014568209732	0.00930089746335	0.0216130536809
h	0.00392681752	0.4348055	0.483102434	0.0292079724	0.00545331166	0.00153745708	0.006125226616	0.00277741082	0.001507894684	0.006402196512	0.0251539068324
a	0.01875480398	0.457904458	0.353894486	0.0739869382	0.0183282457	0.018199712514	0.0092564961166	0.01312443882	0.004752853566	0.00808943335	0.023708016847
d	0.00092273159134	0.02384210919	0.707028958	0.253063974	0.00883567392	0.004349321454	0.0006753407366	0.0005951453052	0.0001842091798	0.000129287585465	0.0003733938592
ò	0.002726874762	0.1045034444	0.435820288	0.327206638	0.0563856156	0.0170214693	0.01484447168	0.01679503062	0.00633336878	0.00726717826	0.011095472136
n	0.0004369013052	0.04285615944	0.181980746	0.715445062	0.0461881954	0.005629787032	0.0011978799486	0.00260988071	0.000360328954	0.0010455719694	0.002249413576
t	0.0043621837886	0.06016779412	0.37729102	0.444049798	0.0519793906	0.014045353	0.002119631302	0.01144068864	0.001713359514	0.004549453008	0.02828137618
a	0.0092349530174	0.1276949637	0.182436856	0.337693936	0.194102548	0.03897664	0.0120644049	0.02307956444	0.0097574823	0.035055650188	0.029902820566
s	0.000872157890328	0.00104015167452	0.0677185424	0.713301034	0.174550772	0.0305227642	0.00570573788	0.001640606908	0.001539691994	0.00112078681088	0.0019877273926
ì	0.00385290461544	0.011799756976	0.0558861374	0.4928612	0.297141846	0.050672194	0.01948701606	0.0222129344	0.01706093336	0.00497712184	0.024047912193
n	0.00017365760683	0.0021024975108	0.00791644594	0.670628586	0.289502896	0.01638046034	0.0020946726246	0.004063970184	0.0008652783624	0.0026329500645	0.0036385956072
d	0.00452517142783	0.0058486839292	0.04539762488	0.5212785152	0.316409508	0.0333658056	0.003652008664	0.01997179726	0.00162528768	0.003812438686	0.044113231328
e	0.00170701624	0.04044559686	0.0317871336	0.1651623368	0.506316356	0.0610657648	0.013032478292	0.05591462866	0.006742673396	0.065618742708	0.05220751524
