 	se	avessi	visto	le	nuvole	avrei	capito	che	pioverà	</S>
a	0.87152157	0.061681249	0.01840185724	0.003486966594	0.003677966136	0.005457812204	0.0071138276628	0.000972668853	0.0014805782822	0.0262055516861
n	0.5741440682	0.2168246588	0.03253084372	0.011478202674	0.002071425812	0.0016292999824	0.00123832336148	0.00200298033584	0.0692734647676	0.0888067846124
ì	0.023724064206	0.688736862	0.1834941052	0.0513533682	0.02358827642	0.006165902706	0.002627500569	0.000388014555	0.0013416843432	0.0185802184906
c	0.004744389159	0.942337766	0.04257709776	0.00110885392	0.00145903344	0.0009502313416	0.0008772989492	0.000628697523	0.00104875494624	0.00426778696262
h	0.01892599026	0.672203048	0.204548416	0.01503429356	0.006310955578	0.001514607051	0.000335861142	0.0004180503992	0.0145313635122	0.0661773788032
a	0.026995705028	0.773654156	0.1548591446	0.01234273613	0.014528448737	0.0033356909269	0.00155260276516	0.00069233002614	0.00068918018164	0.011349922379
d	0.004981863044	0.1332478988	0.727967622	0.1163764298	0.0142821333	0.001303194058	0.001226369325	0.00022185654396	0.000119063485977	0.00027371847812
ò	0.00578616562	0.2246598948	0.559329468	0.1212386148	0.03951426506	0.0131858485	0.0052648009	0.008657989788	0.0126488559122	0.009713988638
n	0.0019751220668	0.22354632978	0.599640428	0.118118678	0.04825363174	0.00390928818	0.001038403854	0.000380369542	0.00103688160694	0.002100859238
t	0.006038102407	0.1265098776	0.64324093	0.147183272	0.03668247222	0.00387717176	0.002895953504	0.001746660294	0.0040307047066	0.0277947807
a	0.0097745664764	0.2048212972	0.434745874	0.182924004	0.0592505864	0.0388369444	0.01663675006	0.00754304314	0.0262193400252	0.019247496772
t	0.00097392852902	0.001337010052	0.1600639418	0.749654842	0.0644718666	0.01320905806	0.00365571788	0.003025606851	0.00133677351871	0.0022713376606
a	0.00486829920166	0.0192338117	0.136981958	0.429172202	0.241630368	0.0707669388	0.02381894654	0.01857658396	0.004352438498	0.0505987120246
s	0.00062964375	0.0008970695957	0.0351651529	0.78464578	0.123712731	0.0372161	0.00712156238	0.004271566514	0.00279646312819	0.0035439548252
ì	0.00430240396455	0.0156636490092	0.0339323828	0.321078986	0.436961836	0.0862726582	0.02379962572	0.012366151926	0.004569818162	0.0610524261046
n	0.00029214196329	0.0193537099136	0.00902425726	0.1829662236	0.680479122	0.0570248782	0.006235681108	0.001922319112	0.0205755954568	0.02212606561
n	0.00437841687649	0.0081484573546	0.0317360258	0.1619651932	0.64764556	0.0468840198	0.01063128248	0.002856654574	0.0043231647556	0.081431345076
e	0.0033581008594	0.03658210068	0.0366852222	0.139615247	0.35742166	0.156031565	0.024620332546	0.01062144896	0.151971878652	0.08309231404
f	0.000426050637631	0.000412368390754	0.0033669426	0.1004747444	0.40645979	0.39425699	0.05794651686	0.01925056726	0.00900090401494	0.008405064
a	0.00537252576309	0.00959113714148	0.0129411242988	0.0572627254	0.52489394	0.2273464388	0.0477151516	0.0219434402	0.01798384748	0.07494949904
ì	0.00021389413819	0.000402873620736	0.003262025938	0.0483655246	0.246269025	0.566895166	0.0909990668	0.0236547646	0.0087538214946	0.01118386958
c	0.000559573579393	0.00116949681771	0.000701486624	0.01181393972	0.4495671384	0.394620332	0.082564375	0.017156438132	0.0297825566011	0.012064708362
h	0.00661731681635	0.00434295381576	0.00482575889	0.04745450656	0.4658875026	0.2708026884	0.0197685394	0.0126340145	0.07821194272	0.089454758886
a	0.00085905185004	0.00127463908	0.0024490616	0.02820459284	0.288344858	0.528956138	0.0608792352	0.01080181906	0.015366967172	0.062863773892
