 	la	macchina	vuole	riparata	dal	meccanico	</S>
e	0.905251156	0.04393002234	0.00477987434	0.0072254847604	0.00203718944	0.0057458698248	0.0310303679117
m	0.625053026	0.358532745	0.010428288606	0.000970899992	0.00188974064504	0.000374863490664	0.00275032500716
à	0.2865929852	0.429089278	0.1243264716	0.02568498358	0.011315919	0.010347969794	0.112642399626
k	0.2038619568	0.753245428	0.0368609139	0.00092602703	0.000894919952	0.000371146601	0.0038395774912
i	0.2301077706	0.660622194	0.0344698836	0.003069489738	0.004728400434	0.0008081112954	0.0661942417688
n	0.1165066487	0.712956236	0.14825999	0.01973591818	0.000974098786	0.0005918141138	0.00097527862
a	0.104279150608	0.478288168	0.290318304	0.0523753794	0.01939620204	0.00641794496	0.048925077724
t	0.01815944915	0.2912305	0.589712546	0.0836273242	0.00498473562	0.005143013479	0.00714251616
è	0.035363701297	0.1568536272	0.613872551	0.04941043386	0.06723022788	0.024999255006	0.052270283286
l	0.002978053224	0.07332671	0.80761108	0.09082629606	0.00762877946	0.001830795536	0.01579827392
i	0.0309468247	0.0670772714	0.716599686	0.0477346252	0.0259928725	0.00980007922	0.101848635666
s	0.00085139111	0.003169085052	0.313575718	0.629771124	0.033391003	0.005767382292	0.01347430344
t	0.0117221790517	0.02218421476	0.554075147	0.269695968	0.0688128168	0.01567520034	0.057834429322
i	0.01167757574	0.03749492668	0.2170418248	0.2104157062	0.0830909523	0.28295951892	0.157319441198
a	0.001639864258	0.001945690962	0.0591361582	0.79150256	0.077724122	0.0297123864	0.03833924048
m	0.0004857804188	0.003087824298	0.0193324214	0.731502788	0.2226108168	0.009511920098	0.01346846854
m	0.0067108324952	0.01103434618	0.0394596202	0.53318391	0.1352447182	0.0570951186	0.217271497087
è	0.0232136280406	0.01605894044	0.0690401404	0.471342576	0.0773788554	0.0628984142	0.280067565187
n	0.0391059223286	0.0245187470774	0.0489050082	0.456835608	0.263518358	0.04360820567	0.1235082057
i	0.0890460189557	0.0493019695484	0.0987133966	0.267460646	0.3883393792	0.0410555952	0.0660831307
a	0.00246160957457	0.0019630354784	0.006224834248	0.2298598838	0.393076244	0.2896788452	0.0767354972
t	0.000381007154688	0.0016602406048	0.004185121024	0.0577122514	0.747884358	0.1374210726	0.0507559936
t	0.00281631683286	0.00164341512	0.00678102984	0.03570309108	0.503746112	0.27530816	0.174001770754
o	0.0023242890116	0.002931755262	0.003788555174	0.038886537714	0.329668837	0.421881288	0.20051881461
m	0.0009872990391	0.0020615289242	0.0061006539176	0.02123513112	0.17902484	0.599845482	0.1907451768
e	0.00220769527708	0.00277568200492	0.002238015898	0.0102404405	0.1831889096	0.5510329448	0.248316210498
k	0.00207973847937	0.0020503862077	0.00764699311432	0.020814106414	0.077101896	0.709719494	0.180587283
k	0.00184933544342	0.0033757185686	0.0017247901392	0.0041589227	0.06550947402	0.654857472	0.268524326188
à	0.0114756516428	0.0035714325176	0.006084115264	0.01541820377	0.0643813836	0.546964986	0.352104327166
n	0.0282229235606	0.0148942599189	0.00598039372668	0.0334625550746	0.1331494768	0.360767464	0.42352289
i	0.0508603514118	0.022076694386	0.0185859529078	0.0123001613166	0.154502757	0.398692142	0.342981956
k	0.00488068322255	0.0028883079228	0.0047260834362	0.0122674761348	0.0122811593	0.559583958	0.403372278
o	0.00994542486282	0.0154733312104	0.00373539008734	0.0027301121954	0.02689426826	0.723026326	0.21819529926
</S>	0.00306953616444	0.0018387171259	0.004011899949	0.0071369457334	0.00573533716	0.4270650268	0.551142468
