 	dei	genitori	</S>
à	0.92528878	0.02613096072	0.0485803549166
t	0.928557902	0.03212330054	0.039318829484
t	0.70982306	0.133067420484	0.157109615398
u	0.526100012	0.1896320852	0.284268067186
s	0.26950636	0.56444754	0.1660460958
g	0.1814509866	0.55851979	0.2600292771
e	0.302989154	0.514299994	0.182710703006
n	0.02040365386	0.68119728	0.2983989802
i	0.02263365126	0.751536664	0.225829742777
t	0.01273349312	0.80609558	0.1811708936
ò	0.083427246736	0.80313855	0.11343431754
r	0.009018461908	0.706377394	0.2846040772
u	0.02141765304	0.665626636	0.3129558308
</S>	0.001091501388	0.1947450498	0.804163446
