 	voi	avete	mai	mangiato	il	pasticciotto	</S>
e	0.89111068	0.06676281294	0.0046558431108	0.0045569405585	0.0037046197312	0.00425459097106	0.0249545941497
s	0.785095357667	0.113283056513	0.0213918031016	0.0323186780622	0.00630127790013	0.00522654365506	0.0363833007265
ì	0.551896808422	0.312921751038	0.0349011328005	0.0430647787954	0.00717381196004	0.00565309088355	0.0443886137302
ì	0.299542553554	0.557129894346	0.0648074679002	0.0304832982798	0.00724013540735	0.00892822639642	0.0318684646147
s	0.202734748531	0.605970568115	0.0956458709001	0.0324832345066	0.00774811652312	0.0126772148628	0.0427403034475
e	0.141529360561	0.489096161372	0.275082983233	0.0411355273622	0.00804366608771	0.00789051063427	0.0372218713152
s	0.0704328920128	0.284248559391	0.421883728011	0.148436927521	0.0144909843492	0.0116162343948	0.0488907155251
t	0.106817999379	0.15212530323	0.330082916537	0.207502694574	0.0509074750964	0.0387370617783	0.113826513907
a	0.0972295560643	0.0939324691767	0.356989883112	0.198402010925	0.0794938287455	0.0560238344594	0.117928382081
f	0.044759456982	0.0501153052056	0.343624220571	0.337469918975	0.0761149915152	0.0493939108198	0.0985221540777
a	0.0280473493787	0.0287876546819	0.25015587299	0.417157406325	0.116062552238	0.0536656902733	0.106123444257
m	0.016409504427	0.022287627254	0.22317609615	0.409484422108	0.153813951479	0.0582772994244	0.116551091521
è	0.0121488055226	0.0241809556447	0.154651513937	0.420936015369	0.17559450256	0.0887030885681	0.123785053876
n	0.0238378511498	0.0360058080136	0.110248719046	0.39564312979	0.204943343787	0.110799421996	0.118521619625
a	0.0273867541273	0.0323997301869	0.0749626881127	0.286755363083	0.306551123529	0.150126887512	0.121817388042
m	0.0165843420147	0.0161960563075	0.0376963340249	0.174548254514	0.38345797051	0.239046876904	0.132470112681
a	0.0148851596149	0.0109070219764	0.0200431187903	0.116183433038	0.364977776837	0.341762233635	0.131241242594
i	0.00793415842244	0.00504010159647	0.00893267504877	0.0569260539393	0.335445003612	0.474914596545	0.110807426798
i	0.00279532019635	0.00269787533456	0.00414934808292	0.0271041101131	0.287082713204	0.588666224848	0.0875044101727
l	0.0124253337866	0.00173996632352	0.00218898949631	0.0135366164377	0.213790519735	0.680445467616	0.0758731406309
p	0.0222722818344	0.00154218273677	0.00195065507164	0.0113864059086	0.125955000418	0.644586249872	0.19230724805
a	0.0154138443796	0.00164354245892	0.00244050754275	0.00906339867413	0.074556893728	0.508540928624	0.388340926457
s	0.0084527338311	0.00154366026388	0.00216710522149	0.00621912434031	0.047789247338	0.542965579541	0.390862589992
t	0.00647409615156	0.00181698277786	0.00205947732367	0.00933187681197	0.050764511626	0.54816595118	0.381387086877
i	0.0043068341886	0.00208791180137	0.00237212143347	0.00966565437679	0.0516144259707	0.416020187727	0.513932809332
c	0.00256110811613	0.00232603868447	0.00221097781014	0.00582453672486	0.0375162202989	0.473952222576	0.475608839844
c	0.00424750137551	0.00311331014709	0.00240587449491	0.00801604873245	0.051648557093	0.510387306859	0.420181412541
i	0.00665708446317	0.00477704916643	0.0038876240637	0.0165806500916	0.0727676636043	0.400813493953	0.49451652204
ò	0.0049600303539	0.00694541873018	0.00491016080163	0.0223421323669	0.0559746321748	0.382482458651	0.522385264013
t	0.00308431092287	0.00768698285263	0.00825171454281	0.026756882963	0.0411247969049	0.456794921884	0.456300470671
t	0.0145266032249	0.00652127953131	0.0092503010916	0.0291997224536	0.0353276002583	0.417120337628	0.488054187557
o	0.0188651909312	0.00555781249105	0.00569631518963	0.0202800350025	0.0223885610544	0.266700832876	0.660511240519
</S>	0.0119415184587	0.0054276532057	0.00453603900705	0.0129730893878	0.0193671877947	0.209669595438	0.736084929259
