 	sono	stato	sempre	poveretti	</S>
ì	0.913158355	0.034747078811	0.008477584566	0.0113881091852	0.0322288633309
m	0.6707644634	0.22661966837	0.00942628291747	0.0109024526238	0.0822871297461
e	0.3392077556	0.554450760123	0.0145666983886	0.00771285796393	0.0840619344386
s	0.173948671936	0.716164652708	0.0239469408962	0.00773154650664	0.0782082085985
t	0.113977997648	0.735099964236	0.0285104227787	0.0168611884022	0.105550428222
a	0.076826636116	0.713951900745	0.0799259631729	0.0405300936341	0.0887653746445
m	0.0350657405667	0.656160911582	0.132174708791	0.0539585469247	0.122640133858
m	0.0365904250169	0.625538047194	0.12132937453	0.0449224169149	0.171619806934
è	0.0750932196436	0.529240491131	0.21510803273	0.0441516993983	0.136406638176
n	0.119119318513	0.330074017177	0.394953235263	0.0613417998661	0.09451171179
a	0.0909563196425	0.174567860566	0.565260430088	0.0786500037554	0.0905654709013
p	0.035997910024	0.0893305731533	0.628628334029	0.110998111585	0.135045128514
à	0.0168730749952	0.0419409736425	0.67248015601	0.124734826262	0.143970994031
n	0.0095934279175	0.0230374578406	0.73913287067	0.122121606221	0.106114670244
t	0.00910853644943	0.0196097785765	0.64393224089	0.209001268474	0.118348178495
a	0.00527071896128	0.0125717747125	0.44547229363	0.362025538158	0.174659763792
t	0.00541618888903	0.0106610834613	0.276900160543	0.441187747386	0.265834927601
e	0.00535510866888	0.00851498607554	0.201944683448	0.495122750462	0.289062470004
c	0.00248766054642	0.00739359068868	0.161833623149	0.548658484821	0.279626610196
h	0.00173523733153	0.00751998816139	0.19815717265	0.529841954674	0.262745617642
ù	0.00115483881318	0.00403636700436	0.172290779083	0.636760007958	0.185757988195
d	0.00281626028689	0.00557524958741	0.068409911961	0.798020836653	0.125177755705
d	0.00941956825252	0.00995508503047	0.080599414187	0.778402949551	0.121623039875
h	0.0149478850073	0.020594236137	0.094501934929	0.630305062517	0.239650992212
i	0.0107799352987	0.0204322849742	0.0506983901303	0.440137779772	0.477951656191
</S>	0.00591074683262	0.0112595048635	0.0276140803962	0.345787818286	0.609427825095
