 	le	melanzane	vogliono	girate	</S>
i	0.708980081	0.210327532	0.029758445812	0.00353037121335	0.0474035320099
m	0.537439723027	0.335503353467	0.0612318354473	0.0275689706756	0.0382560820957
a	0.401824359369	0.470064834489	0.0585813962941	0.0356331706167	0.0338962199312
r	0.308191396856	0.595344067496	0.043830613023	0.0191337454191	0.0335001526188
a	0.196783263285	0.707214007832	0.0426544149277	0.014456753277	0.038891526232
n	0.134400106868	0.755173544611	0.0592636615359	0.009865332703	0.0412973141431
g	0.112519623796	0.62874412087	0.0797762700986	0.0549999070343	0.12396004466
i	0.127854403839	0.536787808957	0.0734387148595	0.0837396304914	0.17817948342
à	0.124158750328	0.489296840986	0.204074250687	0.0551021147238	0.127368114753
n	0.104559093091	0.386398236329	0.312255971029	0.0862291900546	0.110557582884
e	0.0580960479735	0.31283601201	0.365475088143	0.110453709418	0.153139153315
i	0.0222462067472	0.182579172417	0.596396146381	0.0686331684727	0.130145258678
t	0.00995935404857	0.0961489791723	0.690374493527	0.0977977304242	0.10571943494
è	0.00572769747279	0.0571234413948	0.677760383909	0.158625823541	0.100762635654
l	0.0052372521814	0.0306748876956	0.699458270303	0.175623243114	0.0890063102047
u	0.00548206296567	0.0225805193012	0.527406285768	0.310495927571	0.134035226388
n	0.00312957757924	0.0122962213646	0.297886720723	0.51169174919	0.174995766116
e	0.00218567739953	0.00667974713704	0.167516044908	0.635632839063	0.187985655492
v	0.00276778336288	0.00763056948948	0.0864418169027	0.712406463688	0.190753314593
o	0.00296615555372	0.00766859337029	0.0491416254142	0.723047283229	0.21717630036
t	0.00407718913547	0.0102719682287	0.0335196263314	0.712093125076	0.240038077727
i	0.0041974562752	0.0111196120761	0.0221846513238	0.661995599692	0.300502664116
m	0.00227288228299	0.00649670344277	0.0166616984946	0.652257195231	0.322311470134
m	0.00482120509961	0.00687871837251	0.0155524806249	0.674391381744	0.298356149143
è	0.00709182702372	0.00926371916336	0.0158525807483	0.628248299915	0.339543529984
n	0.0157475441404	0.0133674289731	0.0208674780494	0.561937309305	0.388080234928
e	0.0171547637143	0.0113949358275	0.0234744032211	0.396830755368	0.551145116976
</S>	0.00961896999054	0.00758766854005	0.0167892573176	0.274805601084	0.691198472488
