 	l	ho	sentito	che	viene	</S>
o	0.834084954	0.120261926466	0.016013307527	0.00346213811155	0.00579538383239	0.0203822309249
n	0.608677541467	0.190132540355	0.0713907904597	0.0243103669445	0.0363455085036	0.069143288422
ì	0.299883828756	0.392616033985	0.116190056607	0.0330377635215	0.0542585642592	0.104013798754
k	0.262409226385	0.515095257995	0.116876278169	0.0184100223538	0.0290067825264	0.0582024166913
u	0.246400540645	0.423438025798	0.177863921083	0.0819057141579	0.0403314273155	0.0300603523038
s	0.108098445488	0.286126161619	0.234541716828	0.269263963053	0.0501422810178	0.0518274309799
a	0.0588406386411	0.13378287204	0.175860733276	0.451375245351	0.100557899252	0.0795826348053
n	0.0342887227171	0.0561638222973	0.104264602025	0.56241310545	0.139636731391	0.103233003971
a	0.0256495792428	0.0256899789104	0.064382067595	0.497963756817	0.246724743437	0.139589843426
r	0.0248874726722	0.0156156789401	0.0343511366783	0.387095563206	0.365767409539	0.172282786139
t	0.022313209846	0.0137348909487	0.0256376738328	0.338853828335	0.38462924724	0.214831219664
i	0.0222076087429	0.00868801752703	0.0154504679626	0.214725276285	0.459427251413	0.279501365975
</S>	0.0189105996828	0.00495692136972	0.0103679460388	0.141247512902	0.503612041706	0.320904912988
