 	devo	pulire	l	albero	</S>
è	0.6996904768	0.24741426812	0.013099939235	0.0169271415213	0.0228681758777
n	0.6252461616	0.295293904707	0.0221767982717	0.0380766190479	0.0192065070872
a	0.481789515853	0.420976831369	0.0463973028106	0.0399636368452	0.0108727023888
k	0.271884001379	0.49771891359	0.124940050324	0.0730781894643	0.0323788599263
a	0.111104565924	0.540087017863	0.211485267441	0.0865113815041	0.0508118482058
t	0.100947408287	0.497120101954	0.257969126214	0.0631412162307	0.0808221564863
à	0.0916457934043	0.413051067985	0.266624764271	0.130708185877	0.0979701238998
r	0.0650793047881	0.419326711328	0.26660686989	0.180783929579	0.0682032186133
o	0.0515766450434	0.295661873516	0.459520537963	0.14361184646	0.0496292090044
t	0.0252526842515	0.124443393752	0.634310637988	0.140077987153	0.0759153663948
o	0.0129054037483	0.058576978022	0.649380423996	0.181602131384	0.0975351044583
n	0.00792496910467	0.0315306960344	0.554090063999	0.275354468528	0.131099844997
à	0.0100145296273	0.0198813331117	0.350155753133	0.480346805509	0.13960159351
r	0.0120683671701	0.0135053726378	0.196189843324	0.692545037836	0.0856913441033
b	0.00791716643238	0.00860589328193	0.097952067408	0.799828479945	0.0856963245631
u	0.00465358593835	0.00696045713976	0.0622118682427	0.693227169982	0.232946874583
r	0.00287511239433	0.0138783296637	0.0541642867809	0.534755562194	0.394326681938
o	0.00268058410745	0.0162348034715	0.0369746670336	0.398194782998	0.545915171723
</S>	0.00318680599675	0.0102834765442	0.0224764795568	0.296316928599	0.667736358861
