 	ora	ho	finito	di	scrivere	</S>
à	0.9933774	0.0034038818	0.0031052814	0.00010492375	5.7757616e-06	2.7062317e-06
r	0.9993742	0.00061070157	1.4976257e-05	7.69952e-08	1.3633168e-08	2.5672753e-09
t	0.02360235	0.90584093	0.07034726	0.0002074414	1.967801e-06	1.3405248e-07
e	0.4902557	0.5014221	0.008167821	0.00015136725	2.9918886e-06	6.317217e-09
s	0.124965765	0.7104488	0.16457072	1.4728892e-05	3.4723506e-09	1.07587335e-08
p	0.008417997	0.8677989	0.12305339	0.00072197255	7.630992e-06	2.5851708e-08
ì	0.0019752248	0.9424106	0.05514045	0.00047041458	2.8387801e-06	4.6258094e-07
c	0.057259426	0.19803426	0.732406	0.012292179	6.577317e-06	1.5642834e-06
c	0.03917026	0.30990472	0.64205587	0.007870467	0.00096020586	3.846954e-05
e	0.0018689521	0.57791305	0.417651	0.0025460129	1.3711538e-05	7.345944e-06
t	0.036351815	0.07714832	0.30698904	0.5563198	0.022179954	0.0010111171
s	0.010343417	0.21379681	0.75234205	0.020854237	0.002412392	0.00025102642
a	0.00028347565	0.4979067	0.49904612	0.0024376006	0.00020565186	0.000120472316
t	0.027547238	0.0417502	0.07502961	0.58212316	0.23976435	0.033785388
s	0.020140951	0.093248546	0.21995161	0.53788066	0.07892918	0.049849108
e	0.00011117217	0.61691505	0.16807021	0.1722177	0.0344997	0.008186049
g	0.02079843	0.03148085	0.039837994	0.31756815	0.40740296	0.18291165
r	0.0068748915	0.036581192	0.078363985	0.42913184	0.32741264	0.1216354
à	3.4498116e-05	0.027743468	0.009274653	0.39819163	0.5615625	0.0031932406
t	0.022050686	0.023336096	0.03023175	0.26342735	0.44093502	0.22001918
s	0.017829314	0.01992783	0.026762275	0.23881507	0.38240302	0.31426254
i	2.4795676e-05	0.2279139	0.03977398	0.3969309	0.32680848	0.008547975
</S>	0.0027872745	0.024859354	0.025524866	0.052009676	0.38388282	0.510936
