 	la	pasta	vuole	sale	</S>
i	0.98530823	0.014218251	0.0004647571	8.234705e-06	4.3769967e-07
p	0.16742714	0.83196664	0.00058609975	6.820677e-06	1.3247559e-05
à	0.33342013	0.6514198	0.014762529	0.0003955368	1.998575e-06
s	0.2728572	0.70117646	0.02596077	3.9698516e-06	1.5516716e-06
t	0.2623261	0.73230916	0.004953452	0.00039408443	1.7172786e-05
a	0.014076838	0.98581797	9.484487e-05	9.550014e-06	8.0052916e-07
t	0.09276361	0.26089984	0.6425213	0.0036907152	0.00012455825
è	0.13702628	0.39456803	0.3969879	0.022856804	0.048561003
l	0.0745948	0.13858259	0.67192817	0.098446265	0.016448157
i	0.0762948	0.18665881	0.6083316	0.10465372	0.024060987
à	0.039510977	0.043179125	0.17978625	0.6651949	0.07232875
l	0.026348146	0.032363463	0.2420913	0.55057216	0.14862491
a	0.039389484	0.043264776	0.16227241	0.5850292	0.17004418
</S>	0.039639823	0.040225178	0.057089303	0.3402254	0.5228203
